year,month,uf,city_norm,diesel_common_mean,diesel_s10_mean,diesel_common_n_posts,diesel_s10_n_posts
2017,1,AC,CRUZEIRO DO SUL,4.129,4.2,42.0,26.0
2017,1,AC,RIO BRANCO,3.694,3.78,82.0,78.0
2017,1,AL,ARAPIRACA,3.139,3.246,43.0,60.0
2017,1,AL,DELMIRO GOUVEIA,3.212,3.332,35.0,35.0
2017,1,AL,MACEIO,3.085,3.201,50.0,34.0
2017,1,AL,MARECHAL DEODORO,2.958,3.101,18.0,6.0
2017,1,AL,PALMEIRA DOS INDIOS,3.074,3.241,40.0,30.0
2017,1,AL,RIO LARGO,3.079,3.104,26.0,29.0
2017,1,AL,SANTANA DO IPANEMA,3.061,3.202,25.0,20.0
2017,1,AM,HUMAITA,3.526,3.615,24.0,14.0
2017,1,AM,ITACOATIARA,3.617,3.757,36.0,28.0
2017,1,AM,MANACAPURU,3.214,3.346,28.0,22.0
2017,1,AM,MANAUS,3.225,3.356,86.0,101.0
2017,1,AM,PARINTINS,3.4,3.59,10.0,15.0
2017,1,AM,TEFE,,3.675,,20.0
2017,1,AP,MACAPA,3.687,4.066,51.0,42.0
2017,1,AP,SANTANA,3.621,4.055,20.0,8.0
2017,1,BA,ALAGOINHAS,2.903,3.044,33.0,35.0
2017,1,BA,BARREIRAS,3.151,3.273,55.0,50.0
2017,1,BA,BRUMADO,3.266,3.459,35.0,22.0
2017,1,BA,CAETITE,3.17,3.271,18.0,20.0
2017,1,BA,CAMACARI,3.065,3.147,34.0,34.0
2017,1,BA,CANDEIAS,3.101,3.199,35.0,35.0
2017,1,BA,CONCEICAO DO JACUIPE,2.912,3.016,45.0,45.0
2017,1,BA,EUNAPOLIS,3.193,3.444,23.0,30.0
2017,1,BA,FEIRA DE SANTANA,2.919,3.033,55.0,82.0
2017,1,BA,GUANAMBI,3.112,3.245,45.0,40.0
2017,1,BA,ILHEUS,3.252,3.436,40.0,35.0
2017,1,BA,IPIRA,2.917,3.055,25.0,14.0
2017,1,BA,IRECE,3.044,3.204,35.0,22.0
2017,1,BA,ITABUNA,3.142,3.258,54.0,63.0
2017,1,BA,ITAMARAJU,3.131,3.251,30.0,21.0
2017,1,BA,JACOBINA,2.956,3.104,25.0,20.0
2017,1,BA,JAGUAQUARA,3.037,3.145,35.0,28.0
2017,1,BA,JEQUIE,3.111,3.218,36.0,23.0
2017,1,BA,JUAZEIRO,2.966,3.127,32.0,36.0
2017,1,BA,LAURO DE FREITAS,2.969,3.05,7.0,40.0
2017,1,BA,LIVRAMENTO DE NOSSA SENHORA,3.224,3.334,26.0,18.0
2017,1,BA,PAULO AFONSO,3.125,3.234,26.0,35.0
2017,1,BA,POCOES,3.041,3.206,35.0,15.0
2017,1,BA,PORTO SEGURO,3.471,3.736,20.0,30.0
2017,1,BA,SALVADOR,3.064,3.169,83.0,179.0
2017,1,BA,SANTO ANTONIO DE JESUS,2.985,3.106,35.0,30.0
2017,1,BA,SENHOR DO BONFIM,3.049,3.165,40.0,21.0
2017,1,BA,SERRINHA,2.981,3.05,25.0,9.0
2017,1,BA,SIMOES FILHO,3.05,3.17,32.0,24.0
2017,1,BA,TEIXEIRA DE FREITAS,3.042,3.212,30.0,45.0
2017,1,BA,VALENCA,3.143,3.17,50.0,28.0
2017,1,BA,VITORIA DA CONQUISTA,3.066,3.256,37.0,19.0
2017,1,CE,BEBERIBE,3.202,3.336,5.0,20.0
2017,1,CE,CANINDE,3.295,3.399,30.0,35.0
2017,1,CE,CAUCAIA,,3.327,,102.0
2017,1,CE,CRATEUS,3.225,3.386,32.0,23.0
2017,1,CE,CRATO,3.208,3.316,50.0,26.0
2017,1,CE,FORTALEZA,,3.301,,360.0
2017,1,CE,ICO,3.235,3.357,29.0,25.0
2017,1,CE,IGUATU,3.241,3.369,27.0,30.0
2017,1,CE,IPU,3.262,3.391,30.0,25.0
2017,1,CE,ITAPIPOCA,3.288,3.412,33.0,32.0
2017,1,CE,JUAZEIRO DO NORTE,3.28,3.377,44.0,36.0
2017,1,CE,LIMOEIRO DO NORTE,3.26,3.429,27.0,15.0
2017,1,CE,MARACANAU,,3.297,,41.0
2017,1,CE,MORADA NOVA,3.207,3.346,30.0,10.0
2017,1,CE,QUIXADA,3.244,3.36,27.0,36.0
2017,1,CE,SOBRAL,3.227,3.353,50.0,56.0
2017,1,DF,BRASILIA,3.256,3.468,64.0,105.0
2017,1,ES,ARACRUZ,3.157,3.194,25.0,26.0
2017,1,ES,BARRA DE SAO FRANCISCO,3.115,3.287,20.0,20.0
2017,1,ES,CACHOEIRO DE ITAPEMIRIM,3.148,3.24,46.0,44.0
2017,1,ES,CARIACICA,3.027,3.185,26.0,17.0
2017,1,ES,COLATINA,3.229,3.306,26.0,32.0
2017,1,ES,GUARAPARI,3.169,3.331,36.0,32.0
2017,1,ES,ITAPEMIRIM,3.226,3.29,16.0,12.0
2017,1,ES,LINHARES,3.03,3.091,41.0,44.0
2017,1,ES,SAO MATEUS,3.101,3.237,28.0,20.0
2017,1,ES,SERRA,3.049,3.18,44.0,21.0
2017,1,ES,VILA VELHA,3.04,3.17,26.0,40.0
2017,1,ES,VITORIA,3.067,3.217,22.0,36.0
2017,1,GO,AGUAS LINDAS DE GOIAS,3.124,3.302,18.0,20.0
2017,1,GO,ANAPOLIS,3.099,3.258,57.0,30.0
2017,1,GO,APARECIDA DE GOIANIA,3.035,3.188,44.0,26.0
2017,1,GO,CALDAS NOVAS,3.148,3.346,37.0,23.0
2017,1,GO,CATALAO,3.163,3.358,35.0,30.0
2017,1,GO,FORMOSA,3.119,3.313,35.0,45.0
2017,1,GO,GOIANIA,3.109,3.279,128.0,61.0
2017,1,GO,GOIATUBA,3.13,3.293,44.0,27.0
2017,1,GO,ITUMBIARA,3.088,3.201,73.0,36.0
2017,1,GO,JATAI,3.32,3.513,62.0,54.0
2017,1,GO,LUZIANIA,3.124,3.349,47.0,19.0
2017,1,GO,MINEIROS,3.093,3.318,24.0,14.0
2017,1,GO,MORRINHOS,3.095,3.252,50.0,24.0
2017,1,GO,PORANGATU,3.134,3.25,28.0,20.0
2017,1,GO,RIO VERDE,3.21,3.362,35.0,70.0
2017,1,GO,TRINDADE,3.064,3.25,28.0,4.0
2017,1,GO,VALPARAISO DE GOIAS,3.112,3.281,28.0,16.0
2017,1,MA,ACAILANDIA,3.115,3.214,34.0,37.0
2017,1,MA,BACABAL,3.106,3.165,16.0,16.0
