year,month,uf,diesel_common_state_mean,diesel_s10_state_mean,diesel_common_state_n_posts,diesel_s10_state_n_posts
2017,1,AC,3.8413387096774194,3.885,124,104
2017,1,AL,3.098860759493671,3.2247943925233638,237,214
2017,1,AM,3.3487934782608697,3.47862,184,200
2017,1,AP,3.6684084507042254,4.06424,71,50
2017,1,BA,3.076553697183099,3.1994320557491287,1136,1148
2017,1,CE,3.245492753623188,3.333508027522936,414,872
2017,1,DF,3.256,3.468,64,105
2017,1,ES,3.107070224719101,3.2194447674418605,356,344
2017,1,GO,3.128767141009056,3.316543352601156,773,519
2017,1,MA,3.1175637755102037,3.2147484008528786,392,469
2017,1,MG,3.101135496183206,3.2350462863293865,2096,1858
2017,1,MS,3.4200265780730894,3.5465014836795246,301,337
2017,1,MT,3.3962600472813245,3.535616016427104,423,487
2017,1,PA,3.4328268733850127,3.4881096491228076,387,456
2017,1,PB,3.022143589743589,3.125474489795918,195,196
2017,1,PE,3.0226630036630038,3.043113450292397,273,855
2017,1,PI,3.175255681818182,3.309915662650603,176,249
2017,1,PR,2.9523115044247783,3.059509677419355,1130,1240
2017,1,RJ,3.1728036398467436,3.346072659176029,1044,1335
2017,1,RN,3.1703481781376515,3.327420233463035,247,257
2017,1,RO,3.3955844594594597,3.5024007936507933,296,252
2017,1,RR,3.38,3.46,33,40
2017,1,RS,3.0219973730297722,3.196210847975554,1142,1309
2017,1,SC,3.0295901926444833,3.163628953771289,571,822
2017,1,SE,3.028607476635514,3.2064743589743587,107,156
2017,1,SP,3.0112006158218856,3.150878793590952,4222,5305
2017,1,TO,3.1402237762237766,3.2244754098360655,143,183
2017,2,AC,3.840432432432432,3.8924347826086954,111,92
2017,2,AL,3.1186133333333337,3.2372578125,150,128
2017,2,AM,3.391826923076923,3.50193288590604,156,149
2017,2,AP,3.6485000000000003,4.074166666666667,72,48
2017,2,BA,3.0709396325459317,3.1958214285714286,762,896
2017,2,CE,3.2367500000000002,3.3394039855072464,252,552
2017,2,DF,3.278,3.465,64,96
2017,2,ES,3.1337417218543044,3.2511921824104233,302,307
2017,2,GO,3.1613945249597424,3.3466353887399465,621,373
2017,2,MA,3.1114147157190635,3.2019860335195527,299,358
2017,2,MG,3.1028387507966855,3.2375960982658962,1569,1384
2017,2,MS,3.422628571428571,3.543334841628959,175,221
2017,2,MT,3.3923,3.5204028571428574,290,350
2017,2,PA,3.4260974729241878,3.4603048780487806,277,328
2017,2,PB,3.031832116788321,3.118708609271523,137,151
2017,2,PE,3.0230621118012415,3.031097199341022,161,607
2017,2,PI,3.179354330708661,3.293830601092896,127,183
2017,2,PR,2.945057080131724,3.053669540229885,911,1044
2017,2,RJ,3.1798158890290034,3.3546290801186944,793,1011
2017,2,RN,3.14517880794702,3.302935483870968,151,155
2017,2,RO,3.3853574468085106,3.487970297029703,235,202
2017,2,RR,3.3740000000000006,3.455,25,30
2017,2,RS,3.0225699421965317,3.197414346895075,865,934
2017,2,SC,3.0382766884531587,3.1736532258064507,459,744
2017,2,SE,3.051422535211268,3.2025675675675678,71,111
2017,2,SP,3.020449985418489,3.1594435707678072,3429,4324
2017,2,TO,3.1229787234042554,3.206831932773109,94,119
2017,3,AC,3.839832167832168,3.863571428571428,143,126
2017,3,AL,3.100283333333333,3.219767441860465,240,215
2017,3,AM,3.3369310344827587,3.4707009345794395,232,214
2017,3,AP,3.6082888888888887,4.039742424242424,90,66
2017,3,BA,3.0350095652173916,3.1550372381691236,1150,1289
2017,3,CE,3.189590588235294,3.2876502242152466,425,892
2017,3,DF,3.26,3.438,75,135
2017,3,ES,3.108188725490196,3.21794,408,400
2017,3,GO,3.12494212962963,3.2998284228769497,864,577
2017,3,MA,3.0633025404157053,3.157498046875,433,512
2017,3,MG,3.052856246985046,3.1850254988913527,2073,1804
2017,3,MS,3.3897281879194634,3.5129226190476195,298,336
2017,3,MT,3.3665812917594655,3.500376470588235,449,510
2017,3,PA,3.369744525547445,3.3862419999999998,411,500
2017,3,PB,3.010510309278351,3.0963523809523807,194,210
2017,3,PE,2.980809302325581,2.998948801742919,215,918
2017,3,PI,3.127145631067961,3.2384609665427506,206,269
2017,3,PR,2.8840893743793448,2.992298821548822,1007,1188
2017,3,RJ,3.1493793721973096,3.319281941470378,1115,1401
2017,3,RN,3.0981714285714284,3.2788174603174602,245,252
2017,3,RO,3.3084802431610942,3.4087398648648652,329,296
2017,3,RR,3.32,3.4000000000000004,39,41
2017,3,RS,2.9763663282571917,3.144656694091249,1182,1337
2017,3,SC,3.0062338129496404,3.1326747519294385,556,907
2017,3,SE,2.972,3.1224327485380114,110,171
2017,3,SP,2.968586034318399,3.1058733913701744,4196,5284
2017,3,TO,3.033934210526316,3.1309789473684213,152,190
2017,4,AC,3.810454545454546,3.838142857142857,121,105
2017,4,AL,3.0565568181818183,3.162510869565218,176,184
2017,4,AM,3.287558375634518,3.4127865853658537,197,164
