table,column,raw_dtype,rows,non_null,missing,missing_pct,completeness_pct,cardinality,unique_ratio_pct,top_value,top_value_count,top_value_pct,entropy_bits,examples,numeric_min,numeric_p01,numeric_median,numeric_mean,numeric_p99,numeric_max,string_length_min,string_length_median,string_length_max,datetime_parse_failures,datetime_min,datetime_max,position,entity,semantic_type,unit,description_pt,description_status,key_role,foreign_key_target,applicability_condition,missing_reason_policy,aliases_pt,aliases_en,research_terms,event_stage,available_at_t0,availability_confidence,allowed_as_baseline_feature,allowed_as_target_source,leakage_risk,source_evidence,meaning_evidence,external_ground_truth,source_grain,target_ml_grain,aggregation_required,aggregation_policy,direct_feature_allowed,feature_form,grain_compatibility,registry_version
customers,customer_id,object,99441,99441,0,0.0,100.0,99441,100.0,06b8999e2fba1a1fbc88172c00ba8bc7,1,0.0010056214237588,,06b8999e2fba1a1fbc88172c00ba8bc7 | 18955e83d337fd6b2def6b18a428ac77 | 4e7b3e00288586ebd08712fdd0374a03 | b2b6027bc5c5109e529d4dc6358b12c3 | 4f2d8ab171c80ec8364f7c12e35b23ad,,,,,,,32.0,32.0,32.0,,,,1,customer_order_identity,identifier,,Identificador de cliente específico do pedido.,CURATED_PROJECT_REGISTRY,PRIMARY_KEY_COMPONENT,,row/entity exists,distinguish RELATION_MISSING from ATTRIBUTE_MISSING,customer id,customer id,,reference/master data,LIKELY_YES,MEDIUM,NO_RAW_IDENTIFIER,NO,LOW_TO_REVIEW,E0_RAW_OBSERVED,E4_OFFICIAL_DATASET_DESCRIPTION,NOT_AVAILABLE,1 row per order-specific customer_id,1 row per order_id,NO,NONE_DIRECT,NO,KEY_OR_HISTORY_ONLY,ORDER_SPECIFIC_REFERENCE_JOIN,1.1
customers,customer_unique_id,object,99441,99441,0,0.0,100.0,96096,96.63619633752675,8d50f5eadf50201ccdcedfb9e2ac8455,17,0.0170955642038998,,861eff4711a542e4b93843c6dd7febb0 | 290c77bc529b7ac935b93aa66c333dc3 | 060e732b5b29e8181a18229c7b0b2b5e | 259dac757896d24d7702b9acbbff3f3c | 345ecd01c38d18a9036ed96c73b8d066,,,,,,,32.0,32.0,32.0,,,,2,customer_order_identity,identifier,,Identificador utilizado para reconhecer o mesmo cliente em compras diferentes.,CURATED_PROJECT_REGISTRY,NONE,,customer_id resolves to customers,distinguish RELATION_MISSING from ATTRIBUTE_MISSING,customer unique id,customer unique id,,reference/master data,LIKELY_YES,MEDIUM,NO_RAW_IDENTIFIER,NO,LOW_TO_REVIEW,E0_RAW_OBSERVED,E4_OFFICIAL_DATASET_DESCRIPTION,NOT_AVAILABLE,1 row per order-specific customer_id,1 row per order_id,NO,NONE_DIRECT,NO,KEY_OR_HISTORY_ONLY,ORDER_SPECIFIC_REFERENCE_JOIN,1.1
customers,customer_zip_code_prefix,int64,99441,99441,0,0.0,100.0,14994,15.078287627839623,22790,142,0.1427982421737512,,14409 | 9790 | 1151 | 8775 | 13056,1003.0,1327.0,24416.0,35137.47458291851,97513.0,99990.0,,,,,,,3,customer_order_identity,postal_prefix,,Prefixo do CEP do endereço do cliente.,CURATED_PROJECT_REGISTRY,NONE,,customer_id resolves to customers,distinguish RELATION_MISSING from ATTRIBUTE_MISSING,customer zip code prefix,customer zip code prefix,,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,1 row per order-specific customer_id,1 row per order_id,NO,DIRECT_REFERENCE_JOIN,YES_CANDIDATE,CUSTOMER_LOCATION,ORDER_SPECIFIC_REFERENCE_JOIN,1.1
customers,customer_city,object,99441,99441,0,0.0,100.0,4119,4.142154644462545,sao paulo,15540,15.627356925211934,,franca | sao bernardo do campo | sao paulo | mogi das cruzes | campinas,,,,,,,3.0,9.0,32.0,,,,4,customer_order_identity,geographic_city,,Cidade associada ao endereço do cliente.,CURATED_PROJECT_REGISTRY,NONE,,customer_id resolves to customers,distinguish RELATION_MISSING from ATTRIBUTE_MISSING,customer city,customer city,,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,1 row per order-specific customer_id,1 row per order_id,NO,DIRECT_REFERENCE_JOIN,YES_CANDIDATE,CUSTOMER_LOCATION,ORDER_SPECIFIC_REFERENCE_JOIN,1.1
customers,customer_state,object,99441,99441,0,0.0,100.0,27,0.0271517784414879,SP,41746,41.98067195623536,3.077432986533464,SP | SC | MG | PR | RJ,,,,,,,2.0,2.0,2.0,,,,5,customer_order_identity,geographic_state,,UF associada ao endereço do cliente.,CURATED_PROJECT_REGISTRY,NONE,,customer_id resolves to customers,distinguish RELATION_MISSING from ATTRIBUTE_MISSING,customer state,customer state,,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,1 row per order-specific customer_id,1 row per order_id,NO,DIRECT_REFERENCE_JOIN,YES_CANDIDATE,CUSTOMER_LOCATION,ORDER_SPECIFIC_REFERENCE_JOIN,1.1
geolocation,geolocation_zip_code_prefix,int64,1000163,1000163,0,0.0,100.0,19015,1.90119010601272,24220,1146,0.1145813232443111,,1037 | 1046 | 1041 | 1035 | 1012,1001.0,1318.0,26530.0,36574.16646586607,98010.0,99990.0,,,,,,,1,zip_geolocation_observation,postal_prefix,,Prefixo de CEP associado à observação geográfica.,CURATED_PROJECT_REGISTRY,NONE,,ZIP prefix has geolocation observation,OBSERVED or ATTRIBUTE_MISSING,geolocation zip code prefix,geolocation zip code prefix,,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,1 row per geolocation observation for ZIP prefix,1 row per order_id,YES,CONSOLIDATE_BY_ZIP_PREFIX before customer/seller join,NO_RAW,ZIP_LEVEL_REFERENCE,REFERENCE_OBSERVATION_REQUIRES_CONSOLIDATION,1.1
geolocation,geolocation_lat,float64,1000163,1000163,0,0.0,100.0,717360,71.72430893764316,-27.102098999999946,314,0.0313948826341306,,-23.54562128115268 | -23.54608112703553 | -23.54612896641469 | -23.5443921648681 | -23.541577961711493,-36.6053744107061,-30.104535674977235,-22.91937749486411,-21.17615291038396,-2.501042206708081,45.06593318269697,,,,,,,2,zip_geolocation_observation,geographic_coordinate,degrees_latitude,Latitude associada à observação geográfica.,CURATED_PROJECT_REGISTRY,NONE,,ZIP prefix has geolocation observation,OBSERVED or ATTRIBUTE_MISSING,latitude; localização,latitude; geolocation,geospatial features; delivery distance; logistics distance,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,1 row per geolocation observation for ZIP prefix,1 row per order_id,YES,CONSOLIDATE_BY_ZIP_PREFIX before customer/seller join,NO_RAW,ZIP_LEVEL_REFERENCE,REFERENCE_OBSERVATION_REQUIRES_CONSOLIDATION,1.1
geolocation,geolocation_lng,float64,1000163,1000163,0,0.0,100.0,717613,71.74960481441525,-48.62961349999995,314,0.0313948826341306,,-46.63929204800168 | -46.64482029837157 | -46.64295148361138 | -46.63949930627844 | -46.64160722329613,-101.46676644931476,-57.65070011329355,-46.63787866960149,-46.390541320935775,-34.93864131076286,121.10539381057764,,,,,,,3,zip_geolocation_observation,geographic_coordinate,degrees_longitude,Longitude associada à observação geográfica.,CURATED_PROJECT_REGISTRY,NONE,,ZIP prefix has geolocation observation,OBSERVED or ATTRIBUTE_MISSING,longitude; localização,longitude; geolocation,geospatial features; delivery distance; logistics distance,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,1 row per geolocation observation for ZIP prefix,1 row per order_id,YES,CONSOLIDATE_BY_ZIP_PREFIX before customer/seller join,NO_RAW,ZIP_LEVEL_REFERENCE,REFERENCE_OBSERVATION_REQUIRES_CONSOLIDATION,1.1
geolocation,geolocation_city,object,1000163,1000163,0,0.0,100.0,8011,0.8009694419809571,sao paulo,135800,13.577786820748218,,sao paulo | são paulo | sao bernardo do campo | jundiaí | taboão da serra,,,,,,,2.0,9.0,38.0,,,,4,zip_geolocation_observation,geographic_city,,Cidade associada à observação geográfica.,CURATED_PROJECT_REGISTRY,NONE,,ZIP prefix has geolocation observation,OBSERVED or ATTRIBUTE_MISSING,geolocation city,geolocation city,,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,1 row per geolocation observation for ZIP prefix,1 row per order_id,YES,CONSOLIDATE_BY_ZIP_PREFIX before customer/seller join,NO_RAW,ZIP_LEVEL_REFERENCE,REFERENCE_OBSERVATION_REQUIRES_CONSOLIDATION,1.1
geolocation,geolocation_state,object,1000163,1000163,0,0.0,100.0,27,0.0026995599717246,SP,404268,40.4202115055246,3.1344727481751646,SP | RN | AC | RJ | ES,,,,,,,2.0,2.0,2.0,,,,5,zip_geolocation_observation,geographic_state,,UF associada à observação geográfica.,CURATED_PROJECT_REGISTRY,NONE,,ZIP prefix has geolocation observation,OBSERVED or ATTRIBUTE_MISSING,geolocation state,geolocation state,,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,1 row per geolocation observation for ZIP prefix,1 row per order_id,YES,CONSOLIDATE_BY_ZIP_PREFIX before customer/seller join,NO_RAW,ZIP_LEVEL_REFERENCE,REFERENCE_OBSERVATION_REQUIRES_CONSOLIDATION,1.1
