gate,check_id,table,dimension,severity,status,observed,expected,details,registry_source_gate,registry_source_file,variable,affected_rows,affected_pct
DQ_GATE_01_STRUCTURAL,STR-001,__dataset__,directory,CRITICAL,PASS,/home/runner/workspace/Delivery_Risk_Intelligence/data/raw/olist,RAW directory exists,,gate_01_structural,reports/data_quality/gate_01_structural/dq_gate_01_scorecard.csv,,,
DQ_GATE_01_STRUCTURAL,STR-002,__dataset__,files_presence,CRITICAL,PASS,9,all 9 expected files present,,gate_01_structural,reports/data_quality/gate_01_structural/dq_gate_01_scorecard.csv,,,
DQ_GATE_01_STRUCTURAL,STR-003,__dataset__,file_count,CRITICAL,PASS,9,9,,gate_01_structural,reports/data_quality/gate_01_structural/dq_gate_01_scorecard.csv,,,
DQ_GATE_01_STRUCTURAL,STR-004,__dataset__,unexpected_files,CRITICAL,PASS,0,0,,gate_01_structural,reports/data_quality/gate_01_structural/dq_gate_01_scorecard.csv,,,
DQ_GATE_01_STRUCTURAL,customers-READ,customers,readability,CRITICAL,PASS,read successfully,read successfully,,gate_01_structural,reports/data_quality/gate_01_structural/dq_gate_01_scorecard.csv,,,
DQ_GATE_01_STRUCTURAL,customers-ROWS,customers,non_empty,CRITICAL,PASS,99441,> 0,,gate_01_structural,reports/data_quality/gate_01_structural/dq_gate_01_scorecard.csv,,,
DQ_GATE_01_STRUCTURAL,customers-SCHEMA,customers,schema_columns,CRITICAL,PASS,"['customer_id', 'customer_unique_id', 'customer_zip_code_prefix', 'customer_city', 'customer_state']","['customer_id', 'customer_unique_id', 'customer_zip_code_prefix', 'customer_city', 'customer_state']",,gate_01_structural,reports/data_quality/gate_01_structural/dq_gate_01_scorecard.csv,,,
DQ_GATE_01_STRUCTURAL,customers-ORDER,customers,column_order,CRITICAL,PASS,expected order,expected order,,gate_01_structural,reports/data_quality/gate_01_structural/dq_gate_01_scorecard.csv,,,
DQ_GATE_01_STRUCTURAL,customers-TYPE-customer_id,customers,dtype,CRITICAL,PASS,object,string,,gate_01_structural,reports/data_quality/gate_01_structural/dq_gate_01_scorecard.csv,,,
DQ_GATE_01_STRUCTURAL,customers-TYPE-customer_unique_id,customers,dtype,CRITICAL,PASS,object,string,,gate_01_structural,reports/data_quality/gate_01_structural/dq_gate_01_scorecard.csv,,,
DQ_GATE_01_STRUCTURAL,customers-TYPE-customer_zip_code_prefix,customers,dtype,CRITICAL,PASS,int64,integer,,gate_01_structural,reports/data_quality/gate_01_structural/dq_gate_01_scorecard.csv,,,
DQ_GATE_01_STRUCTURAL,customers-TYPE-customer_city,customers,dtype,CRITICAL,PASS,object,string,,gate_01_structural,reports/data_quality/gate_01_structural/dq_gate_01_scorecard.csv,,,
