kind,source_recordset,source_field,target_field,target_exists,target_recordset,error
KEY,customers,,customers/customer_id,True,customers,
KEY,order_items,,order_items/order_id,True,order_items,
KEY,order_items,,order_items/order_item_id,True,order_items,
KEY,payments,,payments/order_id,True,payments,
KEY,payments,,payments/payment_sequential,True,payments,
KEY,orders,,orders/order_id,True,orders,
KEY,products,,products/product_id,True,products,
KEY,sellers,,sellers/seller_id,True,sellers,
KEY,translation,,translation/product_category_name,True,translation,
REFERENCE,order_items,order_items/order_id,orders/order_id,True,orders,
REFERENCE,order_items,order_items/product_id,products/product_id,True,products,
REFERENCE,order_items,order_items/seller_id,sellers/seller_id,True,sellers,
REFERENCE,payments,payments/order_id,orders/order_id,True,orders,
REFERENCE,reviews,reviews/order_id,orders/order_id,True,orders,
REFERENCE,orders,orders/customer_id,customers/customer_id,True,customers,
REFERENCE,products,products/product_category_name,translation/product_category_name,True,translation,
