source_grain,grain_compatibility,aggregation_required,aggregation_policy,columns
1 row per Portuguese product category,PRESENTATION_REFERENCE,NO_MODEL_FEATURE,LEFT_JOIN_FOR_PRESENTATION,2
1 row per geolocation observation for ZIP prefix,REFERENCE_OBSERVATION_REQUIRES_CONSOLIDATION,YES,CONSOLIDATE_BY_ZIP_PREFIX before customer/seller join,5
1 row per item position inside an order,CHILD_GRAIN_REQUIRES_AGGREGATION,YES,COUNT,1
1 row per item position inside an order,CHILD_GRAIN_REQUIRES_AGGREGATION,YES,COUNT_DISTINCT + JOIN_PRODUCT_ATTRIBUTES,1
1 row per item position inside an order,CHILD_GRAIN_REQUIRES_AGGREGATION,YES,COUNT_DISTINCT + POINT_IN_TIME_HISTORY,1
1 row per item position inside an order,CHILD_GRAIN_REQUIRES_AGGREGATION,YES,GROUP_BY_ORDER_ID,1
1 row per item position inside an order,CHILD_GRAIN_REQUIRES_AGGREGATION,YES,HOLD — availability at t0 not proven,1
1 row per item position inside an order,CHILD_GRAIN_REQUIRES_AGGREGATION,YES,"SUM, MEAN, MAX, MIN",1
1 row per item position inside an order,CHILD_GRAIN_REQUIRES_AGGREGATION,YES,"SUM, MEAN, MAX, freight/item_ratio",1
1 row per order,DIRECT_GRAIN_MATCH,NO,NONE,6
1 row per order,DIRECT_GRAIN_MATCH,NO,derive weekday/hour/month/seasonality,1
1 row per order,DIRECT_GRAIN_MATCH,NO,estimated_delivery_date - purchase_timestamp,1
1 row per order-specific customer_id,ORDER_SPECIFIC_REFERENCE_JOIN,NO,DIRECT_REFERENCE_JOIN,3
1 row per order-specific customer_id,ORDER_SPECIFIC_REFERENCE_JOIN,NO,NONE_DIRECT,2
1 row per payment sequence,CHILD_GRAIN_REQUIRES_AGGREGATION,YES,COUNT,1
1 row per payment sequence,CHILD_GRAIN_REQUIRES_AGGREGATION,YES,GROUP_BY_ORDER_ID,1
1 row per payment sequence,CHILD_GRAIN_REQUIRES_AGGREGATION,YES,"MAX, MEAN",1
1 row per payment sequence,CHILD_GRAIN_REQUIRES_AGGREGATION,YES,SET/FLAGS + COUNT_DISTINCT + PRIMARY_TYPE,1
1 row per payment sequence,CHILD_GRAIN_REQUIRES_AGGREGATION,YES,SUM,1
1 row per product_id,REFERENCE_ENTITY_REQUIRES_ITEM_TO_ORDER_AGGREGATION,YES_VIA_ORDER_ITEMS,MODE/SET/N_DISTINCT,1
1 row per product_id,REFERENCE_ENTITY_REQUIRES_ITEM_TO_ORDER_AGGREGATION,YES_VIA_ORDER_ITEMS,NONE_DIRECT,1
1 row per product_id,REFERENCE_ENTITY_REQUIRES_ITEM_TO_ORDER_AGGREGATION,YES_VIA_ORDER_ITEMS,ORDER_LEVEL MIN/MEAN/MAX/SUM as semantically appropriate,7
1 row per review record,POST_OUTCOME_DATA,NOT_APPLICABLE_FOR_BASELINE,KEEP_OUTSIDE_DELIVERY_RISK_BASELINE,7
1 row per seller_id,REFERENCE_ENTITY_REQUIRES_ITEM_TO_ORDER_AGGREGATION,YES_VIA_ORDER_ITEMS,COUNT_DISTINCT + POINT_IN_TIME_HISTORY,1
1 row per seller_id,REFERENCE_ENTITY_REQUIRES_ITEM_TO_ORDER_AGGREGATION,YES_VIA_ORDER_ITEMS,SET / COUNT_DISTINCT / MULTI_SELLER_POLICY,3
