table,column,source_grain,target_ml_grain,aggregation_required,aggregation_policy,direct_feature_allowed,feature_form,grain_compatibility
customers,customer_id,1 row per order-specific customer_id,1 row per order_id,NO,NONE_DIRECT,NO,KEY_OR_HISTORY_ONLY,ORDER_SPECIFIC_REFERENCE_JOIN
customers,customer_unique_id,1 row per order-specific customer_id,1 row per order_id,NO,NONE_DIRECT,NO,KEY_OR_HISTORY_ONLY,ORDER_SPECIFIC_REFERENCE_JOIN
customers,customer_zip_code_prefix,1 row per order-specific customer_id,1 row per order_id,NO,DIRECT_REFERENCE_JOIN,YES_CANDIDATE,CUSTOMER_LOCATION,ORDER_SPECIFIC_REFERENCE_JOIN
customers,customer_city,1 row per order-specific customer_id,1 row per order_id,NO,DIRECT_REFERENCE_JOIN,YES_CANDIDATE,CUSTOMER_LOCATION,ORDER_SPECIFIC_REFERENCE_JOIN
customers,customer_state,1 row per order-specific customer_id,1 row per order_id,NO,DIRECT_REFERENCE_JOIN,YES_CANDIDATE,CUSTOMER_LOCATION,ORDER_SPECIFIC_REFERENCE_JOIN
geolocation,geolocation_zip_code_prefix,1 row per geolocation observation for ZIP prefix,1 row per order_id,YES,CONSOLIDATE_BY_ZIP_PREFIX before customer/seller join,NO_RAW,ZIP_LEVEL_REFERENCE,REFERENCE_OBSERVATION_REQUIRES_CONSOLIDATION
geolocation,geolocation_lat,1 row per geolocation observation for ZIP prefix,1 row per order_id,YES,CONSOLIDATE_BY_ZIP_PREFIX before customer/seller join,NO_RAW,ZIP_LEVEL_REFERENCE,REFERENCE_OBSERVATION_REQUIRES_CONSOLIDATION
geolocation,geolocation_lng,1 row per geolocation observation for ZIP prefix,1 row per order_id,YES,CONSOLIDATE_BY_ZIP_PREFIX before customer/seller join,NO_RAW,ZIP_LEVEL_REFERENCE,REFERENCE_OBSERVATION_REQUIRES_CONSOLIDATION
geolocation,geolocation_city,1 row per geolocation observation for ZIP prefix,1 row per order_id,YES,CONSOLIDATE_BY_ZIP_PREFIX before customer/seller join,NO_RAW,ZIP_LEVEL_REFERENCE,REFERENCE_OBSERVATION_REQUIRES_CONSOLIDATION
geolocation,geolocation_state,1 row per geolocation observation for ZIP prefix,1 row per order_id,YES,CONSOLIDATE_BY_ZIP_PREFIX before customer/seller join,NO_RAW,ZIP_LEVEL_REFERENCE,REFERENCE_OBSERVATION_REQUIRES_CONSOLIDATION
order_items,order_id,1 row per item position inside an order,1 row per order_id,YES,GROUP_BY_ORDER_ID,NO,JOIN_KEY,CHILD_GRAIN_REQUIRES_AGGREGATION
order_items,order_item_id,1 row per item position inside an order,1 row per order_id,YES,COUNT,NO,ORDER_ITEM_COUNT,CHILD_GRAIN_REQUIRES_AGGREGATION
order_items,product_id,1 row per item position inside an order,1 row per order_id,YES,COUNT_DISTINCT + JOIN_PRODUCT_ATTRIBUTES,NO,PRODUCT_AGGREGATES,CHILD_GRAIN_REQUIRES_AGGREGATION
order_items,seller_id,1 row per item position inside an order,1 row per order_id,YES,COUNT_DISTINCT + POINT_IN_TIME_HISTORY,NO,SELLER_COUNT_AND_HISTORICAL_FEATURES,CHILD_GRAIN_REQUIRES_AGGREGATION
order_items,shipping_limit_date,1 row per item position inside an order,1 row per order_id,YES,HOLD — availability at t0 not proven,HOLD,NONE_UNTIL_PROVENANCE_CONFIRMED,CHILD_GRAIN_REQUIRES_AGGREGATION
order_items,price,1 row per item position inside an order,1 row per order_id,YES,"SUM, MEAN, MAX, MIN",AGGREGATE_ONLY,ORDER_PRICE_AGGREGATES,CHILD_GRAIN_REQUIRES_AGGREGATION
order_items,freight_value,1 row per item position inside an order,1 row per order_id,YES,"SUM, MEAN, MAX, freight/item_ratio",AGGREGATE_ONLY,ORDER_FREIGHT_AGGREGATES,CHILD_GRAIN_REQUIRES_AGGREGATION
payments,order_id,1 row per payment sequence,1 row per order_id,YES,GROUP_BY_ORDER_ID,NO,JOIN_KEY,CHILD_GRAIN_REQUIRES_AGGREGATION
payments,payment_sequential,1 row per payment sequence,1 row per order_id,YES,COUNT,NO,PAYMENT_RECORD_COUNT,CHILD_GRAIN_REQUIRES_AGGREGATION
payments,payment_type,1 row per payment sequence,1 row per order_id,YES,SET/FLAGS + COUNT_DISTINCT + PRIMARY_TYPE,AGGREGATE_ONLY,MULTI_PAYMENT_TYPE,CHILD_GRAIN_REQUIRES_AGGREGATION
payments,payment_installments,1 row per payment sequence,1 row per order_id,YES,"MAX, MEAN",AGGREGATE_ONLY,INSTALLMENT_AGGREGATES,CHILD_GRAIN_REQUIRES_AGGREGATION
payments,payment_value,1 row per payment sequence,1 row per order_id,YES,SUM,AGGREGATE_ONLY,TOTAL_PAYMENT,CHILD_GRAIN_REQUIRES_AGGREGATION
