source,variable,n_total,n_valid,n_missing,missing_pct,n_zero,n_negative,n_positive,n_unique,min,p01,p05,q1,median,mean,q3,p95,p99,p995,max,std,iqr,mad,skew,kurtosis,iqr_lower,iqr_upper,iqr_candidate_count,iqr_candidate_pct,modified_z_candidate_count,modified_z_candidate_pct
order_items,price,112650,112650,0,0.0,0,0,112650,5968,0.85,9.99,17.0,39.9,74.99,120.65373901464713,134.9,349.9,890.0,1218.082650000056,6735.0,183.6339280502594,95.0,42.089999999999996,7.9232082632135095,120.82829811136259,-102.6,277.4,8427,7.480692410119841,7714,6.847758544163338
order_items,freight_value,112650,112650,0,0.0,383,0,112267,6999,0.0,4.4198,7.78,13.08,16.26,19.990319928983578,21.15,45.12,84.52,106.2251000000001,409.68,15.806405412297082,8.069999999999999,3.610000000000001,5.639869620428685,59.78825261835198,0.9750000000000032,33.254999999999995,12134,10.771415889924546,10284,9.129161118508655
payments,payment_value,103886,103886,0,0.0,9,0,103877,29077,0.0,6.69,26.1125,56.79,100.0,154.10038041699556,171.8375,437.635,1039.9164999999994,1410.275749999994,13664.08,217.49406386472435,115.04750000000001,51.550000000000004,9.25400952847806,241.82844191450522,-115.78125000000003,344.40875000000005,7981,7.682459619197967,7088,6.8228635234776585
payments,payment_installments,103886,103886,0,0.0,2,0,103884,24,0.0,1.0,1.0,1.0,1.0,2.853348863176944,4.0,10.0,10.0,10.0,24.0,2.687050673856479,3.0,0.0,1.6550737635551807,2.5500479292629454,-3.5,8.5,6313,6.076853474000346,0,0.0
products,product_weight_g,32951,32949,2,0.006069618524475737,4,0,32945,2204,0.0,60.0,105.0,300.0,700.0,2276.4724877841513,1900.0,10850.0,22538.00000000001,28500.0,40425.0,4282.038730977007,1600.0,500.0,3.6048597822753066,15.13356470958467,-2100.0,4300.0,4551,13.812255303651098,5469,16.598379313484475
products,product_length_cm,32951,32949,2,0.006069618524475737,0,0,32949,99,7.0,16.0,16.0,18.0,25.0,30.81507784758263,38.0,65.0,100.0,104.0,105.0,16.914458054065967,20.0,8.0,1.7504597083360076,3.5136180424450996,-12.0,68.0,1380,4.18829099517436,1503,4.561595192570336
products,product_height_cm,32951,32949,2,0.006069618524475737,0,0,32949,102,2.0,2.0,3.0,8.0,13.0,16.937661234028347,21.0,44.0,69.0,79.0,105.0,13.637554061749494,13.0,6.0,2.1400612809133093,6.678618937772553,-11.5,40.5,1892,5.742207654253543,1599,4.852954566147683
products,product_width_cm,32951,32949,2,0.006069618524475737,0,0,32949,95,6.0,11.0,11.0,15.0,20.0,23.196728277034204,30.0,47.0,63.0,70.0,118.0,12.079047453227835,15.0,6.0,1.6709713361516598,4.073125916884521,-7.5,52.5,912,2.7679140489847947,994,3.016783513915445
cohort,promised_lead_days,96470,96470,0,0.0,0,0,96470,93880,2.0080092592592593,6.053567476851852,10.47940162037037,18.32990451388889,23.23087962962963,23.736342826905506,28.40779513888889,38.41849305555556,50.21146782407407,54.50540966435184,155.13546296296298,8.761051734101049,10.077890624999998,5.051956018518519,0.9051362129189432,4.2979535273053955,3.2130685763888938,43.524631076388886,2427,2.5158080232196536,1049,1.087384679174873
cohort,actual_lead_days,96470,96470,0,0.0,0,0,96470,93803,0.5334143518518518,1.8251511574074075,3.0151956018518518,6.766203703703704,10.217476851851853,12.558217098051976,15.720182291666667,29.274046296296298,46.05026180555554,54.05587910879628,209.6286111111111,9.54615637792742,8.953978587962963,4.143611111111111,3.8333770734241215,39.316922397124785,-6.664764178240739,29.15115017361111,4896,5.075152897273764,3863,4.004353685083446
cohort,delay_calendar_days,96470,96470,0,0.0,1292,88644,6534,198,-147.0,-36.0,-26.0,-17.0,-12.0,-11.875888877371203,-7.0,3.0,18.0,27.0,188.0,10.182105073994864,10.0,5.0,2.0161633367884493,28.070322387773093,-32.0,8.0,4297,4.454234477039494,2302,2.3862340624028193
cohort,delay_exact_days,96470,96470,0,0.0,0,88644,7826,91910,-146.0161226851852,-35.14450034722223,-25.93963425925926,-16.244065393518518,-11.948101851851852,-11.17812572885353,-6.389814814814814,3.8169930555555602,18.939552777777767,27.186102719907392,188.97508101851852,10.1843539272045,9.854250578703704,4.857297453703705,2.011003511000436,28.039330888235995,-31.025441261574073,8.391561053240741,4871,5.049238105110397,2462,2.552088732248367
order_agg,item_rows,96470,96470,0,0.0,0,0,96470,17,1.0,1.0,1.0,1.0,1.0,1.1422100134756918,1.0,2.0,3.0,4.0,21.0,0.5388244844026,0.0,0.0,7.557602141464502,116.28040878354942,1.0,1.0,9635,9.987560899761585,0,0.0
order_agg,n_products,96470,96470,0,0.0,0,0,96470,8,1.0,1.0,1.0,1.0,1.0,1.0385404789053592,1.0,1.0,2.0,2.0,8.0,0.22795139279144752,0.0,0.0,8.071644521918024,97.92125706123797,1.0,1.0,3197,3.3139836218513525,0,0.0
order_agg,n_sellers,96470,96470,0,0.0,0,0,96470,5,1.0,1.0,1.0,1.0,1.0,1.01390069451643,1.0,1.0,2.0,2.0,5.0,0.12354153531550645,0.0,0.0,9.870270537950528,118.64666254117608,1.0,1.0,1275,1.3216544003317094,0,0.0
order_agg,total_item_value,96470,96470,0,0.0,0,0,96470,7636,0.85,11.99,19.0,45.9,86.5,137.0400013475692,149.9,399.0,990.0,1349.0,13440.0,209.05260846299177,104.0,47.5,9.885399776798433,276.99596670193597,-110.1,305.9,7658,7.938219135482534,6717,6.962786358453405
order_agg,total_freight_value,96470,96470,0,0.0,336,0,96134,7877,0.0,7.39,7.88,13.85,17.17,22.785797657302783,24.02,54.78,104.24619999999994,136.45854999999952,1794.96,21.559959446538638,10.17,4.380000000000003,12.276901497893041,585.9781583193613,-1.4049999999999994,39.275,9694,10.04871980926713,9443,9.788535295946927
order_agg,total_payment_value,96470,96469,1,0.001036591686534674,0,0,96469,27459,9.59,22.38,32.38,61.88,105.28,159.85531984368035,176.33,446.3359999999995,1052.401599999999,1416.865000000001,13664.08,218.820934049605,114.45000000000002,51.52,9.36665220395022,249.19234903467216,-109.79500000000002,348.005,7575,7.852263421409987,6604,6.845722460064891
order_agg,payment_delta,96470,96469,1,0.001036591686534674,77293,9492,9684,305,-51.620000000000005,-5.684341886080802e-14,-1.4210854715202004e-14,0.0,0.0,0.029351190537892605,0.0,1.4210854715202004e-14,5.684341886080802e-14,1.1368683772161603e-13,182.80999999999995,1.1387530001879216,0.0,0.0,78.77096168671055,9772.814131141302,0.0,0.0,19176,19.877888233525795,0,0.0
order_agg,freight_to_item_value,96470,96470,0,0.0,336,0,96134,43566,0.0,0.025242156083600333,0.05431884057971014,0.1320168067226891,0.22437395659432388,0.3083858026803481,0.3805668016194332,0.8388888888888889,1.4585843597883585,1.8065207549228155,21.447058823529414,0.3116175399882917,0.2485499948967441,0.11000263160738145,9.670924516719108,461.0855371285808,-0.24080818562242703,0.7533917939645494,6390,6.623820876956567,5398,5.59552192391417
products_derived,volume_cm3,32951,32949,2,0.006069618524475737,0,0,32949,4525,168.0,352.0,832.0,2880.0,6840.0,16564.096694892105,18480.0,63368.99999999998,135917.44000000006,175175.2400000014,296208.0,27057.041650319457,15600.0,4968.0,4.1760536454750286,24.620790703411185,-20520.0,41880.0,3262,9.900148714680263,4469,13.563385838720446
products_derived,apparent_density_g_cm3,32951,32949,2,0.006069618524475737,4,0,32945,13659,0.0,0.0125,0.02564102564102564,0.0661764705882353,0.11655011655011654,0.20368958257514586,0.19586894586894588,0.5161673553718995,1.218785185185187,1.9886363636363635,85.22727272727273,1.0092706737864552,0.1296924752807106,0.05925844988344988,50.30857673241881,3173.680781777346,-0.1283622423328306,0.39040765879001177,2637,8.003277792952746,2314,7.0229749006039635
