column,late_calendar,rows,missing,missing_pct
item_rows,0,89936,0,0.0
item_rows,1,6534,0,0.0
n_products,0,89936,0,0.0
n_products,1,6534,0,0.0
n_sellers,0,89936,0,0.0
n_sellers,1,6534,0,0.0
total_item_value,0,89936,0,0.0
total_item_value,1,6534,0,0.0
total_freight_value,0,89936,0,0.0
total_freight_value,1,6534,0,0.0
total_payment_value,0,89936,0,0.0
total_payment_value,1,6534,1,0.015304560759106214
max_installments,0,89936,0,0.0
max_installments,1,6534,1,0.015304560759106214
customer_state,0,89936,0,0.0
customer_state,1,6534,0,0.0
customer_zip_code_prefix,0,89936,0,0.0
customer_zip_code_prefix,1,6534,0,0.0
any_missing_category,0,89936,0,0.0
any_missing_category,1,6534,0,0.0
any_missing_weight,0,89936,0,0.0
any_missing_weight,1,6534,0,0.0
any_missing_length,0,89936,0,0.0
any_missing_length,1,6534,0,0.0
any_missing_height,0,89936,0,0.0
any_missing_height,1,6534,0,0.0
any_missing_width,0,89936,0,0.0
any_missing_width,1,6534,0,0.0
