purchase_month,column,orders,missing_or_flagged,pct
2016-09,total_payment_value,1,1,100.0
2016-09,any_missing_category,1,0,0.0
2016-09,any_missing_weight,1,0,0.0
2016-10,total_payment_value,265,0,0.0
2016-10,any_missing_category,265,2,0.7547169811320755
2016-10,any_missing_weight,265,0,0.0
2016-12,total_payment_value,1,0,0.0
2016-12,any_missing_category,1,0,0.0
2016-12,any_missing_weight,1,0,0.0
2017-01,total_payment_value,750,0,0.0
2017-01,any_missing_category,750,10,1.3333333333333333
2017-01,any_missing_weight,750,1,0.13333333333333333
2017-02,total_payment_value,1653,0,0.0
2017-02,any_missing_category,1653,50,3.0248033877797944
2017-02,any_missing_weight,1653,0,0.0
2017-03,total_payment_value,2546,0,0.0
2017-03,any_missing_category,2546,54,2.1209740769835035
2017-03,any_missing_weight,2546,3,0.1178318931657502
2017-04,total_payment_value,2303,0,0.0
2017-04,any_missing_category,2303,61,2.648719062092922
2017-04,any_missing_weight,2303,6,0.26052974381241856
2017-05,total_payment_value,3545,0,0.0
2017-05,any_missing_category,3545,82,2.31311706629055
2017-05,any_missing_weight,3545,0,0.0
2017-06,total_payment_value,3135,0,0.0
2017-06,any_missing_category,3135,50,1.594896331738437
2017-06,any_missing_weight,3135,2,0.06379585326953748
2017-07,total_payment_value,3872,0,0.0
2017-07,any_missing_category,3872,52,1.3429752066115703
2017-07,any_missing_weight,3872,2,0.05165289256198347
2017-08,total_payment_value,4193,0,0.0
2017-08,any_missing_category,4193,64,1.5263534462198902
2017-08,any_missing_weight,4193,2,0.04769854519437157
2017-09,total_payment_value,4150,0,0.0
2017-09,any_missing_category,4150,61,1.4698795180722892
2017-09,any_missing_weight,4150,0,0.0
2017-10,total_payment_value,4478,0,0.0
2017-10,any_missing_category,4478,58,1.2952210808396605
2017-10,any_missing_weight,4478,0,0.0
2017-11,total_payment_value,7288,0,0.0
2017-11,any_missing_category,7288,111,1.5230515916575191
2017-11,any_missing_weight,7288,0,0.0
2017-12,total_payment_value,5513,0,0.0
2017-12,any_missing_category,5513,132,2.3943406493742065
2017-12,any_missing_weight,5513,0,0.0
2018-01,total_payment_value,7069,0,0.0
2018-01,any_missing_category,7069,171,2.419012590182487
2018-01,any_missing_weight,7069,0,0.0
2018-02,total_payment_value,6555,0,0.0
2018-02,any_missing_category,6555,107,1.6323417238749047
2018-02,any_missing_weight,6555,0,0.0
2018-03,total_payment_value,7003,0,0.0
2018-03,any_missing_category,7003,125,1.7849493074396687
2018-03,any_missing_weight,7003,0,0.0
2018-04,total_payment_value,6798,0,0.0
2018-04,any_missing_category,6798,72,1.059135039717564
2018-04,any_missing_weight,6798,0,0.0
2018-05,total_payment_value,6749,0,0.0
2018-05,any_missing_category,6749,37,0.5482293673136761
2018-05,any_missing_weight,6749,0,0.0
2018-06,total_payment_value,6096,0,0.0
2018-06,any_missing_category,6096,22,0.36089238845144356
2018-06,any_missing_weight,6096,0,0.0
2018-07,total_payment_value,6156,0,0.0
2018-07,any_missing_category,6156,42,0.682261208576998
2018-07,any_missing_weight,6156,0,0.0
2018-08,total_payment_value,6351,0,0.0
2018-08,any_missing_category,6351,29,0.45662100456621
2018-08,any_missing_weight,6351,0,0.0
