variable,late_calendar,n,mean,median,q1,q3,std
promised_lead_days,0,89936,23.815412478245847,23.267627314814817,18.304325810185183,28.48160300925926,8.836358635716822
promised_lead_days,1,6534,22.648003652901064,22.48449074074074,19.017054398148147,27.14929108796296,7.566630948284114
actual_lead_days,0,89936,11.004047417258034,9.811753472222222,6.394233217592593,14.29232638888889,6.316116298383116
actual_lead_days,1,6534,33.95029001079821,31.249774305555555,24.655112847222224,40.02225405092592,17.47928555726574
total_item_value,0,89936,136.0336749466287,85.39,45.9,149.9,207.44311418119403
total_item_value,1,6534,150.89138965411695,90.05,49.9,159.99,229.63456046686778
total_freight_value,0,89936,22.606943937911403,17.06,13.71,23.85,21.383992500812948
total_freight_value,1,6534,25.247595653504746,18.23,15.1,26.9,23.71558562786707
freight_to_item_value,0,89936,0.30765339134150554,0.22437395659432388,0.13202797202797203,0.38006611723815026,0.31091361871526163
freight_to_item_value,1,6534,0.31846693922306973,0.22756772987366156,0.1315951856931359,0.3871743486973948,0.32100448622236316
item_rows,0,89936,1.144424924390678,1.0,1.0,1.0,0.5405558630681406
item_rows,1,6534,1.1117232935414754,1.0,1.0,1.0,0.5134710630956448
n_products,0,89936,1.0398839174524106,1.0,1.0,1.0,0.23250926682711992
n_products,1,6534,1.0200489745944292,1.0,1.0,1.0,0.15070302334115587
n_sellers,0,89936,1.0147660558619462,1.0,1.0,1.0,0.12734226501070559
n_sellers,1,6534,1.0019895928986837,1.0,1.0,1.0,0.04456386830072028
total_payment_value,0,89936,158.670801347625,104.595,61.59,175.4,217.08242803642042
total_payment_value,1,6533,176.1618949946426,114.15,67.5,190.58,240.9120661432335
max_installments,0,89936,2.918864525885074,2.0,1.0,4.0,2.7061431413667867
max_installments,1,6533,3.05433950711771,2.0,1.0,4.0,2.800022676045798
seller_customer_distance_mean_km,0,89504,588.5733033856428,426.4432656596431,174.07661140019854,783.4446918278626,584.1231162211527
seller_customer_distance_mean_km,1,6490,768.2213824982447,529.0127473073958,316.01272127186996,970.2241132112529,693.6527865931587
