customer_state,orders,late_orders,late_rate_pct,share_of_order_category_pairs_pct
SP,40494,1820,4.494493011310317,41.97574375453509
RJ,12350,1495,12.105263157894736,12.801907328703225
MG,11354,519,4.571076272679233,11.769462008914688
RS,5344,325,6.081586826347305,5.539545972841298
PR,4923,199,4.042250660166565,5.1031408728102
SC,3546,291,8.206429780033842,3.675754120451954
BA,3256,396,12.162162162162163,3.3751425313568983
DF,2080,118,5.673076923076923,2.156110707992122
ES,1995,214,10.726817042606516,2.068000414636675
GO,1957,128,6.540623403168115,2.028609930548357
PE,1593,153,9.6045197740113,1.6512905566497356
CE,1279,176,13.76075058639562,1.325800767077848
PA,946,106,11.20507399577167,0.9806157354618016
MT,886,53,5.981941309255079,0.9184202342697212
MA,717,125,17.433751743375176,0.7432362392453613
MS,701,68,9.700427960057063,0.7266507722608064
PB,517,54,10.444874274661508,0.5359179019384265
PI,476,66,13.865546218487395,0.4934176427905048
RN,474,44,9.282700421940929,0.4913444594174355
AL,397,85,21.41057934508816,0.4115268995542656
SE,335,51,15.223880597014924,0.3472582149891158
TO,274,27,9.854014598540147,0.28402612211050066
RO,243,7,2.880658436213992,0.25189177982792577
AM,145,4,2.7586206896551726,0.15030579454752774
AC,80,3,3.75,0.08292733492277392
AP,67,2,2.9850746268656714,0.06945164299782315
RR,41,5,12.195121951219512,0.04250025914792163
