product_category_name,orders,late_orders,late_rate_pct,share_of_order_category_pairs_pct
cama_mesa_banho,9272,689,7.43097497842968,9.67082481538654
beleza_saude,8647,649,7.5054932346478545,9.018941132295883
esporte_lazer,7529,495,6.574578297250631,7.852851599983312
informatica_acessorios,6529,417,6.386889263286874,6.809837707038258
moveis_decoracao,6307,449,7.1190740447122245,6.578288622804456
utilidades_domesticas,5743,308,5.363050670381334,5.990028787183445
relogios_presentes,5493,406,7.391225195703623,5.7292753139471815
telefonia,4093,291,7.1096994869289025,4.269055863824106
automotivo,3809,278,7.298503544237332,3.9728399182277108
brinquedos,3803,243,6.3896923481462,3.9665818348700403
cool_stuff,3559,210,5.9005338578252315,3.7120864449914475
ferramentas_jardim,3448,225,6.525522041763342,3.5963119028745463
perfumaria,3086,202,6.5456902138690864,3.2187408736284366
bebes,2809,226,8.04556781772873,2.9298260252826567
eletronicos,2517,192,7.628128724672228,2.625265968542701
papelaria,2264,148,6.5371024734982335,2.361383453627602
fashion_bolsas_e_acessorios,1820,102,5.604395604395605,1.8982852851599983
pet_shop,1688,86,5.0947867298578196,1.7606074512912513
moveis_escritorio,1254,101,8.054226475279107,1.3079394217530977
malas_acessorios,1019,44,4.317958783120707,1.06283115691101
consoles_games,1018,62,6.090373280943026,1.061788143018065
eletrodomesticos,747,33,4.417670682730924,0.7791313780299554
construcao_ferramentas_construcao,736,54,7.336956521739131,0.7676582252075598
instrumentos_musicais,611,46,7.528641571194762,0.637281488589428
eletroportateis,609,29,4.761904761904762,0.635195460803538
livros_interesse_geral,495,32,6.4646464646464645,0.5162918770078018
casa_construcao,483,29,6.004140786749482,0.503775710292461
alimentos,441,31,7.029478458049887,0.45996912678876883
moveis_sala,414,31,7.487922705314009,0.4318077516792524
casa_conforto,392,37,9.438775510204081,0.4088614460344612
audio,348,41,11.781609195402298,0.3629688347448788
bebidas,287,15,5.2264808362369335,0.2993449872752305
market_place,274,11,4.014598540145985,0.2857858066669448
livros_tecnicos,256,21,8.203125,0.26701155659393383
climatizacao,246,10,4.0650406504065035,0.2565814176644833
construcao_ferramentas_iluminacao,242,16,6.6115702479338845,0.2524093620927031
moveis_cozinha_area_de_servico_jantar_e_jardim,241,11,4.564315352697095,0.251366348199758
fashion_calcados,235,11,4.680851063829787,0.2451082648420877
industria_comercio_e_negocios,231,16,6.926406926406926,0.24093620927030748
eletrodomesticos_2,227,14,6.167400881057269,0.23676415369852727
alimentos_bebidas,221,8,3.619909502262444,0.23050607034085693
telefonia_fixa,212,10,4.716981132075472,0.22111894530435144
artes,195,12,6.153846153846154,0.20338770912428553
construcao_ferramentas_jardim,190,10,5.263157894736842,0.19817263965956028
agro_industria_e_comercio,177,7,3.954802259887006,0.18461345905127458
pcs,177,10,5.649717514124294,0.18461345905127458
construcao_ferramentas_seguranca,159,4,2.515723270440252,0.1658392089782636
sinalizacao_e_seguranca,138,6,4.3478260869565215,0.14393591722641746
artigos_de_natal,125,10,8.0,0.13037673661813176
fashion_underwear_e_moda_praia,117,11,9.401709401709402,0.12203262547457132
fashion_roupa_masculina,106,5,4.716981132075472,0.11055947265217572
construcao_ferramentas_ferramentas,97,6,6.185567010309279,0.10117234761567025
moveis_quarto,90,6,6.666666666666667,0.09387125036505486
tablets_impressao_imagem,79,4,5.063291139240507,0.08239809754265927
portateis_casa_forno_e_cafe,72,4,5.555555555555555,0.07509700029204389
cine_foto,63,4,6.349206349206349,0.0657098752555384
dvds_blu_ray,56,4,7.142857142857142,0.05840877800492303
livros_importados,50,2,4.0,0.0521506946472527
artigos_de_festas,38,0,0.0,0.03963452793191205
musica,38,2,5.263157894736842,0.03963452793191205
moveis_colchao_e_estofado,37,5,13.513513513513514,0.038591514038967
fashion_roupa_feminina,36,2,5.555555555555555,0.03754850014602194
flores,29,1,3.4482758620689653,0.030247402895406568
fashion_esporte,26,1,3.8461538461538463,0.027118361216571404
fraldas_higiene,25,0,0.0,0.02607534732362635
casa_conforto_2,24,3,12.5,0.025032333430681297
artes_e_artesanato,23,1,4.3478260869565215,0.023989319537736243
la_cuisine,13,0,0.0,0.013559180608285702
portateis_cozinha_e_preparadores_de_alimentos,13,1,7.6923076923076925,0.013559180608285702
cds_dvds_musicais,12,0,0.0,0.012516166715340648
fashion_roupa_infanto_juvenil,7,0,0.0,0.007301097250615379
pc_gamer,7,0,0.0,0.007301097250615379
seguros_e_servicos,2,0,0.0,0.002086027785890108
