seller_state,orders,late_orders,late_rate_pct,share_of_order_category_pairs_pct
SP,68635,5016,7.308224666715232,70.76794588909739
MG,7733,371,4.797620587094271,7.973315736291836
PR,7512,402,5.3514376996805115,7.745447796589199
RJ,4227,301,7.1208895197539634,4.358361000556782
SC,3603,175,4.857063558145989,3.714969170808158
RS,1962,61,3.109072375127421,2.0229723877673065
DF,808,43,5.321782178217822,0.8331099333924484
BA,550,27,4.909090909090909,0.5670921576309983
GO,451,13,2.882483370288248,0.4650155692574186
PE,403,15,3.722084367245657,0.415523890045986
MA,389,74,19.02313624678663,0.4010888169426515
ES,310,19,6.129032258064516,0.3196337615738354
MT,136,5,3.6764705882352944,0.1402264244323923
CE,87,6,6.896551724137931,0.08970366857072155
RN,51,4,7.8431372549019605,0.052584909162147114
MS,49,3,6.122448979591836,0.05052275586167076
PB,35,1,2.857142857142857,0.03608768275833626
RO,14,0,0.0,0.014435073103334502
PI,11,0,0.0,0.011341843152619966
SE,9,0,0.0,0.009279689852143608
PA,8,0,0.0,0.00824861320190543
AM,3,1,33.33333333333333,0.003093229950714536
