purchase_hour,orders,late_calendar_rate_pct
0,2321,7.496768634209393
1,1133,7.502206531332744
2,496,6.451612903225806
3,259,5.405405405405405
4,203,3.9408866995073892
5,182,4.395604395604396
6,477,5.660377358490567
7,1199,6.58882402001668
8,2907,6.054351565187479
9,4647,6.132989025177534
10,5978,6.306457009033122
11,6385,6.577916992952232
12,5802,7.1182350913478105
13,6309,6.673006815660168
14,6383,6.86197712674291
15,6249,6.673067690830532
16,6475,6.594594594594596
17,5961,6.425096460325448
18,5585,6.732318710832587
19,5801,7.188415790380969
20,6007,7.058431829532212
21,6039,7.252856433184301
22,5658,7.069635913750442
23,4014,7.349277528649726
