purchase_month,orders_total,delivered_status,target_observable,approvals_present,late_orders,late_rate_pct,target_coverage_pct,delivered_pct
2016-09,4,1,1,4,1.0,100.0,25.0,25.0
2016-10,324,265,265,318,3.0,1.1320754716981132,81.79012345679013,81.79012345679013
2016-12,1,1,1,1,0.0,0.0,100.0,100.0
2017-01,800,750,750,797,23.0,3.0666666666666664,93.75,93.75
2017-02,1780,1653,1653,1766,53.0,3.2062915910465817,92.86516853932584,92.86516853932584
2017-03,2682,2546,2546,2680,142.0,5.577376276512176,94.92915734526473,94.92915734526473
2017-04,2404,2303,2303,2400,181.0,7.859313938341293,95.79866888519135,95.79866888519135
2017-05,3700,3546,3545,3691,128.0,3.6107193229901267,95.8108108108108,95.83783783783784
2017-06,3245,3135,3135,3241,121.0,3.8596491228070176,96.61016949152543,96.61016949152543
2017-07,4026,3872,3872,4021,133.0,3.4349173553719003,96.17486338797814,96.17486338797814
2017-08,4331,4193,4193,4325,139.0,3.315048891008824,96.81366889863773,96.81366889863773
2017-09,4285,4150,4150,4281,216.0,5.204819277108434,96.84947491248542,96.84947491248542
2017-10,4631,4478,4478,4626,237.0,5.2925413130862,96.69617793133233,96.69617793133233
2017-11,7544,7289,7288,7535,1043.0,14.31119648737651,96.60657476139978,96.61983032873808
2017-12,5673,5513,5513,5666,462.0,8.380192272809722,97.17962277454609,97.17962277454609
2018-01,7269,7069,7069,7268,464.0,6.563870420144292,97.24858990232494,97.24858990232494
2018-02,6728,6555,6555,6724,1048.0,15.987795575896262,97.42865636147444,97.42865636147444
2018-03,7211,7003,7003,7208,1496.0,21.362273311437953,97.11551795867425,97.11551795867425
2018-04,6939,6798,6798,6939,361.0,5.310385407472786,97.96800691742325,97.96800691742325
2018-05,6873,6749,6749,6872,556.0,8.238257519632539,98.19583878946602,98.19583878946602
2018-06,6167,6099,6096,6167,83.0,1.3615485564304464,98.84871088049294,98.89735689962704
2018-07,6292,6159,6156,6291,276.0,4.483430799220272,97.83852511125238,97.88620470438653
2018-08,6512,6351,6351,6459,660.0,10.392064241851678,97.52764127764128,97.52764127764128
2018-09,16,0,0,1,,,0.0,0.0
2018-10,4,0,0,0,,,0.0,0.0
