table,column,role,rows,missing,missing_pct,completeness_pct,threshold_max_missing_pct,severity,status
orders,order_purchase_timestamp,prediction_time,99441,0,0.0,100.0,0.0,CRITICAL,PASS
orders,order_estimated_delivery_date,delivery_promise,99441,0,0.0,100.0,0.0,CRITICAL,PASS
order_items,order_id,join_key,112650,0,0.0,100.0,0.0,CRITICAL,PASS
order_items,product_id,join_key,112650,0,0.0,100.0,0.0,CRITICAL,PASS
order_items,seller_id,join_key,112650,0,0.0,100.0,0.0,CRITICAL,PASS
order_items,price,model_input,112650,0,0.0,100.0,0.0,CRITICAL,PASS
order_items,freight_value,model_input,112650,0,0.0,100.0,0.0,CRITICAL,PASS
payments,payment_type,model_input,103886,0,0.0,100.0,0.0,CRITICAL,PASS
payments,payment_value,model_input,103886,0,0.0,100.0,0.0,CRITICAL,PASS
payments,payment_installments,model_input,103886,0,0.0,100.0,0.0,CRITICAL,PASS
customers,customer_zip_code_prefix,geographic_input,99441,0,0.0,100.0,0.0,CRITICAL,PASS
customers,customer_state,geographic_input,99441,0,0.0,100.0,0.0,CRITICAL,PASS
sellers,seller_zip_code_prefix,geographic_input,3095,0,0.0,100.0,0.0,CRITICAL,PASS
sellers,seller_state,geographic_input,3095,0,0.0,100.0,0.0,CRITICAL,PASS
products,product_category_name,optional_model_input,32951,610,1.8512336499650996,98.1487663500349,2.5,WARNING,PASS
products,product_weight_g,optional_model_input,32951,2,0.006069618524475737,99.99393038147552,0.1,WARNING,PASS
products,product_length_cm,optional_model_input,32951,2,0.006069618524475737,99.99393038147552,0.1,WARNING,PASS
products,product_height_cm,optional_model_input,32951,2,0.006069618524475737,99.99393038147552,0.1,WARNING,PASS
products,product_width_cm,optional_model_input,32951,2,0.006069618524475737,99.99393038147552,0.1,WARNING,PASS
orders,order_approved_at,post_purchase_event,99441,160,0.1608994278014099,99.83910057219859,0.5,WARNING,PASS
orders,order_delivered_carrier_date,post_purchase_event,99441,1783,1.7930229985619615,98.20697700143803,3.0,WARNING,PASS
orders,order_delivered_customer_date,future_label_source,99441,2965,2.981667521444877,97.01833247855512,5.0,WARNING,PASS
reviews,review_comment_title,optional_nlp,99224,87656,88.34153027493349,11.65846972506651,100.0,INFO,PASS
reviews,review_comment_message,optional_nlp,99224,58247,58.70253164556962,41.29746835443038,100.0,INFO,PASS
