customer_state,count,pct
SP,41746,41.980671956235355
RJ,12852,12.924246538148248
MG,11635,11.700405265433774
RS,5466,5.496726702265665
PR,5045,5.073360082863205
SC,3637,3.6574451182107985
BA,3380,3.3990004123047837
DF,2140,2.152029846843857
ES,2033,2.0444283545016644
GO,2020,2.0313552759927997
PE,1652,1.661286592049557
CE,1336,1.3435102221417725
PA,975,0.9804808881648415
MT,907,0.9120986313492423
MA,747,0.7511992035478324
MS,715,0.7190193179875504
PB,536,0.5390130831347231
PI,495,0.4977826047606118
RN,485,0.4877263905230237
AL,413,0.41532164801238924
SE,350,0.3519674983155841
TO,280,0.2815739986524673
RO,253,0.2544222202109794
AM,148,0.14883197071630413
AC,81,0.08145533532446375
AP,68,0.0683822568155992
RR,46,0.04625858549290534
