gate,check_id,table,variable,dimension,severity,status,affected_rows,affected_pct,observed,expected,details
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-COMP-001,orders,order_purchase_timestamp,completeness,CRITICAL,PASS,0,0.0,0.0000% missing,<= 0.0000% missing,prediction_time
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-COMP-002,orders,order_estimated_delivery_date,completeness,CRITICAL,PASS,0,0.0,0.0000% missing,<= 0.0000% missing,delivery_promise
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-COMP-003,order_items,order_id,completeness,CRITICAL,PASS,0,0.0,0.0000% missing,<= 0.0000% missing,join_key
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-COMP-004,order_items,product_id,completeness,CRITICAL,PASS,0,0.0,0.0000% missing,<= 0.0000% missing,join_key
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-COMP-005,order_items,seller_id,completeness,CRITICAL,PASS,0,0.0,0.0000% missing,<= 0.0000% missing,join_key
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-COMP-006,order_items,price,completeness,CRITICAL,PASS,0,0.0,0.0000% missing,<= 0.0000% missing,model_input
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-COMP-007,order_items,freight_value,completeness,CRITICAL,PASS,0,0.0,0.0000% missing,<= 0.0000% missing,model_input
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-COMP-008,payments,payment_type,completeness,CRITICAL,PASS,0,0.0,0.0000% missing,<= 0.0000% missing,model_input
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-COMP-009,payments,payment_value,completeness,CRITICAL,PASS,0,0.0,0.0000% missing,<= 0.0000% missing,model_input
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-COMP-010,payments,payment_installments,completeness,CRITICAL,PASS,0,0.0,0.0000% missing,<= 0.0000% missing,model_input
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-COMP-011,customers,customer_zip_code_prefix,completeness,CRITICAL,PASS,0,0.0,0.0000% missing,<= 0.0000% missing,geographic_input
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-COMP-012,customers,customer_state,completeness,CRITICAL,PASS,0,0.0,0.0000% missing,<= 0.0000% missing,geographic_input
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-COMP-013,sellers,seller_zip_code_prefix,completeness,CRITICAL,PASS,0,0.0,0.0000% missing,<= 0.0000% missing,geographic_input
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-COMP-014,sellers,seller_state,completeness,CRITICAL,PASS,0,0.0,0.0000% missing,<= 0.0000% missing,geographic_input
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-COMP-015,products,product_category_name,completeness,WARNING,PASS,610,1.8512336499650996,1.8512% missing,<= 2.5000% missing,optional_model_input
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-COMP-016,products,product_weight_g,completeness,WARNING,PASS,2,0.006069618524475737,0.0061% missing,<= 0.1000% missing,optional_model_input
DQ_GATE_03_STATISTICAL_COMPLETENESS,STA-COMP-017,products,product_length_cm,completeness,WARNING,PASS,2,0.006069618524475737,0.0061% missing,<= 0.1000% missing,optional_model_input
