variable,metric,value
lateness_hours,min,-3504.3869444444445
lateness_hours,p01,-843.4680083333333
lateness_hours,p05,-622.5512222222222
lateness_hours,p25,-389.85756944444444
lateness_hours,median,-286.7544444444444
lateness_hours,mean,-268.2750174924847
lateness_hours,p75,-153.35555555555555
lateness_hours,p95,91.60783333333345
lateness_hours,p99,454.5492666666664
lateness_hours,max,4535.401944444445
lateness_hours,std,244.424494252908
lateness_calendar_days,min,-147.0
lateness_calendar_days,p01,-36.0
lateness_calendar_days,p05,-26.0
lateness_calendar_days,p25,-17.0
lateness_calendar_days,median,-12.0
lateness_calendar_days,mean,-11.875888877371203
lateness_calendar_days,p75,-7.0
lateness_calendar_days,p95,3.0
lateness_calendar_days,p99,18.0
lateness_calendar_days,max,188.0
lateness_calendar_days,std,10.182105073994864
