purchase_month,task_orders,timestamp_strict_late,calendar_day_late,grace1_late,disagreements,median_lateness_days,mean_lateness_days,timestamp_strict_late_rate_pct,calendar_day_late_rate_pct,grace1_late_rate_pct,disagreement_rate_pct
2016-09,1,1,1,1,0,36.0,36.0,100.0,100.0,100.0,0.0
2016-10,265,3,2,1,1,-39.0,-36.675471698113206,1.1320754716981132,0.7547169811320755,0.37735849056603776,0.37735849056603776
2016-12,1,0,0,0,0,-22.0,-22.0,0.0,0.0,0.0,0.0
2017-01,750,23,22,22,1,-29.0,-27.408,3.066666666666667,2.933333333333333,2.933333333333333,0.13333333333333333
2017-02,1653,53,49,47,4,-20.0,-19.195402298850574,3.206291591046582,2.9643073200241985,2.8433151845130067,0.24198427102238354
2017-03,2546,142,116,100,26,-14.0,-12.327179890023567,5.577376276512176,4.556166535742341,3.927729772191673,1.021209740769835
2017-04,2303,181,151,126,30,-14.0,-12.97177594442032,7.859313938341294,6.556665219279201,5.47112462006079,1.302648719062093
2017-05,3545,128,106,95,22,-14.0,-13.497884344146685,3.610719322990127,2.9901269393511987,2.6798307475317347,0.6205923836389281
2017-06,3135,121,95,83,26,-13.0,-12.644338118022329,3.8596491228070176,3.0303030303030303,2.6475279106858056,0.8293460925039873
2017-07,3872,133,108,97,25,-13.0,-12.47081611570248,3.434917355371901,2.7892561983471076,2.5051652892561984,0.6456611570247934
2017-08,4193,139,122,105,17,-13.0,-13.09754352492249,3.315048891008824,2.9096112568566657,2.5041736227045077,0.40543763415215833
2017-09,4150,216,182,157,34,-12.0,-11.348192771084337,5.204819277108434,4.385542168674699,3.783132530120482,0.8192771084337349
2017-10,4478,237,187,154,50,-12.0,-11.923403305046897,5.2925413130862,4.17597141581063,3.439035283608754,1.1165698972755695
2017-11,7288,1043,904,791,139,-10.0,-8.123490669593853,14.31119648737651,12.403951701427003,10.853457738748627,1.907244785949506
2017-12,5513,462,411,355,51,-14.0,-13.008525303827318,8.380192272809722,7.455106112824233,6.43932523127154,0.9250861599854888
2018-01,7069,464,403,357,61,-14.0,-12.934361295798556,6.563870420144292,5.7009478002546325,5.050219267223087,0.8629226198896591
2018-02,6555,1048,926,851,122,-10.0,-8.290770404271548,15.987795575896262,14.126620900076277,12.982456140350877,1.8611746758199847
2018-03,7003,1496,1328,1187,168,-8.0,-6.427673854062545,21.362273311437956,18.96330144223904,16.949878623447095,2.3989718691989146
2018-04,6798,361,306,270,55,-13.0,-12.89511621065019,5.310385407472786,4.501323918799647,3.971756398940865,0.8090614886731392
2018-05,6749,556,443,379,113,-12.0,-12.190991257964143,8.238257519632539,6.563935397836716,5.615646762483331,1.6743221217958215
2018-06,6096,83,71,61,12,-19.0,-19.244094488188978,1.3615485564304461,1.1646981627296589,1.0006561679790027,0.1968503937007874
2018-07,6156,276,208,179,68,-11.0,-11.441520467836257,4.483430799220273,3.378817413905133,2.907732293697206,1.1046133853151396
2018-08,6351,660,393,291,267,-7.0,-8.162179184380413,10.392064241851678,6.188001889466226,4.581955597543694,4.204062352385451
