order_id,order_status,purchase_dt,estimated_dt,actual_dt,observation_class
136cce7faa42fdb2cefd53fdc79a6098,invoiced,2017-04-11 12:22:08,2017-05-09,,OUTCOME_UNOBSERVED_BY_DATASET_END
ee64d42b8cf066f35eac1cf57de1aa85,shipped,2018-06-04 16:44:48,2018-06-28,,OUTCOME_UNOBSERVED_BY_DATASET_END
0760a852e4e9d89eb77bf631eaaf1c84,invoiced,2018-08-03 17:44:42,2018-08-21,,OUTCOME_UNOBSERVED_BY_DATASET_END
15bed8e2fec7fdbadb186b57c46c92f2,processing,2017-09-03 14:22:03,2017-10-03,,OUTCOME_UNOBSERVED_BY_DATASET_END
6942b8da583c2f9957e990d028607019,shipped,2018-01-10 11:33:07,2018-02-07,,OUTCOME_UNOBSERVED_BY_DATASET_END
36530871a5e80138db53bcfd8a104d90,shipped,2017-05-09 11:48:37,2017-06-08,,OUTCOME_UNOBSERVED_BY_DATASET_END
4d630f57194f5aba1a3d12ce23e71cd9,shipped,2017-11-17 19:53:21,2017-12-13,,OUTCOME_UNOBSERVED_BY_DATASET_END
8e24261a7e58791d10cb1bf9da94df5c,unavailable,2017-11-16 15:09:28,2017-12-05,,NOT_APPLICABLE_TERMINAL_NON_DELIVERY
3b4ad687e7e5190db827e1ae5a8989dd,shipped,2018-06-28 12:52:15,2018-08-03,,OUTCOME_UNOBSERVED_BY_DATASET_END
b68d69564a79dea4776afa33d1d2fcab,shipped,2018-02-28 08:57:03,2018-03-23,,OUTCOME_UNOBSERVED_BY_DATASET_END
d3c8851a6651eeff2f73b0e011ac45d0,processing,2016-10-05 22:44:13,2016-12-09,,OUTCOME_UNOBSERVED_BY_DATASET_END
f373335aac9a659de916f7170b8bc07a,shipped,2018-03-17 15:32:31,2018-04-13,,OUTCOME_UNOBSERVED_BY_DATASET_END
5869074071e0f56e9085dc3742c97b2a,shipped,2018-06-08 20:06:48,2018-06-28,,OUTCOME_UNOBSERVED_BY_DATASET_END
1b9ecfe83cdc259250e1a8aca174f0ad,canceled,2018-08-04 14:29:27,2018-08-14,,NOT_APPLICABLE_TERMINAL_NON_DELIVERY
6147a4d49752afd35a119d794e481588,shipped,2017-04-25 13:35:09,2017-05-29,,OUTCOME_UNOBSERVED_BY_DATASET_END
95e42e6aaf6264cd3e77c06b32dc3003,shipped,2017-11-24 09:23:33,2017-12-08,,OUTCOME_UNOBSERVED_BY_DATASET_END
38b7efdf33dd5561f4f5d4f6e07b0414,invoiced,2017-08-01 18:17:41,2017-08-28,,OUTCOME_UNOBSERVED_BY_DATASET_END
10918fe4d665fda80034712895c2b92f,shipped,2017-06-26 07:04:39,2017-08-03,,OUTCOME_UNOBSERVED_BY_DATASET_END
f633c884a99eb63866600655356d973e,shipped,2018-04-04 00:33:47,2018-04-25,,OUTCOME_UNOBSERVED_BY_DATASET_END
c272bcd21c287498b4883c7512019702,unavailable,2018-01-31 11:31:37,2018-02-16,,NOT_APPLICABLE_TERMINAL_NON_DELIVERY
714fb133a6730ab81fa1d3c1b2007291,canceled,2018-01-26 21:34:08,2018-02-22,,NOT_APPLICABLE_TERMINAL_NON_DELIVERY
37553832a3a89c9b2db59701c357ca67,unavailable,2017-08-14 17:38:02,2017-09-05,,NOT_APPLICABLE_TERMINAL_NON_DELIVERY
662823ed689412b9a2e5085620e06070,shipped,2018-03-15 15:57:24,2018-04-05,,OUTCOME_UNOBSERVED_BY_DATASET_END
d57e15fb07fd180f06ab3926b39edcd2,unavailable,2018-01-08 19:39:03,2018-02-06,,NOT_APPLICABLE_TERMINAL_NON_DELIVERY
6a6c7d523fd59eb5bbefc007331af717,processing,2017-11-24 20:09:33,2017-12-20,,OUTCOME_UNOBSERVED_BY_DATASET_END
c5e1ff5a434a0e128ac186bd92c1060d,shipped,2018-03-10 13:39:36,2018-04-06,,OUTCOME_UNOBSERVED_BY_DATASET_END
3a129877493c8189c59c60eb71d97c29,canceled,2018-01-25 13:34:24,2018-02-23,,NOT_APPLICABLE_TERMINAL_NON_DELIVERY
00b1cb0320190ca0daa2c88b35206009,canceled,2018-08-28 15:26:39,2018-09-12,,NOT_APPLICABLE_TERMINAL_NON_DELIVERY
2f634e2cebf8c0283e7ef0989f77d217,unavailable,2017-09-27 20:55:33,2017-10-27,,NOT_APPLICABLE_TERMINAL_NON_DELIVERY
c4abf2eb2ea936ee6fc6e630b152fb77,shipped,2017-03-09 20:50:46,2017-04-03,,OUTCOME_UNOBSERVED_BY_DATASET_END
