purchase_month,source_orders,task_observable,right_censor_candidates,terminal_non_delivery,unobserved_before_end,task_coverage_pct
2016-09,4,1,0,2,1,25.0
2016-10,324,265,0,31,28,81.79012345679013
2016-12,1,1,0,0,0,100.0
2017-01,800,750,0,13,37,93.75
2017-02,1780,1653,0,62,65,92.86516853932584
2017-03,2682,2546,0,65,71,94.92915734526473
2017-04,2404,2303,0,27,74,95.79866888519135
2017-05,3700,3545,0,60,95,95.8108108108108
2017-06,3245,3135,0,40,70,96.61016949152543
2017-07,4026,3872,0,80,74,96.17486338797814
2017-08,4331,4193,0,59,79,96.81366889863773
2017-09,4285,4150,0,58,77,96.84947491248542
2017-10,4631,4478,0,84,69,96.69617793133233
2017-11,7544,7288,0,121,135,96.60657476139978
2017-12,5673,5513,0,53,107,97.17962277454609
2018-01,7269,7069,0,82,118,97.24858990232494
2018-02,6728,6555,0,103,70,97.42865636147444
2018-03,7211,7003,0,43,165,97.11551795867425
2018-04,6939,6798,0,20,121,97.96800691742325
2018-05,6873,6749,0,40,84,98.19583878946602
2018-06,6167,6096,0,22,49,98.84871088049294
2018-07,6292,6156,0,59,77,97.83852511125238
2018-08,6512,6351,0,91,70,97.52764127764128
2018-09,16,0,0,15,1,0.0
2018-10,4,0,0,4,0,0.0
