table,column,column_key,point_in_time_status,feature_module,direct_model_feature,aggregation_policy,rationale,unresolved_issue
geolocation,geolocation_zip_code_prefix,geolocation.geolocation_zip_code_prefix,HOLD_DATA_QUALITY,GEOGRAPHY,False,ZIP_LEVEL_CONSOLIDATION_REQUIRED,"Geographic reference is static, but duplicated/dispersed ZIP observations require a documented consolidation rule first.",ISSUE-GEO-001
geolocation,geolocation_lat,geolocation.geolocation_lat,HOLD_DATA_QUALITY,GEOGRAPHY,False,ZIP_LEVEL_CONSOLIDATION_REQUIRED,"Geographic reference is static, but duplicated/dispersed ZIP observations require a documented consolidation rule first.",ISSUE-GEO-001
geolocation,geolocation_lng,geolocation.geolocation_lng,HOLD_DATA_QUALITY,GEOGRAPHY,False,ZIP_LEVEL_CONSOLIDATION_REQUIRED,"Geographic reference is static, but duplicated/dispersed ZIP observations require a documented consolidation rule first.",ISSUE-GEO-001
geolocation,geolocation_city,geolocation.geolocation_city,HOLD_DATA_QUALITY,GEOGRAPHY,False,ZIP_LEVEL_CONSOLIDATION_REQUIRED,"Geographic reference is static, but duplicated/dispersed ZIP observations require a documented consolidation rule first.",ISSUE-GEO-001
geolocation,geolocation_state,geolocation.geolocation_state,HOLD_DATA_QUALITY,GEOGRAPHY,False,ZIP_LEVEL_CONSOLIDATION_REQUIRED,"Geographic reference is static, but duplicated/dispersed ZIP observations require a documented consolidation rule first.",ISSUE-GEO-001
order_items,shipping_limit_date,order_items.shipping_limit_date,HOLD_PROVENANCE,GEO_PROMISE,False,BLOCKED,Presence in final CSV does not prove operational availability at exact purchase time.,ISSUE-SHIPPING-LIMIT-001
payments,payment_sequential,payments.payment_sequential,HOLD_PROVENANCE,PAYMENT,False,BLOCKED,Exact availability at order_purchase_timestamp has not yet been independently established.,ISSUE-PAYMENT-AVAILABILITY-001
payments,payment_type,payments.payment_type,HOLD_PROVENANCE,PAYMENT,False,BLOCKED,Exact availability at order_purchase_timestamp has not yet been independently established.,ISSUE-PAYMENT-AVAILABILITY-001
payments,payment_installments,payments.payment_installments,HOLD_PROVENANCE,PAYMENT,False,BLOCKED,Exact availability at order_purchase_timestamp has not yet been independently established.,ISSUE-PAYMENT-AVAILABILITY-001
payments,payment_value,payments.payment_value,HOLD_PROVENANCE,PAYMENT,False,BLOCKED,Exact availability at order_purchase_timestamp has not yet been independently established.,ISSUE-PAYMENT-AVAILABILITY-001
