metric,test_month,GN_EQ0,LOGIT_MLE,delta_oriented
AP,2017-07,0.0345513765104141,0.0380198666850392,-0.003468490174625097
AP,2017-08,0.0456898092880282,0.0369600008199187,0.008729808468109501
AP,2017-09,0.0603159884444061,0.0620230130725961,-0.0017070246281899945
AP,2017-10,0.0700438438760717,0.0632327387069356,0.006811105169136092
AP,2017-11,0.185567159765624,0.1710509190186321,0.014516240746991899
AP,2017-12,0.1130053900874406,0.1254137129560179,-0.012408322868577293
AP,2018-01,0.0929231580353399,0.0971558326473038,-0.004232674611963902
AP,2018-02,0.2349070699512213,0.2386188999315727,-0.003711829980351411
AP,2018-03,0.3190058050422735,0.3165251590334481,0.0024806460088254156
AP,2018-04,0.1563463788084707,0.1442057049985887,0.012140673809881986
AP,2018-05,0.1491567702836012,0.1450653601978935,0.004091410085707681
AP,2018-06,0.1000637069458223,0.0941513474150224,0.005912359530799896
AP,2018-07,0.0709994305145665,0.0616582008797647,0.009341229634801801
AP,2018-08,0.0625841788469119,0.0673282395828677,-0.004744060735955791
Brier,2017-07,0.0274011868025741,0.0273360403303542,-6.514647221989717e-05
Brier,2017-08,0.0282012639057465,0.0305979404959241,0.0023966765901776016
Brier,2017-09,0.0420973218619162,0.0420912559240765,-6.065937839701274e-06
Brier,2017-10,0.0395881182605969,0.0396612289847981,7.311072420120024e-05
Brier,2017-11,0.1150360695246932,0.1154758529720823,0.00043978344738909714
Brier,2017-12,0.069527011278743,0.0692221530093052,-0.0003048582694377966
Brier,2018-01,0.0528831533708688,0.0528572633982281,-2.588997264070525e-05
Brier,2018-02,0.1253247185648156,0.1255357616334088,0.00021104306859318078
Brier,2018-03,0.1599955267266399,0.1606319999285789,0.0006364732019390196
Brier,2018-04,0.042422141852509,0.0427039596876492,0.0002818178351402037
Brier,2018-05,0.0591026601420525,0.0590680523842056,-3.460775784690229e-05
Brier,2018-06,0.0138264643706391,0.0140328015196151,0.00020633714897600082
Brier,2018-07,0.0416841204161287,0.0400492585992247,-0.0016348618169039972
Brier,2018-08,0.0656110878600477,0.0648748009417255,-0.0007362869183221987
LogLoss,2017-07,0.1319554749221279,0.1310802986635637,-0.0008751762585642031
LogLoss,2017-08,0.131535644606904,0.1755802788661972,0.0440446342592932
LogLoss,2017-09,0.1797035427809547,0.1796402448967643,-6.329788419040527e-05
LogLoss,2017-10,0.1706638959409769,0.1706390209755851,-2.487496539180234e-05
LogLoss,2017-11,0.4306860458560622,0.4312077853024382,0.0005217394463760128
LogLoss,2017-12,0.2741652028771412,0.2690174691635152,-0.005147733713625979
LogLoss,2018-01,0.2121120929582263,0.2117727234446044,-0.00033936951362190104
LogLoss,2018-02,0.4331449874502622,0.434161100869839,0.001016113419576803
LogLoss,2018-03,0.5181900032631384,0.5205790587978254,0.0023890555346870457
LogLoss,2018-04,0.1810951157857864,0.188455028798857,0.007359913013070596
LogLoss,2018-05,0.2268007409891586,0.2252127837372608,-0.0015879572518977814
LogLoss,2018-06,0.0859472519870155,0.0888941914957574,0.0029469395087419054
LogLoss,2018-07,0.1919755885405293,0.1865637906593118,-0.005411797881217484
LogLoss,2018-08,0.2703179831478082,0.2634400031603705,-0.006877979987437721
AUC,2017-07,0.4540099049444844,0.4636777098809808,-0.009667804936496383
AUC,2017-08,0.5327331540351286,0.5450634793245481,-0.012330325289419575
AUC,2017-09,0.6053571080200548,0.6113658089311146,-0.006008700911059761
AUC,2017-10,0.6123861728082126,0.611601660276924,0.0007845125312886392
AUC,2017-11,0.6206879095458194,0.6114296297770381,0.009258279768781352
AUC,2017-12,0.6415633149811649,0.6602810779484207,-0.018717762967255802
AUC,2018-01,0.6371122170349784,0.6426526614864719,-0.005540444451493487
AUC,2018-02,0.67954546337446,0.6771780891630668,0.002367374211393214
AUC,2018-03,0.6922144976048322,0.688484419339438,0.0037300782653941766
AUC,2018-04,0.7363752671740222,0.7306733546903321,0.005701912483690119
AUC,2018-05,0.7218371574251116,0.7216082913262645,0.00022886609884709141
AUC,2018-06,0.7212536005903778,0.7236222534339515,-0.002368652843573682
AUC,2018-07,0.5598275554321526,0.560143224518398,-0.00031566908624547363
AUC,2018-08,0.4328540497089291,0.4568748460371585,-0.0240207963282294
