test_month,model,selected_alpha,AP,Brier,LogLoss,AUC
2017-08,GN_EQ0,,0.04568980928802821,0.02820126390574655,0.13153564460690403,0.5327331540351286
2017-08,LOGIT_MLE,,0.036960000819918765,0.030597940495924125,0.17558027886619718,0.5450634793245481
2017-08,ENSEMBLE,0.0,0.036960000819918765,0.030597940495924125,0.17558027886619718,0.5450634793245481
2017-09,GN_EQ0,,0.060315988444406166,0.042097321861916295,0.17970354278095477,0.6053571080200548
2017-09,LOGIT_MLE,,0.06202301307259617,0.04209125592407652,0.17964024489676436,0.6113658089311146
2017-09,ENSEMBLE,1.0,0.060315988444406166,0.042097321861916295,0.17970354278095477,0.6053571080200548
2017-10,GN_EQ0,,0.07004384387607179,0.03958811826059689,0.17066389594097697,0.6123861728082126
2017-10,LOGIT_MLE,,0.06323273870693563,0.03966122898479816,0.1706390209755852,0.611601660276924
2017-10,ENSEMBLE,1.0,0.07004384387607179,0.03958811826059689,0.17066389594097697,0.6123861728082126
2017-11,GN_EQ0,,0.185567159765624,0.11503606952469324,0.4306860458560623,0.6206879095458194
2017-11,LOGIT_MLE,,0.17105091901863212,0.11547585297208238,0.43120778530243836,0.6114296297770381
2017-11,ENSEMBLE,1.0,0.185567159765624,0.11503606952469324,0.4306860458560623,0.6206879095458194
2017-12,GN_EQ0,,0.11300539008744061,0.06952701127874301,0.27416520287714125,0.6415633149811649
2017-12,LOGIT_MLE,,0.1254137129560179,0.06922215300930523,0.2690174691635153,0.6602810779484207
2017-12,ENSEMBLE,1.0,0.11300539008744061,0.06952701127874301,0.27416520287714125,0.6415633149811649
2018-01,GN_EQ0,,0.09292315803533995,0.052883153370868886,0.21211209295822636,0.6371122170349784
2018-01,LOGIT_MLE,,0.09715583264730386,0.052857263398228126,0.2117727234446044,0.6426526614864719
2018-01,ENSEMBLE,1.0,0.09292315803533995,0.052883153370868886,0.21211209295822636,0.6371122170349784
2018-02,GN_EQ0,,0.23490706995122135,0.1253247185648156,0.43314498745026236,0.67954546337446
2018-02,LOGIT_MLE,,0.23861889993157276,0.12553576163340888,0.43416110086983906,0.6771780891630668
2018-02,ENSEMBLE,1.0,0.23490706995122135,0.1253247185648156,0.43314498745026236,0.67954546337446
2018-03,GN_EQ0,,0.3190058050422735,0.15999552672663994,0.5181900032631385,0.6922144976048322
2018-03,LOGIT_MLE,,0.3165251590334481,0.16063199992857896,0.5205790587978255,0.688484419339438
2018-03,ENSEMBLE,1.0,0.3190058050422735,0.15999552672663994,0.5181900032631385,0.6922144976048322
2018-04,GN_EQ0,,0.15634637880847074,0.04242214185250904,0.18109511578578644,0.7363752671740222
2018-04,LOGIT_MLE,,0.14420570499858879,0.042703959687649284,0.18845502879885698,0.7306733546903321
2018-04,ENSEMBLE,1.0,0.15634637880847074,0.04242214185250904,0.18109511578578644,0.7363752671740222
2018-05,GN_EQ0,,0.14915677028360122,0.059102660142052524,0.2268007409891586,0.7218371574251116
2018-05,LOGIT_MLE,,0.14506536019789357,0.05906805238420563,0.2252127837372608,0.7216082913262645
2018-05,ENSEMBLE,1.0,0.14915677028360122,0.059102660142052524,0.2268007409891586,0.7218371574251116
2018-06,GN_EQ0,,0.10006370694582238,0.013826464370639184,0.08594725198701551,0.7212536005903778
2018-06,LOGIT_MLE,,0.09415134741502243,0.014032801519615163,0.0888941914957574,0.7236222534339515
2018-06,ENSEMBLE,1.0,0.10006370694582238,0.013826464370639184,0.08594725198701551,0.7212536005903778
2018-07,GN_EQ0,,0.07099943051456652,0.04168412041612877,0.1919755885405293,0.5598275554321526
2018-07,LOGIT_MLE,,0.06165820087976471,0.04004925859922476,0.18656379065931178,0.560143224518398
2018-07,ENSEMBLE,1.0,0.07099943051456652,0.04168412041612877,0.1919755885405293,0.5598275554321526
2018-08,GN_EQ0,,0.06258417884691196,0.06561108786004777,0.27031798314780825,0.43285404970892916
2018-08,LOGIT_MLE,,0.0673282395828677,0.06487480094172556,0.2634400031603705,0.45687484603715856
2018-08,ENSEMBLE,0.75,0.06361579470726492,0.06540981468068932,0.2683164625364338,0.4386305194328117
