test_month,n_prior_months,alpha_GN_EQ0,alpha_LOGIT_MLE,historical_selection_Brier
2017-08,1,0.0,1.0,0.02733604033035425
2017-09,2,1.0,0.0,0.027817039323589535
2017-10,3,1.0,0.0,0.03266767877274944
2017-11,4,1.0,0.0,0.03452352761696549
2017-12,5,1.0,0.0,0.059011197615571165
2018-01,6,1.0,0.0,0.060977041676777144
2018-02,7,1.0,0.0,0.059411057017469814
2018-03,8,1.0,0.0,0.06942676101081212
2018-04,9,1.0,0.0,0.0820879659670538
2018-05,10,1.0,0.0,0.07734956259533186
2018-06,11,1.0,0.0,0.07541452080034965
2018-07,12,1.0,0.0,0.07002697464705541
2018-08,13,0.75,0.25,0.06772065470542572
