path,category,technical_type,extension,size_bytes,size_human,sha256,staging_status,preliminary_publication_policy
reports/audit/03_data_diagnosis/06_financial_consistency_by_order.csv,SCIENTIFIC_REPORT,TEXT_OR_TABULAR,.csv,9000792,8.58 MB,cf36a91b2e82ad05e0c2bbf75e4bce722bc72e304a55fcea72c57ccce15ba726,NOT_IN_STAGING,NORMAL_GIT_POSSIBLE_REVIEW_FIRST
reports/audit/03_data_diagnosis/11_geolocation_zip_profile.csv,SCIENTIFIC_REPORT,TEXT_OR_TABULAR,.csv,3169879,3.02 MB,1e9449f0a4329717dd9768ea8180377edc3c715c0cd58a862b49a7e2d0dd05d7,NOT_IN_STAGING,NORMAL_GIT_POSSIBLE_REVIEW_FIRST
reports/data_quality/gate_03b_conditional_task/04_task_order_feature_readiness.csv,SCIENTIFIC_REPORT,TEXT_OR_TABULAR,.csv,18040971,17.21 MB,a6abfa914c42ee38e3183f52c78ffcf3e04a5ebcd8366c53e43aff4defee2fff,NOT_IN_STAGING,NORMAL_GIT_POSSIBLE_REVIEW_FIRST
reports/data_quality/gate_05_point_in_time/03a_seller_history_pit_audit_matrix.csv,SCIENTIFIC_REPORT,TEXT_OR_TABULAR,.csv,19545864,18.64 MB,2a1a63eb859d3b9051c70e9bb4d7053987b4217c268746692777c0c1e82ebe78,NOT_IN_STAGING,NORMAL_GIT_POSSIBLE_REVIEW_FIRST
reports/data_quality/gate_05_point_in_time/03f_order_level_seller_history_coverage.csv,SCIENTIFIC_REPORT,TEXT_OR_TABULAR,.csv,6302092,6.01 MB,4cfbb386903430c064b8f4411b73bcf6492e9616c194f316c4aa70b03bfaddc0,NOT_IN_STAGING,NORMAL_GIT_POSSIBLE_REVIEW_FIRST
reports/final_closeout/25i_prequential_blend_predictions.csv,SCIENTIFIC_REPORT,TEXT_OR_TABULAR,.csv,5524093,5.27 MB,fc4f17ed14f31cb545e789fb60b366abcb84dc88b61f0644441a950123196cff,NOT_IN_STAGING,NORMAL_GIT_POSSIBLE_REVIEW_FIRST
reports/modeling/model_01_order_logistic/02a_functional_pit_order_index.csv,SCIENTIFIC_REPORT,TEXT_OR_TABULAR,.csv,6645412,6.34 MB,882c8800810d16fecfd6445379ba7272f9e676ddc5eb25fe0ad2407f8fed2513,NOT_IN_STAGING,NORMAL_GIT_POSSIBLE_REVIEW_FIRST
reports/modeling/model_01_order_logistic/02l_history_support_by_order.csv,SCIENTIFIC_REPORT,TEXT_OR_TABULAR,.csv,9631640,9.19 MB,376af5b399301ac30f28a2b70945ad72d00d0e3add09e2418c73ef695d49d145,NOT_IN_STAGING,NORMAL_GIT_POSSIBLE_REVIEW_FIRST
reports/modeling/model_01_order_logistic/04m_temporal_bcv_fold_rank_errors.csv,SCIENTIFIC_REPORT,TEXT_OR_TABULAR,.csv,2413055,2.30 MB,0f4e3c9553ff9ba0f6c907fd56f22ace72013ad6999c6c8cbb5b7c0a73a13523,NOT_IN_STAGING,NORMAL_GIT_POSSIBLE_REVIEW_FIRST
reports/spatiotemporal_logistics/scientific/gnadmm_delivery/20b_constraint_ablation_oot_predictions.csv,SCIENTIFIC_REPORT,TEXT_OR_TABULAR,.csv,9711201,9.26 MB,e84dab09f315cffea2f2ed1cf8be682ccd0c40b4a6df7cc591c1bdcc278750fc,NOT_IN_STAGING,NORMAL_GIT_POSSIBLE_REVIEW_FIRST
artifacts/model_01_order_logistic/functional_feasibility/02g_purchase_volume_curve_90d.npy,GENERATED_ARTIFACT,BINARY_DATA_ARTIFACT,.npy,34729328,33.12 MB,774a32d80db452cff707fe6d35140f26602406f3abe39c2e634c8098e392bfba,NOT_IN_STAGING,REVIEW_LFS_OR_REPRODUCE
artifacts/model_01_order_logistic/functional_feasibility/02h_purchase_freight_curve_90d.npy,GENERATED_ARTIFACT,BINARY_DATA_ARTIFACT,.npy,69458528,66.24 MB,3075494fa8664e760091df26c14a6b9bf3ae75bc22de55a8c60d70e38b1209c1,NOT_IN_STAGING,REVIEW_LFS_OR_REPRODUCE
artifacts/model_01_order_logistic/pretraining/ORDER_CORE_V1_AUDIT_MATRIX.csv,GENERATED_ARTIFACT,TEXT_OR_TABULAR,.csv,12872987,12.28 MB,1bd81b991def0773c8cafcaaf579e31049a8af0695024324c79ac3bf56abc20d,NOT_IN_STAGING,NORMAL_GIT_POSSIBLE_REVIEW_FIRST
artifacts/shipping_friction/27a_01_shipping_friction_core.csv,GENERATED_ARTIFACT,TEXT_OR_TABULAR,.csv,29771671,28.39 MB,f50fac05ea69a9e774779716243e3eb1a58aee762b8893ad5b29c3b97ddb8e26,NOT_IN_STAGING,REVIEW_LFS_OR_REPRODUCE
artifacts/shipping_friction/27a_02_burden_segments.csv,GENERATED_ARTIFACT,TEXT_OR_TABULAR,.csv,8445077,8.05 MB,65a61902f5a23bd7e6702e9cac2e13048324e0ebc6a4ffb13d5df111bc5b644e,NOT_IN_STAGING,NORMAL_GIT_POSSIBLE_REVIEW_FIRST
artifacts/shipping_friction/27a_03_service_performance_core.csv,GENERATED_ARTIFACT,TEXT_OR_TABULAR,.csv,21306489,20.32 MB,97777181c7f9f1eb19e2d42bb18d733815a479688b28d8683a1c65e41bb71281,NOT_IN_STAGING,REVIEW_LFS_OR_REPRODUCE
artifacts/shipping_friction/27a_04_cost_service_core.csv,GENERATED_ARTIFACT,TEXT_OR_TABULAR,.csv,21101510,20.12 MB,cf6835722341e3f2e567f07cd169cafd27da558e860f287d5e65178cc4e15256,NOT_IN_STAGING,REVIEW_LFS_OR_REPRODUCE
