purchase_month,orders,computable,numerical_rank,nullity,angle_1_global_vs_month_deg,angle_2_global_vs_month_deg,max_angle_global_vs_month_deg,mean_angle_global_vs_month_deg,angle_1_theoretical_vs_month_deg,angle_2_theoretical_vs_month_deg,max_angle_theoretical_vs_month_deg,mean_angle_theoretical_vs_month_deg,smallest_retained_relative_singular_value
2016-09,1,False,,,,,,,,,,,
2016-10,265,True,11.0,2.0,4.376795736892371e-11,1.0623183627248661e-13,4.376795736892371e-11,2.1937094602598097e-11,4.368631793238914e-11,7.4729804237564e-14,4.368631793238914e-11,2.1880523868313352e-11,8.648459148423337e-05
2016-12,1,False,,,,,,,,,,,
2017-01,750,True,11.0,2.0,8.287968383076068e-13,4.499374314063503e-14,8.287968383076068e-13,4.368952907241209e-13,9.013375906337897e-13,4.123070721803812e-14,9.013375906337897e-13,4.712841489259139e-13,0.000997848133723247
2017-02,1653,True,11.0,2.0,3.752497660012461e-13,1.9372520658348858e-14,3.752497660012461e-13,1.973111433297975e-13,3.0955983341253896e-13,2.489913305875904e-14,3.0955983341253896e-13,1.67229483235649e-13,0.0011298200483340366
2017-03,2546,True,11.0,2.0,6.04152975666884e-13,3.7036733685887257e-14,6.04152975666884e-13,3.2059485467638564e-13,5.006955758440917e-13,2.3444637837309915e-14,5.006955758440917e-13,2.6207010684070084e-13,0.001408718113706178
2017-04,2303,True,11.0,2.0,2.2492594711415545e-13,3.52499783179774e-14,2.2492594711415545e-13,1.3008796271606642e-13,3.0772876707676744e-13,2.5029969977465804e-14,3.0772876707676744e-13,1.663793685271166e-13,0.0015035088168118395
2017-05,3545,True,11.0,2.0,1.689791914859453e-13,5.4047370589009105e-14,1.689791914859453e-13,1.115132810374772e-13,2.6603099474761046e-13,2.170009789571352e-14,2.6603099474761046e-13,1.43865546321662e-13,0.0022261140719662944
2017-06,3135,True,11.0,2.0,7.431212830755685e-13,6.32160959320091e-14,7.431212830755685e-13,4.0316868950378883e-13,6.326227420462689e-13,2.995845101775374e-14,6.326227420462689e-13,3.3129059653201134e-13,0.000760977282228203
2017-07,3872,True,11.0,2.0,7.90534002140909e-13,7.818235255862385e-14,7.90534002140909e-13,4.343581773497664e-13,7.099882301518677e-13,4.6344562095791064e-14,7.099882301518677e-13,3.781663961238294e-13,0.0016951482319566267
2017-08,4193,True,11.0,2.0,3.441623146612334e-13,2.899315114571537e-14,3.441623146612334e-13,1.865777329034744e-13,2.9065596266094407e-13,4.0300353102131103e-14,2.9065596266094407e-13,1.6547815788153759e-13,0.0033621671884503626
2017-09,4150,True,11.0,2.0,2.040145162534703e-12,5.54753457366742e-14,2.040145162534703e-12,1.0478102541356887e-12,1.934786544868148e-12,3.686862768584288e-14,1.934786544868148e-12,9.858275862769956e-13,0.0007570591014056766
2017-10,4478,True,11.0,2.0,1.0608607722048352e-12,5.076510319743471e-14,1.0608607722048352e-12,5.55812937701135e-13,9.529648004967264e-13,2.4931809880100226e-14,9.529648004967264e-13,4.889483051884133e-13,0.0008411376290760245
2017-11,7288,True,11.0,2.0,3.4133737123951116e-13,1.4526146833901968e-14,3.4133737123951116e-13,1.7793175903670657e-13,4.1893078227190083e-13,1.1726054143911639e-14,4.1893078227190083e-13,2.1532841820790624e-13,0.0020470277938418277
2017-12,5513,True,11.0,2.0,2.923822054200455e-13,2.545798014528706e-14,2.923822054200455e-13,1.589200927826663e-13,1.93195529592933e-13,5.785262412150148e-14,1.93195529592933e-13,1.2552407685721723e-13,0.0025770094163942115
2018-01,7069,True,11.0,2.0,1.464036614762827e-13,8.133891123678622e-14,1.464036614762827e-13,1.1387128635653446e-13,1.5533579020753364e-13,2.379048643524225e-14,1.5533579020753364e-13,8.956313832138794e-14,0.0026635667613996343
2018-02,6555,True,11.0,2.0,3.3939349784469466e-13,2.6970609375880273e-14,3.3939349784469466e-13,1.8318205361028747e-13,4.0600478411091186e-13,2.301807687693892e-14,4.0600478411091186e-13,2.145114304939254e-13,0.0016971250390918039
2018-03,7003,True,11.0,2.0,4.736660115904987e-13,3.223378158085767e-14,4.736660115904987e-13,2.529498965856782e-13,5.535634473470897e-13,3.2161395755814336e-14,5.535634473470897e-13,2.9286242155145203e-13,0.0013155561079218746
2018-04,6798,True,11.0,2.0,1.4471807109504662e-13,1.0937176007695182e-13,1.4471807109504662e-13,1.2704491558599921e-13,1.9893804628511144e-13,4.602608949619036e-14,1.9893804628511144e-13,1.224820678906509e-13,0.0026506499508666447
2018-05,6749,True,11.0,2.0,1.3890117156268327e-13,1.8725365446535934e-14,1.3890117156268327e-13,7.88132685046096e-14,6.732991390083727e-14,3.02684908666928e-14,6.732991390083727e-14,4.879920238376504e-14,0.011645015154070598
2018-06,6096,True,11.0,2.0,2.6681877604711773e-13,8.015047752027512e-14,2.6681877604711773e-13,1.7348462678369643e-13,2.2922757020229755e-13,3.494686957216163e-14,2.2922757020229755e-13,1.3208721988722959e-13,0.0011446668812771183
2018-07,6156,True,11.0,2.0,3.0942268349764475e-13,2.5611968478290175e-14,3.0942268349764475e-13,1.6751732598796745e-13,2.325217218746863e-13,2.3447745690695852e-14,2.325217218746863e-13,1.2798473378269108e-13,0.002418014469460132
2018-08,6351,True,11.0,2.0,6.186025059829537e-14,2.4947119917622854e-14,6.186025059829537e-14,4.340368525795911e-14,1.5878472731284244e-13,2.7580969275158246e-14,1.5878472731284244e-13,9.318284829400034e-14,0.0043638307464685605
