purchase_month,orders,late_orders,on_time_orders,late_rate_pct,previous_month,previous_late_rate_pct,late_rate_delta_pp
2016-09,1,1,0,100.0,,,
2016-10,265,2,263,0.7547169811320755,2016-09,100.0,-99.24528301886792
2016-12,1,0,1,0.0,2016-10,0.7547169811320755,-0.7547169811320755
2017-01,750,22,728,2.933333333333333,2016-12,0.0,2.933333333333333
2017-02,1653,49,1604,2.9643073200241985,2017-01,2.933333333333333,0.030973986690865374
2017-03,2546,116,2430,4.556166535742341,2017-02,2.9643073200241985,1.5918592157181428
2017-04,2303,151,2152,6.556665219279201,2017-03,4.556166535742341,2.0004986835368594
2017-05,3545,106,3439,2.9901269393511987,2017-04,6.556665219279201,-3.566538279928002
2017-06,3135,95,3040,3.0303030303030303,2017-05,2.9901269393511987,0.04017609095183161
2017-07,3872,108,3764,2.7892561983471076,2017-06,3.0303030303030303,-0.2410468319559227
2017-08,4193,122,4071,2.9096112568566657,2017-07,2.7892561983471076,0.12035505850955808
2017-09,4150,182,3968,4.385542168674699,2017-08,2.9096112568566657,1.4759309118180335
2017-10,4478,187,4291,4.17597141581063,2017-09,4.385542168674699,-0.20957075286406912
2017-11,7288,904,6384,12.403951701427003,2017-10,4.17597141581063,8.227980285616372
2017-12,5513,411,5102,7.455106112824233,2017-11,12.403951701427003,-4.94884558860277
2018-01,7069,403,6666,5.7009478002546325,2017-12,7.455106112824233,-1.7541583125696008
2018-02,6555,926,5629,14.126620900076277,2018-01,5.7009478002546325,8.425673099821644
2018-03,7003,1328,5675,18.96330144223904,2018-02,14.126620900076277,4.836680542162762
2018-04,6798,306,6492,4.501323918799647,2018-03,18.96330144223904,-14.461977523439392
2018-05,6749,443,6306,6.563935397836716,2018-04,4.501323918799647,2.062611479037069
2018-06,6096,71,6025,1.1646981627296589,2018-05,6.563935397836716,-5.399237235107058
2018-07,6156,208,5948,3.378817413905133,2018-06,1.1646981627296589,2.2141192511754744
2018-08,6351,393,5958,6.188001889466226,2018-07,3.378817413905133,2.809184475561093
