purchase_month,orders,feature,mean,std,p05,p25,median,p75,p95,min,max
2016-09,1,item_count,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2016-09,1,unique_product_count,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-09,1,unique_seller_count,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-09,1,total_price,134.97,,134.97,134.97,134.97,134.97,134.97,134.97,134.97
2016-09,1,mean_price,44.99,,44.99,44.99,44.99,44.99,44.99,44.99,44.99
2016-09,1,max_price,44.99,,44.99,44.99,44.99,44.99,44.99,44.99,44.99
2016-09,1,min_price,44.99,,44.99,44.99,44.99,44.99,44.99,44.99,44.99
2016-09,1,price_range,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09,1,total_freight,8.49,,8.49,8.49,8.49,8.49,8.49,8.49,8.49
2016-09,1,mean_freight,2.83,,2.83,2.83,2.83,2.83,2.83,2.83,2.83
2016-09,1,max_freight,2.83,,2.83,2.83,2.83,2.83,2.83,2.83,2.83
2016-09,1,merchandise_plus_freight,143.46,,143.46,143.46,143.46,143.46,143.46,143.46,143.46
2016-09,1,freight_price_ratio,0.0629028673038453,,0.0629028673038453,0.0629028673038453,0.0629028673038453,0.0629028673038453,0.0629028673038453,0.0629028673038453,0.0629028673038453
2016-10,265,item_count,1.181132075471698,0.6493168332287689,1.0,1.0,1.0,1.0,2.0,1.0,6.0
2016-10,265,unique_product_count,1.0528301886792453,0.3441082973386616,1.0,1.0,1.0,1.0,1.0,1.0,5.0
2016-10,265,unique_seller_count,1.0113207547169811,0.10599524245771913,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2016-10,265,total_price,152.17022641509433,183.07640769289858,19.9,49.8,89.0,174.9,539.9899999999991,6.0,1399.0
2016-10,265,mean_price,138.46821509433963,177.20654797914386,19.9,44.9,75.9,149.9,479.9899999999983,6.0,1399.0
2016-10,265,max_price,138.96528301886792,177.17450982315404,19.9,44.9,75.9,149.9,479.9899999999983,6.0,1399.0
2016-10,265,min_price,137.96550943396227,177.38725320134768,19.9,44.9,74.9,149.9,479.9899999999983,6.0,1399.0
2016-10,265,price_range,0.9997735849056604,10.13619111910818,0.0,0.0,0.0,0.0,0.0,0.0,129.9
2016-10,265,total_freight,23.266226415094337,19.289863783786213,10.96,14.52,17.53,24.84,57.55399999999997,8.72,169.12
2016-10,265,mean_freight,19.980041509433963,14.457689455649465,10.96,14.45,16.33,21.56,34.318,8.72,169.12
2016-10,265,max_freight,20.17988679245283,14.50134916615177,10.96,14.52,16.65,21.99,35.43799999999998,8.72,169.12
2016-10,265,merchandise_plus_freight,175.43645283018867,191.9140409207243,34.46,64.83,111.22,196.27,613.3359999999999,18.62,1423.55
2016-10,265,freight_price_ratio,0.2924996972682349,0.26488522701908085,0.048413242708009,0.1244375484871993,0.2234446889377875,0.3655357142857142,0.7674452798663325,0.0175482487491065,2.3516666666666666
2016-12,1,item_count,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-12,1,unique_product_count,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-12,1,unique_seller_count,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-12,1,total_price,10.9,,10.9,10.9,10.9,10.9,10.9,10.9,10.9
2016-12,1,mean_price,10.9,,10.9,10.9,10.9,10.9,10.9,10.9,10.9
2016-12,1,max_price,10.9,,10.9,10.9,10.9,10.9,10.9,10.9,10.9
2016-12,1,min_price,10.9,,10.9,10.9,10.9,10.9,10.9,10.9,10.9
2016-12,1,price_range,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12,1,total_freight,8.72,,8.72,8.72,8.72,8.72,8.72,8.72,8.72
2016-12,1,mean_freight,8.72,,8.72,8.72,8.72,8.72,8.72,8.72,8.72
2016-12,1,max_freight,8.72,,8.72,8.72,8.72,8.72,8.72,8.72,8.72
2016-12,1,merchandise_plus_freight,19.62,,19.62,19.62,19.62,19.62,19.62,19.62,19.62
2016-12,1,freight_price_ratio,0.8,,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2017-01,750,item_count,1.2173333333333334,0.8344826964751942,1.0,1.0,1.0,1.0,2.0,1.0,15.0
2017-01,750,unique_product_count,1.0466666666666666,0.2815337230336047,1.0,1.0,1.0,1.0,1.0,1.0,6.0
2017-01,750,unique_seller_count,1.0053333333333334,0.07288327323590096,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2017-01,750,total_price,149.06448000000003,231.04662717837627,10.99,38.9,82.65,168.75,446.27749999999975,2.9,2999.0
2017-01,750,mean_price,133.77032222222223,218.22046905937177,10.9,34.9,69.9,144.8675,380.0,2.9,2999.0
2017-01,750,max_price,134.48368000000002,218.6771791767823,10.9,34.9,69.9,147.175,380.0,2.9,2999.0
2017-01,750,min_price,133.10828000000004,218.15716151986578,10.9,34.9,69.9,144.325,380.0,2.9,2999.0
2017-01,750,price_range,1.3754000000000002,18.81310109481524,0.0,0.0,0.0,0.0,0.0,0.0,483.2
2017-01,750,total_freight,20.912013333333338,12.733362686799337,8.72,14.52,18.0,22.097500000000004,50.0,8.72,119.16
2017-01,750,mean_freight,18.315578888888886,9.887871206064688,8.72,13.907499999999999,16.11,19.427500000000002,36.663999999999994,1.2,97.27
2017-01,750,max_freight,18.470920000000003,9.906948773408082,8.72,14.11,16.27,19.8475,36.84299999999999,1.2,97.27
2017-01,750,merchandise_plus_freight,169.97649333333334,235.4496574740401,22.500500000000002,55.0575,104.10499999999999,196.1225,478.60599999999977,11.62,3016.01
2017-01,750,freight_price_ratio,0.3449804646132679,0.37649170991605546,0.050464424978753024,0.1232402492499422,0.23370818930184833,0.42011868868150276,0.962336499085126,0.00567189063021,5.005005005005005
2017-02,1653,item_count,1.1240169388989716,0.44935825071461316,1.0,1.0,1.0,1.0,2.0,1.0,6.0
2017-02,1653,unique_product_count,1.0350877192982457,0.2227455147350115,1.0,1.0,1.0,1.0,1.0,1.0,4.0
2017-02,1653,unique_seller_count,1.0078644888082275,0.09496323248450529,1.0,1.0,1.0,1.0,1.0,1.0,3.0
2017-02,1653,total_price,141.6959467634604,282.5990813640388,18.99,39.9,84.9,149.9,399.93199999999996,5.9,6735.0
2017-02,1653,mean_price,131.69357632587216,278.9221399496626,18.326000000000004,39.7,76.05,136.97,379.9,5.3,6735.0
2017-02,1653,max_price,132.3175438596491,278.9512620126809,18.784000000000002,39.9,76.9,139.9,379.9,5.3,6735.0
2017-02,1653,min_price,131.1540350877193,278.9952015297501,17.500000000000007,38.5,74.99,135.0,379.9,5.3,6735.0
2017-02,1653,price_range,1.1635087719298245,10.848237553632854,0.0,0.0,0.0,0.0,0.0,0.0,210.01
2017-02,1653,total_freight,22.39317604355717,18.472293519231346,10.96,14.52,17.2,24.0,50.0,8.72,251.32
2017-02,1653,mean_freight,19.90533121597096,13.793455574844058,10.96,14.11,16.14,21.22,42.849999999999994,8.72,194.31
2017-02,1653,max_freight,20.0970296430732,13.945254061678561,10.96,14.14,16.21,21.34,43.55799999999999,8.72,194.31
2017-02,1653,merchandise_plus_freight,164.08912280701756,291.21254770974497,31.164,56.64,105.83,174.28,457.93199999999894,15.29,6929.31
2017-02,1653,freight_price_ratio,0.3367166766969774,0.3480368950946984,0.05661661042700914,0.1367881643111001,0.2322734499205087,0.4059259259259259,0.9715942028985507,0.009791918356536,3.2245283018867927
2017-03,2546,item_count,1.1378633150039277,0.489821737524501,1.0,1.0,1.0,1.0,2.0,1.0,6.0
2017-03,2546,unique_product_count,1.0341712490180675,0.20792463246103912,1.0,1.0,1.0,1.0,1.0,1.0,4.0
2017-03,2546,unique_seller_count,1.0019638648860958,0.04428067593793528,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2017-03,2546,total_price,141.0836017282011,233.27489314686355,18.99,42.9,84.98499999999999,149.0,429.67499999999995,4.9,3999.9
2017-03,2546,mean_price,130.74685487038488,227.49253085265866,17.82,39.0,76.49,135.975,389.9,4.9,3999.9
2017-03,2546,max_price,131.33856637863315,227.6938133133308,17.84,39.0,79.0,137.6725,396.725,4.9,3999.9
2017-03,2546,min_price,130.24164571877455,227.4885138971404,17.6775,38.5,75.945,133.73250000000002,389.9,4.9,3999.9
2017-03,2546,price_range,1.0969206598586019,13.599387242898402,0.0,0.0,0.0,0.0,0.0,0.0,439.2
2017-03,2546,total_freight,21.654399057344857,16.81117782940883,10.96,14.52,16.520000000000003,22.689999999999998,48.87,8.72,209.82
2017-03,2546,mean_freight,19.11769278606965,12.902582857322512,10.96,14.11,16.01,20.8,36.525,8.333333333333334,193.63
2017-03,2546,max_freight,19.228012568735274,12.964092154880529,10.96,14.11,16.05,20.8,36.7475,8.72,193.63
2017-03,2546,merchandise_plus_freight,162.73800078554595,239.43658538148466,31.9525,58.8375,101.53,174.595,464.5225,14.62,4016.91
2017-03,2546,freight_price_ratio,0.3163170802725676,0.2958923345257456,0.051407164247268655,0.13468601504997507,0.229255078843603,0.3926421404682274,0.8587692942146814,0.0042526063151578,3.2755102040816326
2017-04,2303,item_count,1.115501519756839,0.4154261499653259,1.0,1.0,1.0,1.0,2.0,1.0,6.0
2017-04,2303,unique_product_count,1.0316977854971776,0.18721756795028796,1.0,1.0,1.0,1.0,1.0,1.0,3.0
2017-04,2303,unique_seller_count,1.0078158923143725,0.08808049083850274,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2017-04,2303,total_price,147.92430742509768,263.0604372465382,18.9,42.99,87.89,164.33,419.71000000000015,4.9,4799.0
2017-04,2303,mean_price,138.36086336662322,257.50927430161704,17.9,39.599999999999994,79.9,139.99,399.88599999999997,4.9,4799.0
2017-04,2303,max_price,138.8837603126357,257.6379499376221,17.9,39.9,79.9,139.995,399.9,4.9,4799.0
2017-04,2303,min_price,137.9143161094225,257.5340243330624,17.5,39.0,79.9,139.98000000000002,399.88599999999997,4.9,4799.0
2017-04,2303,price_range,0.9694442032132002,12.98564591300089,0.0,0.0,0.0,0.0,0.0,0.0,453.0
2017-04,2303,total_freight,21.772783326096395,16.819658782866522,10.96,14.52,16.61,24.35,48.92700000000004,8.72,249.08
2017-04,2303,mean_freight,19.680767839050514,14.177726540965406,10.96,14.11,16.05,21.0025,37.50300000000001,8.72,195.76
2017-04,2303,max_freight,19.802244897959184,14.227145012622834,10.96,14.165,16.05,21.08,37.705000000000005,8.72,195.76
2017-04,2303,merchandise_plus_freight,169.6970907511941,271.4325556187814,32.039,59.72,103.63,187.47,467.961,15.86,4950.34
2017-04,2303,freight_price_ratio,0.31560789609201334,0.30627315030910446,0.05015108084240641,0.1296556606894726,0.2236734693877551,0.3963733075435203,0.8902347948167634,0.0065701042873696,5.06938775510204
2017-05,3545,item_count,1.1291960507757406,0.45966796853125874,1.0,1.0,1.0,1.0,2.0,1.0,7.0
2017-05,3545,unique_product_count,1.0394922425952045,0.21802978732120906,1.0,1.0,1.0,1.0,1.0,1.0,4.0
2017-05,3545,unique_seller_count,1.0090267983074752,0.09459301926112075,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2017-05,3545,total_price,137.98568406205925,228.5719428077941,17.0,45.9,87.9,145.0,399.99,4.5,6499.0
2017-05,3545,mean_price,126.61192712740952,212.26702225529428,16.99,39.99,79.0,135.0,379.9,4.5,6499.0
2017-05,3545,max_price,127.3384513399154,212.74746225989213,16.99,40.33,79.9,135.0,379.972,4.5,6499.0
2017-05,3545,min_price,125.94703808180536,212.20585633146717,16.9,39.9,79.0,134.9,379.71999999999974,4.5,6499.0
2017-05,3545,price_range,1.3914132581100143,17.918019156763336,0.0,0.0,0.0,0.0,0.0,0.0,560.1
2017-05,3545,total_freight,21.86125528913963,19.95718776920189,8.72,14.1,16.46,23.55,49.00999999999988,7.78,497.08
2017-05,3545,mean_freight,19.506908791725436,15.656193321247766,8.392000000000001,13.79,15.87,19.66,39.593999999999966,7.550000000000001,312.41
2017-05,3545,max_freight,19.67974330042313,15.729252573824105,8.51,13.93,16.05,20.08,40.263999999999996,7.78,312.41
2017-05,3545,merchandise_plus_freight,159.84693935119884,237.86926985828862,31.724,61.2,104.28,169.88,446.9799999999997,12.28,6726.66
2017-05,3545,freight_price_ratio,0.3151411447266124,0.31981684205070177,0.052743398173700363,0.1329110910043335,0.2180257510729613,0.3830945558739255,0.88875809299588,0.0100035727045373,5.739495798319327
2017-06,3135,item_count,1.1129186602870813,0.42946174971307466,1.0,1.0,1.0,1.0,2.0,1.0,6.0
2017-06,3135,unique_product_count,1.0354066985645933,0.22529131425623417,1.0,1.0,1.0,1.0,1.0,1.0,6.0
2017-06,3135,unique_seller_count,1.0079744816586922,0.08895736909219462,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2017-06,3135,total_price,134.58480701754385,216.48703408993103,17.0,44.995000000000005,79.9,143.64,385.6,3.49,2999.89
2017-06,3135,mean_price,126.01533147262096,209.13777792211025,16.9,39.9,74.99,134.535,362.88599999999815,3.49,2999.89
2017-06,3135,max_price,126.5011515151515,209.84447501890872,16.9,39.9,75.0,134.9,367.52,3.49,2999.89
2017-06,3135,min_price,125.51320255183414,208.73784275765948,16.9,39.9,74.9,134.08499999999998,360.1999999999997,3.49,2999.89
2017-06,3135,price_range,0.9879489633173844,16.409953898575132,0.0,0.0,0.0,0.0,0.0,0.0,776.07
2017-06,3135,total_freight,21.7311004784689,25.2827750115704,8.27,14.1,16.49,23.6,48.33,7.78,1002.29
2017-06,3135,mean_freight,19.543872674109515,14.967218362520626,8.11,13.61,16.11,19.76,40.995999999999995,3.6,314.02
2017-06,3135,max_freight,19.671317384370017,15.065581643011567,8.27,13.65,16.11,20.05,42.053,4.0,314.02
2017-06,3135,merchandise_plus_freight,156.31590749601276,225.49234886264878,30.6,61.05,100.33,167.29,432.7119999999985,12.89,3048.27
2017-06,3135,freight_price_ratio,0.3142872069756706,0.2951142512653968,0.0528851540616246,0.1349276974416017,0.2338461538461538,0.397008451399515,0.8519298923277482,0.0121895054737636,4.810888252148996
2017-07,3872,item_count,1.140495867768595,0.5722350204318137,1.0,1.0,1.0,1.0,2.0,1.0,21.0
2017-07,3872,unique_product_count,1.0426136363636365,0.23400456711822545,1.0,1.0,1.0,1.0,1.0,1.0,4.0
2017-07,3872,unique_seller_count,1.0175619834710743,0.13901318924764508,1.0,1.0,1.0,1.0,1.0,1.0,3.0
2017-07,3872,total_price,124.3813326446281,158.16672315076576,19.9,45.9,84.5,149.0,349.84499999999997,3.9,2999.89
2017-07,3872,mean_price,113.09730992350454,144.76124590112613,18.9,42.9375,75.9,134.9,299.9405,1.5142857142857142,2999.89
2017-07,3872,max_price,113.8451472107438,145.00662467332884,18.9,44.0,77.8,134.99,299.99,3.49,2999.89
2017-07,3872,min_price,112.41161415289258,144.82367823968391,17.9495,40.39,74.99,133.9,299.9405,1.2,2999.89
2017-07,3872,price_range,1.4335330578512395,13.577316899694207,0.0,0.0,0.0,0.0,0.0,0.0,503.04
2017-07,3872,total_freight,21.873595041322314,17.458328277224773,8.51,14.1,16.46,23.715,50.78499999999991,7.78,250.57
2017-07,3872,mean_freight,19.31690403015545,13.329839291384047,8.27,13.44,16.0,19.63,41.439,6.345,250.57
2017-07,3872,max_freight,19.593512396694216,13.731075215166443,8.27,13.5175,16.11,19.94,42.656999999999954,6.77,250.57
2017-07,3872,merchandise_plus_freight,146.2549276859504,166.46427177109197,33.0,61.59,102.03,168.20000000000002,387.16949999999986,14.78,3041.73
2017-07,3872,freight_price_ratio,0.30991390360023746,0.3165863507351907,0.06495405367404601,0.1349276974416017,0.2243739565943238,0.3784461152882205,0.818464961067853,0.0120430769230769,5.168867924528303
2017-08,4193,item_count,1.144049606487002,0.5643246566908949,1.0,1.0,1.0,1.0,2.0,1.0,20.0
2017-08,4193,unique_product_count,1.0407822561411877,0.23013968242252003,1.0,1.0,1.0,1.0,1.0,1.0,4.0
2017-08,4193,unique_seller_count,1.0143095635583115,0.12272881942318561,1.0,1.0,1.0,1.0,1.0,1.0,3.0
2017-08,4193,total_price,132.29184354877174,179.8592419375908,19.9,45.9,79.99,149.88,399.9,3.99,2159.98
2017-08,4193,mean_price,120.7874055966293,162.43564573847647,18.9,41.73,69.9,138.0,355.994,3.99,1999.0
2017-08,4193,max_price,121.4417123777725,162.85858626169133,18.954,41.9,69.99,139.9,359.3599999999997,3.99,1999.0
2017-08,4193,min_price,120.24952301454806,162.51955542011495,18.9,40.0,69.9,135.0,355.994,3.99,1999.0
2017-08,4193,price_range,1.1921893632244218,15.844410401127652,0.0,0.0,0.0,0.0,0.0,0.0,775.0
2017-08,4193,total_freight,21.734476508466493,18.712613012426868,8.27,13.63,16.49,24.48,50.76,0.0,383.64
2017-08,4193,mean_freight,19.15969862469195,13.454357864652899,8.11,13.24,15.87,19.26,41.02799999999998,0.0,250.57
2017-08,4193,max_freight,19.347235869305983,13.571460617343382,8.182000000000002,13.37,16.02,19.72,41.497999999999955,0.0,250.57
2017-08,4193,merchandise_plus_freight,154.02632005723825,189.46634611253862,32.66,61.8,99.98,169.76000000000002,437.5859999999996,13.78,2480.58
2017-08,4193,freight_price_ratio,0.3024633976441764,0.284741989343758,0.0542892183301924,0.1349276974416017,0.2243739565943238,0.3714733542319749,0.8043546798029548,0.0,4.4972
2017-09,4150,item_count,1.1414457831325302,0.5264677689222355,1.0,1.0,1.0,1.0,2.0,1.0,10.0
2017-09,4150,unique_product_count,1.0359036144578313,0.21153205189060745,1.0,1.0,1.0,1.0,1.0,1.0,4.0
2017-09,4150,unique_seller_count,1.0110843373493976,0.10921631976382618,1.0,1.0,1.0,1.0,1.0,1.0,3.0
2017-09,4150,total_price,146.36136626506024,288.0769546129437,19.9,49.0,85.0,158.0,438.955,2.29,13440.0
2017-09,4150,mean_price,130.8504152610442,185.96778530419292,19.9,44.99,79.0,148.0,378.5499999999997,2.29,1890.0
2017-09,4150,max_price,131.3120168674699,186.12903600554262,19.9,45.0,79.0,149.0,379.51699999999977,2.29,1890.0
2017-09,4150,min_price,130.39780963855424,185.9388491759398,19.9,44.9,78.995,148.0,378.5499999999997,2.29,1890.0
2017-09,4150,price_range,0.9142072289156626,10.058206518855235,0.0,0.0,0.0,0.0,0.0,0.0,350.49
2017-09,4150,total_freight,22.572968674698796,19.689297133260354,8.72,14.1,16.81,25.19,53.24649999999999,7.78,388.1
2017-09,4150,mean_freight,19.85550132530121,13.710983030618008,8.27,13.7575,16.28,20.8975,42.61549999999994,3.001666666666667,215.43
2017-09,4150,max_freight,20.04117831325301,13.96349380708732,8.27,13.8775,16.39,21.1425,43.238999999999955,4.66,215.43
2017-09,4150,merchandise_plus_freight,168.93433493975903,297.1470679351102,34.0225,64.1,104.37,181.51,475.1014999999989,10.07,13664.08
2017-09,4150,freight_price_ratio,0.29549498439791483,0.2890601802274958,0.05378684123948754,0.13286888125875052,0.22248712132037723,0.3533834586466165,0.7785650455927049,0.0109709270433351,5.422031473533619
2017-10,4478,item_count,1.1643590888789639,0.6094761535331011,1.0,1.0,1.0,1.0,2.0,1.0,12.0
2017-10,4478,unique_product_count,1.0446627958910228,0.25585283805816145,1.0,1.0,1.0,1.0,1.0,1.0,6.0
2017-10,4478,unique_seller_count,1.0154086645824028,0.13194038404393302,1.0,1.0,1.0,1.0,1.0,1.0,3.0
2017-10,4478,total_price,144.76276239392587,214.4961458532816,19.9,48.4475,89.0,149.99,480.5729999999986,3.85,2999.99
2017-10,4478,mean_price,131.13136246227347,198.24822596376583,18.99,44.9,79.0,143.0,388.0,3.85,2999.99
2017-10,4478,max_price,131.8282000893256,198.41666479105655,19.467500000000012,44.9,79.13499999999999,143.0,388.55999999999983,3.85,2999.99
2017-10,4478,min_price,130.46809289861545,198.29950920147306,18.99,42.99,78.99,140.0,388.0,3.85,2999.99
2017-10,4478,price_range,1.3601071907101383,13.389622179859998,0.0,0.0,0.0,0.0,0.0,0.0,470.0
2017-10,4478,total_freight,22.972166145600713,20.919184967561076,8.72,14.1,16.79,25.5275,53.61,7.78,354.76
2017-10,4478,mean_freight,20.000078748629665,14.785184872688186,8.26,13.57,16.12,20.2775,44.90949999999995,1.98,237.84
2017-10,4478,max_freight,20.232476552032157,14.994142595732393,8.27,13.63,16.16,20.94,45.02899999999998,1.98,237.84
2017-10,4478,merchandise_plus_freight,167.73492853952658,224.61664466429752,33.24300000000001,63.1225,106.29,179.89000000000001,516.5024999999997,11.63,3126.5
2017-10,4478,freight_price_ratio,0.2947956009641217,0.26303570929717623,0.05264785290721209,0.1351580698081228,0.2243739565943238,0.3566342217033013,0.77840015015015,0.0137369519832985,2.9038461538461537
2017-11,7288,item_count,1.1627332601536773,0.5785373058196183,1.0,1.0,1.0,1.0,2.0,1.0,15.0
2017-11,7288,unique_product_count,1.0448682766191,0.2524283254624039,1.0,1.0,1.0,1.0,1.0,1.0,7.0
2017-11,7288,unique_seller_count,1.0133095499451152,0.12044299416001394,1.0,1.0,1.0,1.0,1.0,1.0,4.0
2017-11,7288,total_price,135.5170238748628,199.1100274589021,19.9,45.99,84.99,149.9,399.3249999999998,3.9,5934.6
2017-11,7288,mean_price,121.79605702786054,174.04395087443092,18.9,40.0,75.0,138.0,359.9,3.9,2990.0
2017-11,7288,max_price,122.47037733260156,174.64191441306113,18.964,41.2975,75.9,139.0,359.99,3.9,2990.0
2017-11,7288,min_price,121.19172338090011,173.7775849939307,18.9,39.99,74.9,137.9,359.9,3.9,2990.0
2017-11,7288,price_range,1.278653951701427,15.237488616047441,0.0,0.0,0.0,0.0,0.0,0.0,820.5
2017-11,7288,total_freight,22.719717343578488,20.932488768564337,8.3535,14.1,16.77,24.06,54.74549999999998,7.78,479.28
2017-11,7288,mean_freight,19.730643726151275,14.89515277477263,8.11,13.44,16.11,19.73,43.943,2.24,314.4
2017-11,7288,max_freight,19.8973710208562,15.02862176423356,8.11,13.4975,16.12,20.08,44.60999999999993,2.24,314.4
2017-11,7288,merchandise_plus_freight,158.2367412184413,208.98102453569302,32.77,61.815,103.55,175.57999999999998,436.55699999999985,13.68,6081.54
2017-11,7288,freight_price_ratio,0.30356103124067996,0.2729822559066732,0.05530559462788567,0.13616225933182197,0.23084816379146164,0.3775943985996499,0.798941798941799,0.0070862859524802,3.632978723404255
2017-12,5513,item_count,1.122256484672592,0.48519427552469774,1.0,1.0,1.0,1.0,2.0,1.0,14.0
2017-12,5513,unique_product_count,1.0359151097406132,0.2241290222770788,1.0,1.0,1.0,1.0,1.0,1.0,6.0
2017-12,5513,unique_seller_count,1.0112461454743333,0.11049986945840697,1.0,1.0,1.0,1.0,1.0,1.0,3.0
2017-12,5513,total_price,131.69475603119898,174.9799170687198,19.9,49.0,88.6,149.99,369.0,5.4,3124.0
2017-12,5513,mean_price,122.41123677368644,164.7819750414845,19.738000000000003,45.9,79.99,139.99,348.8,5.4,3124.0
2017-12,5513,max_price,123.08524215490658,165.54136362144766,19.89,45.9,80.0,140.0,348.8,5.4,3124.0
2017-12,5513,min_price,121.80638490839833,164.65533886760934,19.0,45.0,79.9,139.99,348.8,4.4,3124.0
2017-12,5513,price_range,1.278857246508253,19.516596648464873,0.0,0.0,0.0,0.0,0.0,0.0,841.0
2017-12,5513,total_freight,21.230745510611282,16.73515406701057,8.266,13.58,16.21,21.74,49.22199999999995,7.78,224.58
2017-12,5513,mean_freight,19.148592085373966,13.7044047541895,8.02,13.2,15.79,18.92,43.129999999999946,7.775,177.94
