previous_month,current_month,previous_orders,current_orders,sample_support,feature,ks_statistic,psi,js_distance,previous_median,current_median,median_delta,reference_iqr,robust_median_shift
2016-09,2016-10,1,265,LOW_SUPPORT,item_count,0.9660377358490566,,,3.0,1.0,-2.0,0.0,
2016-09,2016-10,1,265,LOW_SUPPORT,unique_product_count,0.03396226415094339,0.0,0.0,1.0,1.0,0.0,0.0,
2016-09,2016-10,1,265,LOW_SUPPORT,unique_seller_count,0.01132075471698113,0.0,0.0,1.0,1.0,0.0,0.0,
2016-09,2016-10,1,265,LOW_SUPPORT,total_price,0.6867924528301886,,,134.97,89.0,-45.97,0.0,
2016-09,2016-10,1,265,LOW_SUPPORT,mean_price,0.739622641509434,,,44.99,75.9,30.910000000000004,0.0,
2016-09,2016-10,1,265,LOW_SUPPORT,max_price,0.7433962264150944,,,44.99,75.9,30.910000000000004,0.0,
2016-09,2016-10,1,265,LOW_SUPPORT,min_price,0.739622641509434,,,44.99,74.9,29.910000000000004,0.0,
2016-09,2016-10,1,265,LOW_SUPPORT,price_range,0.018867924528301883,0.0,0.0,0.0,0.0,0.0,0.0,
2016-09,2016-10,1,265,LOW_SUPPORT,total_freight,1.0,,,8.49,17.53,9.040000000000001,0.0,
2016-09,2016-10,1,265,LOW_SUPPORT,mean_freight,1.0,,,2.83,16.33,13.499999999999998,0.0,
2016-09,2016-10,1,265,LOW_SUPPORT,max_freight,1.0,,,2.83,16.65,13.819999999999999,0.0,
2016-09,2016-10,1,265,LOW_SUPPORT,merchandise_plus_freight,0.6075471698113207,,,143.46,111.22,-32.24000000000001,0.0,
2016-09,2016-10,1,265,LOW_SUPPORT,freight_price_ratio,0.9132075471698113,,,0.0629028673038453,0.2234446889377875,0.1605418216339422,0.0,
2016-10,2016-12,265,1,LOW_SUPPORT,item_count,0.10943396226415092,1.7864156805533202,0.2387528992341492,1.0,1.0,0.0,0.0,
2016-10,2016-12,265,1,LOW_SUPPORT,unique_product_count,0.03396226415094339,0.0,0.0,1.0,1.0,0.0,0.0,
2016-10,2016-12,265,1,LOW_SUPPORT,unique_seller_count,0.01132075471698113,0.0,0.0,1.0,1.0,0.0,0.0,
2016-10,2016-12,265,1,LOW_SUPPORT,total_price,0.9886792452830189,16.634659930739858,0.8726694822680886,89.0,10.9,-78.1,125.10000000000001,0.6243005595523581
2016-10,2016-12,265,1,LOW_SUPPORT,mean_price,0.9886792452830189,16.53035195018295,0.8689215359409143,75.9,10.9,-65.0,105.0,0.6190476190476191
2016-10,2016-12,265,1,LOW_SUPPORT,max_price,0.9886792452830189,16.531141092202322,0.8689215359409179,75.9,10.9,-65.0,105.0,0.6190476190476191
2016-10,2016-12,265,1,LOW_SUPPORT,min_price,0.9886792452830189,16.635419001780416,0.8726694822680914,74.9,10.9,-64.0,105.0,0.6095238095238096
2016-10,2016-12,265,1,LOW_SUPPORT,price_range,0.018867924528301883,0.0,0.0,0.0,0.0,0.0,0.0,
2016-10,2016-12,265,1,LOW_SUPPORT,total_freight,0.9849056603773585,16.52592222004691,0.8689215359408963,17.53,8.72,-8.81,10.32,0.8536821705426357
2016-10,2016-12,265,1,LOW_SUPPORT,mean_freight,0.9849056603773585,16.76530407164174,0.876455806885367,16.33,8.72,-7.609999999999998,7.109999999999999,1.0703234880450068
2016-10,2016-12,265,1,LOW_SUPPORT,max_freight,0.9849056603773585,16.852515856902897,0.8802823767455736,16.65,8.72,-7.929999999999998,7.469999999999999,1.0615796519410976
2016-10,2016-12,265,1,LOW_SUPPORT,merchandise_plus_freight,0.9962264150943396,16.52562606265683,0.8689215359408949,111.22,19.62,-91.6,131.44,0.696895922093731
2016-10,2016-12,265,1,LOW_SUPPORT,freight_price_ratio,0.9584905660377359,16.52534109456817,0.8689215359408939,0.2234446889377875,0.8,0.5765553110622126,0.2410981657985149,2.3913716189116028
2016-12,2017-01,1,750,LOW_SUPPORT,item_count,0.12,0.0,0.0,1.0,1.0,0.0,0.0,
2016-12,2017-01,1,750,LOW_SUPPORT,unique_product_count,0.03733333333333333,0.0,0.0,1.0,1.0,0.0,0.0,
2016-12,2017-01,1,750,LOW_SUPPORT,unique_seller_count,0.005333333333333412,0.0,0.0,1.0,1.0,0.0,0.0,
2016-12,2017-01,1,750,LOW_SUPPORT,total_price,0.952,0.0,0.0,10.9,82.65,71.75,0.0,
2016-12,2017-01,1,750,LOW_SUPPORT,mean_price,0.948,0.0,0.0,10.9,69.9,59.00000000000001,0.0,
2016-12,2017-01,1,750,LOW_SUPPORT,max_price,0.948,0.0,0.0,10.9,69.9,59.00000000000001,0.0,
2016-12,2017-01,1,750,LOW_SUPPORT,min_price,0.9453333333333334,0.0,0.0,10.9,69.9,59.00000000000001,0.0,
2016-12,2017-01,1,750,LOW_SUPPORT,price_range,0.022666666666666724,0.0,0.0,0.0,0.0,0.0,0.0,
2016-12,2017-01,1,750,LOW_SUPPORT,total_freight,0.9466666666666667,0.0,0.0,8.72,18.0,9.28,0.0,
2016-12,2017-01,1,750,LOW_SUPPORT,mean_freight,0.9293333333333333,0.0,0.0,8.72,16.11,7.389999999999999,0.0,
2016-12,2017-01,1,750,LOW_SUPPORT,max_freight,0.9333333333333333,0.0,0.0,8.72,16.27,7.549999999999999,0.0,
