current_month,historical_orders,current_orders,sample_support,historical_late_orders,current_late_orders,historical_late_rate_pct,current_late_rate_pct,target_delta_pp,target_rate_ratio
2016-10,1,265,LOW_SUPPORT,1,2,100.0,0.7547169811320755,-99.24528301886792,0.007547169811320756
2016-12,266,1,LOW_SUPPORT,3,0,1.1278195488721805,0.0,-1.1278195488721805,0.0
2017-01,267,750,LOW_SUPPORT,3,22,1.1235955056179776,2.933333333333333,1.8097378277153555,2.6106666666666665
2017-02,1017,1653,ADEQUATE,25,49,2.4582104228121926,2.9643073200241985,0.5060968972120059,1.205880217785844
2017-03,2670,2546,ADEQUATE,74,116,2.7715355805243447,4.556166535742341,1.7846309552179966,1.6439141419502772
2017-04,5216,2303,ADEQUATE,190,151,3.642638036809816,6.556665219279201,2.914027182469385,1.7999771465137007
2017-05,7519,3545,ADEQUATE,341,106,4.535177550206145,2.9901269393511987,-1.545050610854946,0.6593186057765883
2017-06,11064,3135,ADEQUATE,447,95,4.040130151843818,3.0303030303030303,-1.0098271215407877,0.7500508440105755
2017-07,14199,3872,ADEQUATE,542,108,3.8171702232551588,2.7892561983471076,-1.0279140249080512,0.7307130767588668
2017-08,18071,4193,ADEQUATE,650,122,3.596923247191633,2.9096112568566657,-0.6873119903349671,0.8089166926562585
2017-09,22264,4150,ADEQUATE,772,182,3.467481135465325,4.385542168674699,0.9180610332093742,1.2647630938260817
2017-10,26414,4478,ADEQUATE,954,187,3.6117210570152194,4.17597141581063,0.5642503587954106,1.1562275574132284
2017-11,30892,7288,ADEQUATE,1141,904,3.693512883594458,12.403951701427003,8.710438817832545,3.358307414202305
2017-12,38180,5513,ADEQUATE,2045,411,5.35620743844945,7.455106112824233,2.0988986743747837,1.3918628429712923
2018-01,43693,7069,ADEQUATE,2456,403,5.621037694825258,5.7009478002546325,0.07991010542937449,1.0142162550347136
2018-02,50762,6555,ADEQUATE,2859,926,5.632165793309956,14.126620900076277,8.49445510676632,2.508204022839007
2018-03,57317,7003,ADEQUATE,3785,1328,6.603625451436747,18.96330144223904,12.359675990802293,2.8716500627868298
2018-04,64320,6798,ADEQUATE,5113,306,7.94931592039801,4.501323918799647,-3.4479920015983625,0.5662529913107633
2018-05,71118,6749,ADEQUATE,5419,443,7.6197305885992295,6.563935397836716,-1.0557951907625132,0.8614393017592759
2018-06,77867,6096,ADEQUATE,5862,71,7.528221197683229,1.1646981627296589,-6.3635230349535705,0.1547109379687314
2018-07,83963,6156,ADEQUATE,5933,208,7.066207734359182,3.378817413905133,-3.687390320454049,0.47816559333173214
2018-08,90119,6351,ADEQUATE,6141,393,6.814323283658274,6.188001889466226,-0.6263213941920478,0.9080875138850462
