current_month,historical_orders,current_orders,sample_support,feature,ks_statistic,psi,js_distance,wasserstein,normalized_wasserstein,historical_median,current_median,median_delta,reference_iqr,robust_median_shift
2016-10,1,265,LOW_SUPPORT,item_count,0.9660377358490566,,,1.8943396226415095,,3.0,1.0,-2.0,0.0,
2016-10,1,265,LOW_SUPPORT,unique_product_count,0.03396226415094339,,,0.05283018867924527,,1.0,1.0,0.0,0.0,
2016-10,1,265,LOW_SUPPORT,unique_seller_count,0.01132075471698113,,,0.01132075471698113,,1.0,1.0,0.0,0.0,
2016-10,1,265,LOW_SUPPORT,total_price,0.6867924528301886,,,112.78498113207544,,134.97,89.0,-45.97,0.0,
2016-10,1,265,LOW_SUPPORT,mean_price,0.739622641509434,,,101.49770943396224,,44.99,75.9,30.910000000000004,0.0,
2016-10,1,265,LOW_SUPPORT,max_price,0.7433962264150944,,,101.88637735849055,,44.99,75.9,30.910000000000004,0.0,
2016-10,1,265,LOW_SUPPORT,min_price,0.739622641509434,,,101.13286792452827,,44.99,74.9,29.910000000000004,0.0,
2016-10,1,265,LOW_SUPPORT,price_range,0.018867924528301883,,,0.9997735849056603,,0.0,0.0,0.0,0.0,
2016-10,1,265,LOW_SUPPORT,total_freight,1.0,,,14.776226415094337,,8.49,17.53,9.040000000000001,0.0,
2016-10,1,265,LOW_SUPPORT,mean_freight,1.0,,,17.15004150943396,,2.83,16.33,13.499999999999998,0.0,
2016-10,1,265,LOW_SUPPORT,max_freight,1.0,,,17.34988679245283,,2.83,16.65,13.819999999999999,0.0,
2016-10,1,265,LOW_SUPPORT,merchandise_plus_freight,0.6075471698113207,,,115.62422641509434,,143.46,111.22,-32.24000000000001,0.0,
2016-10,1,265,LOW_SUPPORT,freight_price_ratio,0.9132075471698113,,,0.23273004415747522,,0.0629028673038453,0.2234446889377875,0.1605418216339422,0.0,
2016-12,266,1,LOW_SUPPORT,item_count,0.1127819548872181,1.8448922797878633,0.24253525981747864,0.18796992481203023,,1.0,1.0,0.0,0.0,
2016-12,266,1,LOW_SUPPORT,unique_product_count,0.03383458646616544,0.0,0.0,0.052631578947368585,,1.0,1.0,0.0,0.0,
2016-12,266,1,LOW_SUPPORT,unique_seller_count,0.011278195488721887,0.0,0.0,0.011278195488721776,,1.0,1.0,0.0,0.0,
2016-12,266,1,LOW_SUPPORT,total_price,0.9887218045112782,16.645762532806238,0.87303785286793,141.25669172932334,1.1405695854120859,89.45,10.9,-78.55,123.84750000000003,0.6342477643876541
2016-12,266,1,LOW_SUPPORT,mean_price,0.9887218045112782,16.541147348157285,0.8693002673542959,127.26792105263159,1.2120754385964914,75.45,10.9,-64.55,105.0,0.6147619047619047
2016-12,266,1,LOW_SUPPORT,max_price,0.9887218045112782,16.542072792323086,0.8693002673543001,127.76312030075191,1.2170524188588212,75.45,10.9,-64.55,104.9775,0.6148936676906955
2016-12,266,1,LOW_SUPPORT,min_price,0.9887218045112782,16.646100560614443,0.8730378528679311,126.76710526315792,1.2073057644110277,74.9,10.9,-64.0,105.0,0.6095238095238096
2016-12,266,1,LOW_SUPPORT,price_range,0.018796992481203034,0.0,0.0,0.9960150375939901,,0.0,0.0,0.0,0.0,
2016-12,266,1,LOW_SUPPORT,total_freight,0.981203007518797,16.8628268025121,0.8806296786677249,14.4924060150376,1.404302908433876,17.520000000000003,8.72,-8.800000000000002,10.32,0.8527131782945738
2016-12,266,1,LOW_SUPPORT,mean_freight,0.981203007518797,16.662794603652188,0.8730378528680062,11.239853383458648,1.5830779413322045,16.33,8.72,-7.609999999999998,7.099999999999998,1.0718309859154929
2016-12,266,1,LOW_SUPPORT,max_freight,0.981203007518797,16.776482433903777,0.8768137032078995,11.438947368421054,1.5323439207529879,16.509999999999998,8.72,-7.789999999999997,7.465,1.0435365036838578
2016-12,266,1,LOW_SUPPORT,merchandise_plus_freight,0.9962406015037594,16.536578495969295,0.8693002673542772,155.70375939849626,1.1884422348471262,111.22,19.62,-91.6,131.01500000000001,0.6991565851238407
2016-12,266,1,LOW_SUPPORT,freight_price_ratio,0.9586466165413533,16.53615533034371,0.8693002673542755,0.5389250184445491,2.228473345945942,0.2221390111355604,0.8,0.5778609888644397,0.24183597233728024,2.389474912601162
2017-01,267,750,LOW_SUPPORT,item_count,0.007940074906367167,0.0005686984769919473,0.010126249499304466,0.03438202247190969,,1.0,1.0,0.0,0.0,
2017-01,267,750,LOW_SUPPORT,unique_product_count,0.00615730337078646,0.0,0.0,0.015685393258427105,,1.0,1.0,0.0,0.0,
2017-01,267,750,LOW_SUPPORT,unique_seller_count,0.005902621722846391,0.0,0.0,0.005902621722846502,,1.0,1.0,0.0,0.0,
2017-01,267,750,LOW_SUPPORT,total_price,0.09737827715355804,0.08910676469873532,0.1262303562082851,18.71990411985017,0.152138681944412,89.0,82.65,-6.349999999999994,123.04499999999999,0.05160713560079642
2017-01,267,750,LOW_SUPPORT,mean_price,0.10714606741573035,0.1095548673574794,0.13926962641454266,18.22814489388262,0.17360137994173924,75.0,69.9,-5.099999999999994,105.0,0.048571428571428515
2017-01,267,750,LOW_SUPPORT,max_price,0.10822471910112358,0.12177189673716679,0.1469686580143094,18.05286292134829,0.17193202782236466,75.0,69.9,-5.099999999999994,105.0,0.048571428571428515
2017-01,267,750,LOW_SUPPORT,min_price,0.1111460674157303,0.13573931908161788,0.1550235443611589,18.47947610486889,0.17599501052256086,74.9,69.9,-5.0,105.0,0.047619047619047616
2017-01,267,750,LOW_SUPPORT,price_range,0.0074307116104869175,0.0,0.0,0.8725274906366907,,0.0,0.0,0.0,0.0,
2017-01,267,750,LOW_SUPPORT,total_freight,0.09712359550561789,0.15553697905755842,0.16617812476385196,2.4722820973782786,0.2395622187382053,17.51,18.0,0.48999999999999844,10.32,0.04748062015503861
2017-01,267,750,LOW_SUPPORT,mean_freight,0.08888389513108608,0.2194382925905031,0.1971813788037495,1.6689721223470684,0.23196276891550638,16.33,16.11,-0.21999999999999886,7.195,0.030576789437108943
2017-01,267,750,LOW_SUPPORT,max_freight,0.09719850187265922,0.2252570949212495,0.19948045192240776,1.676454082397006,0.22367632853862662,16.37,16.27,-0.10000000000000142,7.494999999999997,0.013342228152101595
2017-01,267,750,LOW_SUPPORT,merchandise_plus_freight,0.08734082397003745,0.07639499399592423,0.11704621214390068,20.692625168539315,0.15807360428203135,111.22,104.10499999999999,-7.115000000000009,130.905,0.054352392956724414
2017-01,267,750,LOW_SUPPORT,freight_price_ratio,0.07938576779026218,0.047300599719153964,0.09207786131669023,0.052664675494407676,0.21752087769861128,0.2234446889377875,0.23370818930184833,0.010263500364060846,0.24211319874949136,0.04239132941562694
2017-02,1017,1653,ADEQUATE,item_count,0.025435116628923615,0.006898470273124867,0.03523232941567748,0.08542258912462697,,1.0,1.0,0.0,0.0,
2017-02,1017,1653,ADEQUATE,unique_product_count,0.008553323090046305,0.0,0.0,0.014602929865605963,,1.0,1.0,0.0,0.0,
2017-02,1017,1653,ADEQUATE,unique_seller_count,0.000604960677555888,0.0,0.0,0.0009814996243534546,,1.0,1.0,0.0,0.0,
2017-02,1017,1653,ADEQUATE,total_price,0.057669348837458334,0.04139904330702606,0.08618836840374558,20.81264464181531,0.16020817983076985,86.69999999999999,84.9,-1.799999999999983,129.91,0.0138557462858901
2017-02,1017,1653,ADEQUATE,mean_price,0.05221756456036852,0.05176115264069599,0.09639416777106943,18.357266421827344,0.1677995102543633,69.9,76.05,6.1499999999999915,109.4,0.056215722120658056
2017-02,1017,1653,ADEQUATE,max_price,0.05040268252770064,0.058603302500316985,0.10253895323030582,18.40587791572331,0.16522332060792916,69.99,76.9,6.910000000000011,111.4,0.06202872531418322
2017-02,1017,1653,ADEQUATE,min_price,0.05146091757723059,0.05622310256064709,0.10043700166028435,18.214356377160186,0.17021172205551058,69.9,74.99,5.089999999999989,107.00999999999999,0.04756564807027371
2017-02,1017,1653,ADEQUATE,price_range,0.0038528321617796735,0.0,0.0,0.4896529417328179,,0.0,0.0,0.0,0.0,
2017-02,1017,1653,ADEQUATE,total_freight,0.06340666027799635,0.15656488282184883,0.16559633411510505,1.2539886360188943,0.14513757361329793,17.78,17.2,-0.5800000000000018,8.64,0.06712962962962984
2017-02,1017,1653,ADEQUATE,mean_freight,0.06405623457484111,0.18981281989725157,0.17898788595202525,1.2818341384604506,0.21616090024628173,16.26,16.14,-0.120000000000001,5.93,0.02023608768971349
2017-02,1017,1653,ADEQUATE,max_freight,0.06284452867495771,0.1407762388858688,0.1564767724549067,1.3193563147009026,0.2067956606114268,16.33,16.21,-0.11999999999999744,6.379999999999999,0.018808777429466687
2017-02,1017,1653,ADEQUATE,merchandise_plus_freight,0.056161408505497334,0.05247721194519431,0.0970929558227933,21.175078207674826,0.15260217791636516,105.74,105.83,0.09000000000000341,138.76,0.0006486019025656054
2017-02,1017,1653,ADEQUATE,freight_price_ratio,0.06348696479271619,0.043638109539676166,0.08853492726143528,0.02417568375943038,0.0835499214751461,0.2318318318318318,0.2322734499205087,0.00044161808867687613,0.2893561517783354,0.001526209434161893
2017-03,2670,2546,ADEQUATE,item_count,0.006487373893395265,1.8645464755561796e-05,0.0018336968556772234,0.018690992112176952,,1.0,1.0,0.0,0.0,
2017-03,2670,2546,ADEQUATE,unique_product_count,0.0028320844035294446,0.0,0.0,0.005903657348973579,,1.0,1.0,0.0,0.0,
2017-03,2670,2546,ADEQUATE,unique_seller_count,0.0051522399828179966,0.0,0.0,0.005526771818024079,,1.0,1.0,0.0,0.0,
2017-03,2670,2546,ADEQUATE,total_price,0.02568852955800538,0.011107184222647726,0.044728665218861034,8.801862035181758,0.07538906691661214,84.98499999999999,84.98499999999999,0.0,116.7525,0.0
2017-03,2670,2546,ADEQUATE,mean_price,0.02658116866877913,0.012553482150595784,0.047539715613913035,7.819600113516685,0.07739879356148358,74.7,76.49,1.789999999999992,101.03,0.017717509650598755
2017-03,2670,2546,ADEQUATE,max_price,0.02647172181669999,0.01269452995558775,0.04780145925579638,7.832862517689396,0.07641257973991558,74.9,79.0,4.099999999999994,102.5075,0.039997073384874224
2017-03,2670,2546,ADEQUATE,min_price,0.027433206527975148,0.013447258873202304,0.049182759214205396,7.988392546433903,0.07839443127020512,71.975,75.945,3.969999999999999,101.9,0.038959764474975456
2017-03,2670,2546,ADEQUATE,price_range,0.003353722222712574,0.0,0.0,0.2611526430532294,,0.0,0.0,0.0,0.0,
2017-03,2670,2546,ADEQUATE,total_freight,0.05421355669905936,0.04173451418214176,0.08627988385973927,0.7541989255378905,0.08206734771903051,17.37,16.520000000000003,-0.8499999999999979,9.190000000000001,0.09249183895538604
2017-03,2670,2546,ADEQUATE,mean_freight,0.05252831054661644,0.03058512549435125,0.07406922570570253,0.7352684182576188,0.10765276987666451,16.155,16.01,-0.14499999999999957,6.830000000000002,0.02122986822840403
2017-03,2670,2546,ADEQUATE,max_freight,0.05646574931375059,0.03169894730673273,0.07537793478004554,0.7593983600624916,0.10903063317480136,16.295,16.05,-0.245000000000001,6.965000000000002,0.035175879396985056
2017-03,2670,2546,ADEQUATE,merchandise_plus_freight,0.022600774954323596,0.012839548250358317,0.04809447848861848,8.807326725332425,0.07197439455192288,105.74,101.53,-4.209999999999994,122.36750000000002,0.03440456003432278
2017-03,2670,2546,ADEQUATE,freight_price_ratio,0.023125649105154356,0.0032021886184670154,0.024026243218039145,0.01941737511164179,0.07063226214667508,0.2319453793634003,0.229255078843603,-0.002690300519797295,0.2749080168396651,0.009786184305299333
2017-04,5216,2303,ADEQUATE,item_count,0.013633690651564057,0.0005461729335206968,0.00992353346912934,0.03192946183825329,,1.0,1.0,0.0,0.0,
2017-04,5216,2303,ADEQUATE,unique_product_count,0.002813581378250274,0.0,0.0,0.0054954660365647,,1.0,1.0,0.0,0.0,
2017-04,5216,2303,ADEQUATE,unique_seller_count,0.003214665320507515,0.0,0.0,0.003406383111918543,,1.0,1.0,0.0,0.0,
2017-04,5216,2303,ADEQUATE,total_price,0.02390545207771133,0.010303590674216066,0.04306377200837609,7.420074796577609,0.06746135827418501,84.98499999999999,87.89,2.9050000000000153,109.99000000000001,0.02641149195381412
2017-04,5216,2303,ADEQUATE,mean_price,0.025194531539283194,0.01244889092218353,0.047354326246594504,8.202551208837637,0.08194356851985651,75.0,79.9,4.900000000000006,100.1,0.04895104895104901
2017-04,5216,2303,ADEQUATE,max_price,0.023683349139159593,0.013854933259124328,0.04995222039402799,8.093128577955078,0.08020940116902951,75.945,79.9,3.9550000000000125,100.9,0.03919722497522311
2017-04,5216,2303,ADEQUATE,min_price,0.025132346046367937,0.01420040492199708,0.05056900613264222,8.296609531212894,0.08321574253974819,74.9,79.9,5.0,99.7,0.05015045135406219
2017-04,5216,2303,ADEQUATE,price_range,0.0031057782726717775,0.0,0.0,0.26833061087964466,,0.0,0.0,0.0,0.0,
2017-04,5216,2303,ADEQUATE,total_freight,0.025679445188857453,0.025377507775751613,0.0675388705700256,0.4945487256219537,0.057206330320642415,17.125,16.61,-0.5150000000000006,8.645,0.05957200694042806
2017-04,5216,2303,ADEQUATE,mean_freight,0.024595652776186805,0.0226875227855252,0.06378215894185878,0.5106183038489205,0.07632560595649034,16.05,16.05,0.0,6.690000000000001,0.0
