current_month,historical_orders,current_orders,sample_support,feature,ks_statistic,psi,js_distance,wasserstein,normalized_wasserstein,historical_median,current_median,median_delta,reference_iqr,robust_median_shift,rank_ks_statistic,rank_psi,rank_js_distance,rank_normalized_wasserstein,rank_robust_median_shift,consensus_rank_score
2018-07,83963,6156,ADEQUATE,mean_freight,0.21303231999286298,0.2610789671029123,0.2139299437711012,3.5115880771026795,0.4682117436136905,16.19,18.49,2.299999999999997,7.500000000000002,0.3066666666666662,1.0,10.0,10.0,1.0,3.0,5.0
2018-03,57317,7003,ADEQUATE,max_freight,0.1958195963416226,0.3296328876518577,0.24113930302286968,1.8277518111014919,0.2748498964062394,16.11,18.14,2.030000000000001,6.649999999999999,0.30526315789473707,6.0,4.0,3.0,10.0,4.0,5.4
2018-03,57317,7003,ADEQUATE,mean_freight,0.1998229626257818,0.32952130440757604,0.24112677883545366,1.863234526629459,0.29113039478585295,16.05,18.0,1.9499999999999993,6.4,0.3046874999999999,5.0,5.0,4.0,9.0,5.0,5.6
2018-04,64320,6798,ADEQUATE,mean_freight,0.1872034218800086,0.28909717856896755,0.22611070692126198,2.08452486345128,0.31193787705967513,16.11,18.23,2.120000000000001,6.682500000000003,0.3172465394687617,9.0,6.0,6.0,7.0,1.0,5.8
2018-07,83963,6156,ADEQUATE,max_freight,0.20979686069060233,0.2800985738656835,0.2213329260325112,3.4838779797394763,0.4518648482152368,16.28,18.52,2.2399999999999984,7.710000000000001,0.2905317769130996,3.0,8.0,8.0,2.0,8.0,5.8
2018-06,77867,6096,ADEQUATE,total_freight,0.19272059798309432,0.28908973277471134,0.22531612718902844,3.5990412492546233,0.36372321872204383,16.79,18.79,2.0,9.895,0.202122283981809,7.0,7.0,7.0,6.0,12.0,7.8
2018-06,77867,6096,ADEQUATE,max_freight,0.20770010093932634,0.2369234970119498,0.2040383366024131,3.255977058554181,0.43413027447389074,16.18,18.37,2.1900000000000013,7.500000000000002,0.2920000000000001,4.0,14.0,13.0,4.0,7.0,8.4
2018-06,77867,6096,ADEQUATE,mean_freight,0.21139850878712468,0.20457823074725442,0.19070100243834184,3.237543856753317,0.44965886899351615,16.12,18.35,2.2300000000000004,7.200000000000001,0.30972222222222223,2.0,18.0,18.0,3.0,2.0,8.6
2018-04,64320,6798,ADEQUATE,max_freight,0.18510458244962302,0.24381423279041145,0.2076886962020611,2.102698627751587,0.29783266682033804,16.11,18.23,2.120000000000001,7.0600000000000005,0.3002832861189803,10.0,11.0,11.0,8.0,6.0,9.2
2018-07,83963,6156,ADEQUATE,total_freight,0.18748656206336495,0.23296037141267878,0.20312927475073345,3.647813370573555,0.3640532305961631,16.95,19.0,2.0500000000000007,10.020000000000001,0.2045908183632735,8.0,15.0,15.0,5.0,11.0,10.8
