consensus_rank,previous_month,current_month,historical_orders,current_orders,local_covariate_score,persistent_covariate_score,target_change_score,consensus_regime_score,adjacent_target_delta_pp,expanding_target_delta_pp,dominant_feature,dominant_ks,dominant_psi,dominant_js,dominant_norm_wasserstein
1,2018-02,2018-03,57317,7003,0.9298245614035089,0.8684210526315789,0.868421052631579,0.888888888888889,4.836680542162762,12.359675990802293,max_freight,0.1958195963416226,0.3296328876518577,0.2411393030228696,0.2748498964062394
2,2018-05,2018-06,77867,6096,0.8596491228070176,0.8684210526315789,0.8421052631578947,0.8567251461988303,-5.399237235107058,-6.3635230349535705,mean_freight,0.2113985087871246,0.2045782307472544,0.1907010024383418,0.4496588689935161
3,2018-03,2018-04,64320,6798,0.7368421052631579,0.8947368421052632,0.868421052631579,0.8333333333333334,-14.461977523439392,-3.4479920015983625,mean_freight,0.1872034218800086,0.2890971785689675,0.2261107069212619,0.3119378770596751
4,2017-04,2017-05,7519,3545,0.912280701754386,0.631578947368421,0.6052631578947368,0.7163742690058479,-3.566538279928002,-1.545050610854946,mean_freight,0.0566232680688002,0.3507286821688081,0.2462161543281623,0.1547717785059841
5,2017-01,2017-02,1017,1653,0.9649122807017543,0.8552631578947368,0.07894736842105263,0.6330409356725145,0.0309739866908653,0.5060968972120059,mean_freight,0.0640562345748411,0.1898128198972515,0.1789878859520252,0.2161609002462817
6,2017-11,2017-12,38180,5513,0.7017543859649122,0.40789473684210525,0.7105263157894737,0.6067251461988304,-4.94884558860277,2.098898674374784,max_freight,0.0429850174600404,0.0372639114836325,0.0817678222742463,0.0921985938617553
7,2018-04,2018-05,71118,6749,0.5263157894736842,0.7236842105263158,0.5,0.5833333333333334,2.062611479037069,-1.0557951907625132,total_freight,0.1050824665003339,0.2406434413611239,0.2056877024478927,0.1974660307290213
8,2018-07,2018-08,90119,6351,0.6842105263157894,0.5526315789473684,0.42105263157894735,0.5526315789473684,2.809184475561093,-0.6263213941920478,max_freight,0.1250783300540131,0.2321491365568516,0.2020172317918046,0.1984994981045219
9,2018-06,2018-07,83963,6156,0.08771929824561403,0.881578947368421,0.6842105263157895,0.5511695906432749,2.2141192511754744,-3.687390320454049,mean_freight,0.2130323199928629,0.2610789671029123,0.2139299437711012,0.4682117436136905
10,2017-02,2017-03,2670,2546,0.6315789473684211,0.2894736842105263,0.4736842105263158,0.46491228070175444,1.5918592157181428,1.7846309552179966,total_freight,0.0542135566990593,0.0417345141821417,0.0862798838597392,0.0820673477190305
11,2017-05,2017-06,11064,3135,0.5614035087719298,0.5921052631578947,0.23684210526315788,0.46345029239766083,0.0401760909518316,-1.0098271215407877,mean_freight,0.0502214172781589,0.3606010054913681,0.2418235761592965,0.1271988942213036
12,2017-08,2017-09,22264,4150,0.5087719298245613,0.5263157894736842,0.3157894736842105,0.45029239766081863,1.4759309118180337,0.9180610332093742,max_freight,0.0558259267757339,0.0919577177977776,0.1268838897370098,0.1016790029036737
13,2017-10,2017-11,30892,7288,0.2631578947368421,0.14473684210526316,0.9210526315789473,0.44298245614035087,8.227980285616372,8.710438817832545,max_freight,0.0271556172540061,0.0592140279659221,0.1023595702957636,0.0729610616911638
14,2017-06,2017-07,14199,3872,0.2982456140350877,0.6052631578947368,0.3421052631578947,0.4152046783625731,-0.2410468319559227,-1.0279140249080512,mean_freight,0.0461900143998035,0.1920132960928248,0.1801180048463956,0.1263261360712848
15,2018-01,2018-02,50762,6555,0.08771929824561403,0.21052631578947367,0.9210526315789473,0.4064327485380117,8.425673099821644,8.49445510676632,max_freight,0.0498114035763913,0.0318538679212433,0.0755688469941203,0.1241334615157873
16,2017-03,2017-04,5216,2303,0.47368421052631576,0.15789473684210525,0.5789473684210527,0.40350877192982454,2.0004986835368594,2.914027182469385,total_freight,0.0256794451888574,0.0253775077757516,0.0675388705700256,0.0572063303206424
17,2017-12,2018-01,43693,7069,0.40350877192982454,0.10526315789473684,0.23684210526315788,0.24853801169590642,-1.7541583125696008,0.0799101054293744,mean_freight,0.0350199484846198,0.0308077008669497,0.0743946120496642,0.0646733889878482
18,2017-07,2017-08,18071,4193,0.14035087719298245,0.3947368421052631,0.21052631578947367,0.2485380116959064,0.120355058509558,-0.6873119903349671,mean_freight,0.0556353075501022,0.1365054685052029,0.1529552658728166,0.0903194870814652
19,2017-09,2017-10,26414,4478,0.22807017543859645,0.2894736842105263,0.18421052631578946,0.23391812865497075,-0.2095707528640691,0.5642503587954106,max_freight,0.0324703463485349,0.0966785630394512,0.129909478440844,0.1183995007471414
