component,singular_value,relative_to_max,energy_ratio,cumulative_energy_ratio,above_rank_tolerance
1,744.1303719105239,1.0,0.4415322502808321,0.4415322502808321,True
2,480.3220243056486,0.6454810103670969,0.18396252883166228,0.6254947791124944,True
3,432.80474413852687,0.5816248878907048,0.14936484562663213,0.7748596247391265,True
4,299.9102026278709,0.4030344868975901,0.07172108478545784,0.8465807095245843,True
5,270.8605083861756,0.3639960396869065,0.058499984055001134,0.9050806935795854,True
6,255.84440897464515,0.3438166464268556,0.05219347713006472,0.9572741707096502,True
7,188.92735109735546,0.2538901222541049,0.028461254589041956,0.9857354252986921,True
8,103.29680943845803,0.13881547284953275,0.008508209678708493,0.9942436349774005,True
9,82.41347854494867,0.11075139741085353,0.0054157780783812524,0.9996594130557818,True
10,20.38438583928392,0.02739356785955108,0.0003313291386280299,0.9999907421944098,True
11,3.4073899935945158,0.004579022873164259,9.257805589978575e-06,0.9999999999999998,True
12,2.301563190994359e-13,3.0929569304975293e-16,4.223866424907013e-32,0.9999999999999998,False
13,5.889870449386618e-14,7.915105567139559e-17,2.766150808984675e-33,0.9999999999999998,False
