null_component,loading_rank,feature,loading,abs_loading
1,1,max_price,-0.6868145126694023,0.6868145126694023
1,2,min_price,0.683811880513344,0.683811880513344
1,3,merchandise_plus_freight,-0.16978478281487036,0.16978478281487036
1,4,total_price,0.16221949779837008,0.16221949779837008
1,5,price_range,0.07256174687524185,0.07256174687524185
1,6,total_freight,0.016729979212815663,0.016729979212815663
1,7,mean_price,-1.0581675786046244e-15,1.0581675786046244e-15
1,8,max_freight,-2.1930232386906017e-16,2.1930232386906017e-16
1,9,mean_freight,1.8540465869118923e-16,1.8540465869118923e-16
1,10,item_count,1.7831242716879925e-16,1.7831242716879925e-16
1,11,unique_seller_count,-1.4569507385888233e-16,1.4569507385888233e-16
1,12,unique_product_count,3.873804957024399e-17,3.873804957024399e-17
1,13,freight_price_ratio,-1.027958320336272e-17,1.027958320336272e-17
2,1,merchandise_plus_freight,0.700933584625701,0.700933584625701
2,2,total_price,-0.6697013254242868,0.6697013254242868
2,3,max_price,-0.16636476754062934,0.16636476754062934
2,4,min_price,0.16563745006052732,0.16563745006052732
2,5,total_freight,-0.06906746356143584,0.06906746356143584
2,6,price_range,0.017576387697928943,0.017576387697928943
2,7,mean_price,-1.0071859759411645e-15,1.0071859759411645e-15
2,8,max_freight,-5.808489640612816e-17,5.808489640612816e-17
2,9,freight_price_ratio,5.4204650661339567e-17,5.4204650661339567e-17
2,10,unique_product_count,-4.788088009748606e-17,4.788088009748606e-17
2,11,unique_seller_count,3.5287315508856556e-17,3.5287315508856556e-17
2,12,item_count,-1.1106590504674728e-17,1.1106590504674728e-17
2,13,mean_freight,6.658555641382394e-18,6.658555641382394e-18
