purchase_month,orders,computable,numerical_rank,nullity,zero_variance_features,effective_condition_number,log10_effective_condition,smallest_retained_relative_singular_value,nullspace_max_angle_deg_vs_global,nullspace_mean_angle_deg_vs_global,local_covariate_score,persistent_covariate_score,target_change_score,consensus_regime_score,consensus_rank,dominant_feature
2016-09,1,False,,,,,,,,,,,,,,
2016-10,265,True,11.0,2.0,0.0,58717.229247261006,4.768765553872999,1.7030776363594287e-05,1.9729868634593484,1.034291143590716,,,,,,
2016-12,1,False,,,,,,,,,,,,,,
2017-01,750,True,11.0,2.0,0.0,1057.3666485559045,3.0242256077746306,0.000945745736699514,2.0148351233952506,1.4066215681397667,,,,,,
2017-02,1653,True,11.0,2.0,0.0,979.8268158402675,2.991149321027733,0.0010205885201686714,2.709755970827658,2.1221605488991546,0.9649122807017544,0.8552631578947368,0.0789473684210526,0.6330409356725145,5.0,mean_freight
2017-03,2546,True,11.0,2.0,0.0,761.9060932144487,2.881901446783184,0.0013124977066150548,1.864920001456354,1.5923228203763915,0.6315789473684211,0.2894736842105263,0.4736842105263158,0.4649122807017544,10.0,total_freight
2017-04,2303,True,11.0,2.0,0.0,732.7373897841657,2.8649483530821183,0.0013647454244071794,2.2430087919208233,1.9118407441438081,0.4736842105263157,0.1578947368421052,0.5789473684210527,0.4035087719298245,16.0,total_freight
2017-05,3545,True,11.0,2.0,0.0,465.4384147309388,2.6678622247117283,0.002148511958511377,0.8707759767465306,0.7526326666058282,0.912280701754386,0.631578947368421,0.6052631578947368,0.7163742690058479,4.0,mean_freight
2017-06,3135,True,11.0,2.0,0.0,1375.1287189678892,3.1383433522179454,0.000727204650885741,1.1086459876661143,0.8372978309980603,0.5614035087719298,0.5921052631578947,0.2368421052631578,0.4634502923976608,11.0,mean_freight
2017-07,3872,True,11.0,2.0,0.0,569.4409083128899,2.755448663401695,0.0017561084660439104,0.499413258094427,0.40738002422789993,0.2982456140350877,0.6052631578947368,0.3421052631578947,0.4152046783625731,14.0,mean_freight
2017-08,4193,True,11.0,2.0,0.0,295.59948340638095,2.470703670744594,0.003382955844429644,0.3484454230091159,0.26699717820394525,0.1403508771929824,0.3947368421052631,0.2105263157894736,0.2485380116959064,18.0,mean_freight
2017-09,4150,True,11.0,2.0,0.0,1184.3829782538523,3.0734921571573617,0.00084432148921484,2.0945026808258977,1.7543439161436574,0.5087719298245613,0.5263157894736842,0.3157894736842105,0.4502923976608186,12.0,max_freight
2017-10,4478,True,11.0,2.0,0.0,1222.6587756850847,3.0873052693714373,0.0008178896842577164,1.5527539479243662,0.8875393044287643,0.2280701754385964,0.2894736842105263,0.1842105263157894,0.2339181286549707,19.0,max_freight
2017-11,7288,True,11.0,2.0,0.0,478.40622048783575,2.679796817941012,0.002090273824157825,0.7427672492673807,0.4254255135233867,0.2631578947368421,0.1447368421052631,0.9210526315789472,0.4429824561403508,13.0,max_freight
2017-12,5513,True,11.0,2.0,0.0,393.9550347068297,2.5954466550917834,0.0025383607566893313,0.49724313591664504,0.3958340861556551,0.7017543859649122,0.4078947368421052,0.7105263157894737,0.6067251461988304,6.0,max_freight
2018-01,7069,True,11.0,2.0,0.0,378.0392099941195,2.577536846929682,0.0026452282555969662,0.929312008960567,0.567156124105625,0.4035087719298245,0.1052631578947368,0.2368421052631578,0.2485380116959064,17.0,mean_freight
2018-02,6555,True,11.0,2.0,0.0,575.6235862471069,2.7601385808988668,0.0017372463948527545,0.8121116644281865,0.5509579947437329,0.087719298245614,0.2105263157894736,0.9210526315789472,0.4064327485380117,15.0,max_freight
2018-03,7003,True,11.0,2.0,0.0,751.420888823836,2.8758832638905663,0.001330812085308479,2.1279331059531303,1.4370046392101936,0.9298245614035088,0.8684210526315789,0.868421052631579,0.888888888888889,1.0,max_freight
2018-04,6798,True,11.0,2.0,0.0,374.1841940210473,2.573085438443469,0.002672480601742765,0.46314684797308175,0.42013100683300275,0.7368421052631579,0.8947368421052632,0.868421052631579,0.8333333333333334,3.0,mean_freight
2018-05,6749,True,11.0,2.0,0.0,81.6313847573501,1.9118571637341992,0.01225019032780722,5.0060380496312895,2.6127370370209184,0.5263157894736842,0.7236842105263158,0.5,0.5833333333333334,7.0,total_freight
2018-06,6096,True,11.0,2.0,0.0,852.7521197574398,2.930822807642982,0.0011726737193974305,1.7256574105843194,0.9529851886118899,0.8596491228070176,0.8684210526315789,0.8421052631578947,0.8567251461988303,2.0,mean_freight
2018-07,6156,True,11.0,2.0,0.0,385.3254013033309,2.5858276393847874,0.0025952091313408967,1.3832017651649078,1.181220727366667,0.087719298245614,0.881578947368421,0.6842105263157895,0.5511695906432749,9.0,mean_freight
2018-08,6351,True,11.0,2.0,0.0,228.0614043741002,2.358051794327028,0.004384784013517919,2.041280658829215,1.0870633126941722,0.6842105263157894,0.5526315789473684,0.4210526315789473,0.5526315789473684,8.0,max_freight
