purchase_month,orders,full_support_30d_orders,full_support_30d_pct,full_support_60d_orders,full_support_60d_pct,full_support_90d_orders,full_support_90d_pct
2016-09,1,0,0.0,0,0.0,0,0.0
2016-10,265,217,81.88679245283019,0,0.0,0,0.0
2016-12,1,1,100.0,1,100.0,1,100.0
2017-01,750,750,100.0,750,100.0,750,100.0
2017-02,1653,1653,100.0,1653,100.0,1653,100.0
2017-03,2546,2546,100.0,2546,100.0,2546,100.0
2017-04,2303,2303,100.0,2303,100.0,2303,100.0
2017-05,3545,3545,100.0,3545,100.0,3545,100.0
2017-06,3135,3135,100.0,3135,100.0,3135,100.0
2017-07,3872,3872,100.0,3872,100.0,3872,100.0
2017-08,4193,4193,100.0,4193,100.0,4193,100.0
2017-09,4150,4150,100.0,4150,100.0,4150,100.0
2017-10,4478,4478,100.0,4478,100.0,4478,100.0
2017-11,7288,7288,100.0,7288,100.0,7288,100.0
2017-12,5513,5513,100.0,5513,100.0,5513,100.0
2018-01,7069,7069,100.0,7069,100.0,7069,100.0
2018-02,6555,6555,100.0,6555,100.0,6555,100.0
2018-03,7003,7003,100.0,7003,100.0,7003,100.0
2018-04,6798,6798,100.0,6798,100.0,6798,100.0
2018-05,6749,6749,100.0,6749,100.0,6749,100.0
2018-06,6096,6096,100.0,6096,100.0,6096,100.0
2018-07,6156,6156,100.0,6156,100.0,6156,100.0
2018-08,6351,6351,100.0,6351,100.0,6351,100.0
