channel,lag_day,orders_full_90d_support,mean,std,median,p05,p25,p75,p95,zero_pct
purchase_volume,1,96204,210.26754604798137,113.70085944060145,199.0,79.0,142.0,262.0,347.0,0.002078915637603426
purchase_volume,2,96204,200.54958213795683,96.32942790467294,193.0,74.0,138.0,256.0,333.0,0.03430210802045653
purchase_volume,3,96204,196.8447257910274,97.51691160553543,190.0,73.0,135.0,249.0,324.0,0.039499397114465096
purchase_volume,4,96204,195.2383684670076,95.14356580316267,188.0,73.0,134.0,248.0,317.0,0.04469668620847366
purchase_volume,5,96204,194.22834809363437,92.82050105715426,187.0,73.0,134.0,248.0,317.0,0.0478150596648788
purchase_volume,6,96204,194.93638518148933,90.43324894893452,187.0,74.0,135.0,251.0,318.0,0.05197289094008565
purchase_volume,7,96204,197.73563469294416,91.17264081063344,192.0,74.0,137.0,254.0,321.0,0.06236746912810278
purchase_volume,8,96204,196.50552991559601,88.64461155588943,191.0,73.0,137.0,254.0,320.0,0.07068313167851649
purchase_volume,9,96204,191.80947777639184,87.3269827839386,184.0,71.0,133.0,248.0,317.0,0.08419608332293875
purchase_volume,10,96204,188.97324435574404,91.06378191765477,180.0,70.0,129.0,242.0,311.0,0.09355120369215418
purchase_volume,11,96204,188.06344850525966,91.29579242999431,179.0,70.0,128.0,241.0,309.0,0.11018252879298158
purchase_volume,12,96204,187.35282316743587,89.17539131993773,179.0,70.0,128.0,242.0,308.0,0.12473493825620556
purchase_volume,13,96204,188.261278117334,87.93466711584591,178.0,70.0,130.0,245.0,309.0,0.11434036006818843
purchase_volume,14,96204,190.5047711113883,87.63177635778642,181.0,70.0,133.0,249.0,311.0,0.17982620265269636
purchase_volume,15,96204,189.55931146314083,85.677367797067,183.0,69.0,131.0,248.0,309.0,0.2078915637603426
purchase_volume,16,96204,185.4305954014386,84.8641946700695,177.0,68.0,128.0,243.0,307.0,0.24011475614319572
purchase_volume,17,96204,182.79255540310174,87.25100730197171,174.0,67.0,125.0,235.0,304.0,0.2629828281568334
