channel,window_days,current_month,train_orders,test_orders,train_first_month,train_last_month,test_month,k80_train,train_relative_error_k80,future_relative_error_k80,future_error_inflation_k80,k90_train,train_relative_error_k90,future_relative_error_k90,future_error_inflation_k90,k95_train,train_relative_error_k95,future_relative_error_k95,future_error_inflation_k95,basis_angle_dimension,basis_max_angle_deg,basis_mean_angle_deg,train_pc1_energy_pct,test_pc1_energy_pct
purchase_volume,30,2017-04,5167,2303,2016-10,2017-03,2017-04,3,0.4408680919863551,0.4499522345243564,1.020605125893943,8,0.30873346323163836,0.34219605312572876,1.1083866631877992,15,0.21411451354143168,0.27609697091299595,1.2894827461547604,8,88.77239442244588,46.91513700527341,67.57810797066195,19.563728048956367
purchase_volume,30,2017-05,7470,3545,2016-10,2017-04,2017-05,4,0.41353006358583383,0.3319751281576774,0.802783539554607,9,0.3065716100424642,0.2679583646399413,0.8740482023199264,16,0.21614493665574053,0.21967146850114366,1.016315588511888,9,88.39850506101327,37.68641411980113,66.20516161299682,30.818675566331365
purchase_volume,30,2017-06,11015,3135,2016-10,2017-05,2017-06,3,0.444949128508989,0.42931198951784955,0.9648563442667277,8,0.30730378158134425,0.33018772128502827,1.0744668340426087,16,0.21806543936973205,0.24401828773892875,1.1190140374568636,8,88.28676122926045,42.13146480115298,68.23127424960904,22.52115502651113
purchase_volume,30,2017-07,14150,3872,2016-10,2017-06,2017-07,4,0.3947930216200343,0.48890252727765704,1.2383768215340891,8,0.3151339012891174,0.4076447078812427,1.2935603126597666,16,0.2141469597026582,0.3037827762679769,1.418571511310632,8,85.04766385498016,33.16656029100777,68.50765013151161,18.00385346930939
purchase_volume,30,2017-08,18022,4193,2016-10,2017-07,2017-08,4,0.4274742523433948,0.323275802769579,0.7562462557625295,10,0.3110775549877471,0.2173906572543945,0.6988310592288062,17,0.21976311613925031,0.15238777245926363,0.6934183275900807,10,89.42920183160193,36.912638867474854,64.0465526171399,31.019215957268074
purchase_volume,30,2017-09,22215,4150,2016-10,2017-08,2017-09,4,0.4053991427251346,0.39169409460144194,0.9661936923902554,9,0.305110911541855,0.330396543138634,1.0828735736424502,16,0.2139016434925284,0.1989462764617277,0.9300829727784531,9,87.25036441576124,35.62200193650421,66.16459694190317,26.781012434338358
purchase_volume,30,2017-10,26365,4478,2016-10,2017-09,2017-10,4,0.4064381287744186,0.3362831140212354,0.8273906659182543,9,0.29863531055286807,0.2524499172480122,0.8453451696004998,15,0.2206475847119701,0.2101402005469255,0.952379337490774,9,89.53428943534992,30.213178552912122,65.42411771610962,33.42180751734676
purchase_volume,30,2017-11,30843,7288,2016-10,2017-10,2017-11,3,0.43646864827710846,0.8114442557480154,1.859112353088966,8,0.31197687573268823,0.5701323522724918,1.8274827290757263,15,0.21931297337940767,0.38003345775184866,1.7328361924782139,5,89.50060689376376,62.025445113853024,64.92342807934601,37.3543068452459
purchase_volume,30,2017-12,38131,5513,2016-10,2017-11,2017-12,5,0.3932509957942835,0.7021512355844542,1.785504024385896,7,0.3124960098112773,0.6819734402196593,2.182342874174672,10,0.22039910823693007,0.6251690685118495,2.8365317514796375,7,89.53411701328912,73.08041795856602,51.3071778066561,22.677269307088835
purchase_volume,30,2018-01,43644,7069,2016-10,2017-12,2018-01,9,0.43957529536669193,0.4386723943741583,0.9979459696619655,15,0.3037697269345898,0.23092044653245905,0.7601825529578947,20,0.20737133931260346,0.167018222649751,0.8054064906142991,9,87.66067640758958,39.89088979431295,42.29453298090287,37.81033401449741
purchase_volume,30,2018-02,50713,6555,2016-10,2018-01,2018-02,9,0.43678497311994396,0.2734913273896963,0.6261463745791315,15,0.29729078398821973,0.1599743789450551,0.5381074273442467,19,0.22203979755626627,0.1211280114003577,0.5455238778519563,11,88.4739886270588,32.55295319304,42.27997449224825,30.81866391010073
purchase_volume,30,2018-03,57268,7003,2016-10,2018-02,2018-03,9,0.42196667524310266,0.25516924908591737,0.6047142204746613,14,0.3055822942496517,0.16480217263426292,0.5393053712059129,19,0.21398791459380567,0.12608751439760144,0.5892272684508478,14,89.10013614282529,25.785820804675183,45.37510584778618,24.95631317135298
purchase_volume,30,2018-04,64271,6798,2016-10,2018-03,2018-04,8,0.4339126383507555,0.33874692274460066,0.7806800097644836,13,0.31490071011485693,0.2350390032259201,0.7463908326538609,19,0.2071626076164442,0.15514114581813992,0.7488858515692148,11,89.25717057534929,35.05494144744048,48.56854556742436,32.034355770004915
purchase_volume,30,2018-05,71069,6749,2016-10,2018-04,2018-05,8,0.4292133153103245,0.2989450983051535,0.6964953966747605,13,0.3110029998883595,0.20863797688844593,0.6708551909896063,18,0.22097362174679752,0.16476472829805072,0.7456307544565037,9,88.20681695571315,36.398514694433075,49.187403093306735,26.526693934180994
purchase_volume,30,2018-06,77818,6096,2016-10,2018-05,2018-06,7,0.4466600072180235,0.44769809239627506,1.0023241059451844,13,0.30390149575944964,0.28635574939153613,0.9422650213548087,18,0.21698688536195257,0.21135396430384218,0.9740402695365012,8,88.2195499387395,38.449721314801074,49.857232444891366,41.60631235162419
purchase_volume,30,2018-07,83914,6156,2016-10,2018-06,2018-07,7,0.4462969301740857,0.4404779673672277,0.9869616786192362,13,0.3030605653440621,0.3147438805642661,1.038551090297545,18,0.2167172775086882,0.23822478226259397,1.0992422247139182,10,85.56580753134661,27.05586826241399,48.2156409356015,24.434873291151312
purchase_volume,30,2018-08,90070,6351,2016-10,2018-07,2018-08,7,0.44612909035457743,0.3124628824428543,0.7003867024105355,13,0.30334349392349447,0.19343153723145046,0.6376650269619277,18,0.2172674116053699,0.15669516538445477,0.7212087824246072,8,86.79156451836695,27.23696368011705,47.200806108077074,29.453471128507573
purchase_volume,60,2017-05,7253,3545,2016-12,2017-04,2017-05,4,0.43456049894834786,0.41611490449159444,0.9575534488261302,10,0.3104089457147876,0.31035101731143344,0.999813380367564,23,0.2200721688918205,0.2702274774513946,1.2279039135758625,10,89.89085483109373,54.6580929704041,67.22166853308926,23.162730640615692
purchase_volume,60,2017-06,10798,3135,2016-12,2017-05,2017-06,4,0.43051303199209384,0.40332629285099214,0.9368503689300607,10,0.3130849453373518,0.3105986420019642,0.9920586940623778,25,0.2184679473849531,0.23911403820589183,1.09450398133031,10,89.79353133391963,47.893722989229154,66.48589362025905,19.622147169297744
purchase_volume,60,2017-07,13933,3872,2016-12,2017-06,2017-07,4,0.4296969454198815,0.4627004466547318,1.0768064599635463,11,0.3070146908652998,0.368996469617981,1.201885383979476,24,0.22258743695256264,0.2846401618861343,1.27877909815187,11,89.50465804134542,51.703300031279745,67.8672682115256,18.44528611534271
purchase_volume,60,2017-08,17805,4193,2016-12,2017-07,2017-08,5,0.40071190570361886,0.3966517590446734,0.989867666517629,12,0.31498119735227353,0.31496402635140813,0.9999454856321275,26,0.2197119393730165,0.26161465197697353,1.1907165933882937,12,87.84767482316536,42.85061582882736,66.19763975487955,22.941785729169137
purchase_volume,60,2017-09,21998,4150,2016-12,2017-08,2017-09,4,0.44437511947730285,0.3519481778894154,0.7920069384248947,12,0.31419379655310625,0.2866291420724391,0.9122686227956507,27,0.22010013664867425,0.19669547409555496,0.8936635710023296,12,89.7657646768505,47.87694878096732,65.76173759482477,28.627255157624173
purchase_volume,60,2017-10,26148,4478,2016-12,2017-09,2017-10,4,0.4286310468451867,0.36323604707777224,0.8474328907139713,11,0.31134211365006337,0.283168733081967,0.9095098949583089,25,0.22183110328889866,0.21519179388842521,0.9700704306022099,11,89.79377270628402,39.6409134545837,66.81968437824703,29.59156166368551
purchase_volume,60,2017-11,30626,7288,2016-12,2017-10,2017-11,4,0.4199774452040026,0.8050077871343654,1.9167881426187914,11,0.3064399635627742,0.6188316747927487,2.0194222306973386,25,0.2192277761204572,0.43178187867048623,1.9695582663450397,6,89.7405033721349,74.40220422397866,66.72888723943439,34.91360902897775
purchase_volume,60,2017-12,37914,5513,2016-12,2017-11,2017-12,5,0.44479539391110445,0.7969314084368154,1.7916808927119598,9,0.31154452194229143,0.776280732696106,2.491716843090245,16,0.22335022766585214,0.5687258455745053,2.546341015713491,9,89.76569421868332,77.61944857938828,51.4586952950499,22.839163056531547
purchase_volume,60,2018-01,43427,7069,2016-12,2017-12,2018-01,12,0.43698550468226843,0.6329001369856672,1.4483321075966764,20,0.3079489146280451,0.6171189554464391,2.0039653531230135,28,0.2169796348131646,0.6028315665404572,2.778286391068634,15,89.79830048997015,70.50271074683066,41.44704770665149,24.774896868746957
purchase_volume,60,2018-02,50496,6555,2016-12,2018-01,2018-02,16,0.4361972711550352,0.29364159890652014,0.6731853184889658,27,0.31072992738196814,0.20790468875158138,0.6690848561104714,37,0.21787647648995376,0.15477098365236955,0.7103611465807141,11,89.64839100823039,55.98339275525108,37.51424190442841,31.10641691805936
purchase_volume,60,2018-03,57051,7003,2016-12,2018-02,2018-03,15,0.4366058665653622,0.24253611062768637,0.5555035541222565,26,0.31184381648697207,0.17085167677841137,0.5478757882811797,36,0.22025943647075932,0.12910733840663735,0.5861603047539672,15,89.86767725161953,48.713973057239514,38.9874770849068,26.52020301590883
purchase_volume,60,2018-04,64054,6798,2016-12,2018-03,2018-04,14,0.43358340978149695,0.26435659064102046,0.609701812101718,25,0.3093101179955564,0.187475330613665,0.606107979359273,35,0.22020712499487308,0.1507865391065704,0.6847486842675097,14,89.880606790357,48.484016801851155,43.37357793069718,28.055593424187233
purchase_volume,60,2018-05,70852,6749,2016-12,2018-04,2018-05,13,0.43637765118664973,0.3201275342276973,0.7336020379530634,24,0.3106846411794819,0.2185694819530304,0.7035091310701878,34,0.2234795375479007,0.16381754821336628,0.7330315339419098,12,89.85899824762741,44.86188238158044,45.68302435757587,26.97072265316811
purchase_volume,60,2018-06,77601,6096,2016-12,2018-05,2018-06,12,0.44241239112345077,0.4117160763665542,0.9306160600996118,23,0.31402780612837433,0.25903154246512644,0.8248681722128598,34,0.21976210651270273,0.17977344381390453,0.8180365881390622,10,89.9351086792471,54.129032118295505,46.75865469696218,26.481346665441098
purchase_volume,60,2018-07,83697,6156,2016-12,2018-06,2018-07,12,0.4387848999187885,0.40454975173235097,0.9219773784540584,23,0.31067743636957956,0.30194830555789254,0.9719029134729215,34,0.21749953022770133,0.22106441855361816,1.0163903265546586,11,89.70558268829035,39.08720892785788,45.74305945470188,29.611548358067996
purchase_volume,60,2018-08,89853,6351,2016-12,2018-07,2018-08,12,0.43766637879439696,0.3631954358614721,0.8298454107028652,23,0.3102859905568692,0.2340682664478141,0.7543629863137958,34,0.2175863070826923,0.1931854180814057,0.887856504720156,10,89.55805969739183,46.01083471207985,44.7230978792694,23.915082643451388
purchase_volume,90,2017-05,7253,3545,2016-12,2017-04,2017-05,4,0.4346820340642507,0.4636854375270302,1.0667232624997158,10,0.3091449205803754,0.3110528655123594,1.0061716845562336,24,0.22301423815910842,0.2865427958327086,1.28486323652697,10,89.99276444867051,58.09982388282091,63.841866536505485,24.074990820610818
purchase_volume,90,2017-06,10798,3135,2016-12,2017-05,2017-06,4,0.43643840108763526,0.44855552669917204,1.0277636559508514,10,0.31183222764387886,0.3202526695352206,1.027003116242873,27,0.2225718441373867,0.26841732905097326,1.2059806130971695,10,89.91246324084479,57.496339527160465,67.83334326577489,19.686239079916753
purchase_volume,90,2017-07,13933,3872,2016-12,2017-06,2017-07,4,0.44255642773491893,0.4211693454076465,0.9516737731350209,11,0.3094243748635991,0.3390922654977586,1.0958809099872555,28,0.22355389582393667,0.27396247203235735,1.2254873529384642,11,89.84724760339982,58.41937571665342,69.30057730719126,18.138527107492074
purchase_volume,90,2017-08,17805,4193,2016-12,2017-07,2017-08,4,0.4365525052373646,0.42825568128547564,0.9809946710822842,12,0.3114926656871935,0.32235611961383687,1.0348754725979732,30,0.220142994760932,0.27341174014662045,1.24197338390684,12,89.68615672600887,52.34817140399238,69.7505469108906,22.007987733035613
purchase_volume,90,2017-09,21998,4150,2016-12,2017-08,2017-09,4,0.4345539821933232,0.3838091322039029,0.8832254401782352,12,0.3145926168247845,0.3182922713203021,1.0117601440645956,31,0.2226930827584642,0.25149864055138343,1.1293509319468271,12,89.9384258102151,50.403383376985374,69.68446359264742,24.39039162613833
purchase_volume,90,2017-10,26148,4478,2016-12,2017-09,2017-10,4,0.4269222843556025,0.3317090124628725,0.7769775076593972,12,0.31324499133775924,0.26984024259053246,0.8614351387970791,32,0.2209711802631465,0.21190059741466066,0.9589512856939805,12,89.9718569983298,48.6447790985625,69.66437282271879,30.098745851087124
purchase_volume,90,2017-11,30626,7288,2016-12,2017-10,2017-11,3,0.4386012174305187,0.7643939627231069,1.7427994550521255,11,0.31404773058619806,0.6429682322838198,2.0473583142398843,31,0.22055381121003761,0.4394269529258567,1.9923797757789912,7,89.81623085556991,69.00663415612831,70.24882838402206,32.96745994379453
purchase_volume,90,2017-12,37914,5513,2016-12,2017-11,2017-12,5,0.4388622013086296,0.8101537867693421,1.846032272438979,10,0.3145287873150296,0.7385482479938967,2.3481101818962364,21,0.2216792051879493,0.5518419962326835,2.489371954238142,10,89.56628368946365,75.19279414959848,56.65008315053074,22.352361612066094
purchase_volume,90,2018-01,43427,7069,2016-12,2017-12,2018-01,12,0.43261670466710694,0.7301982263900494,1.6878641497487428,21,0.31268564672030247,0.7116695418642848,2.275990437453222,31,0.22172366032335353,0.620965843327735,2.8006295873978515,18,89.9735661459818,74.77631577905976,45.43770308124403,24.383916921377473
purchase_volume,90,2018-02,50496,6555,2016-12,2018-01,2018-02,18,0.43798525682877876,0.6167931613488353,1.408250966744202,32,0.30953528559502946,0.5534034087074042,1.7878524176769681,44,0.2231126018797468,0.5431571217284628,2.434452904731995,15,89.981763445502,70.70458978305116,40.14150548635604,24.99527351964011
purchase_volume,90,2018-03,57051,7003,2016-12,2018-02,2018-03,20,0.4442160369921907,0.28540819636471015,0.6424986326410534,38,0.310257651090152,0.19537193244445422,0.6297086687724736,53,0.220934476112736,0.15862315084584702,0.7179646818222546,13,89.89343610899182,55.336286174586085,39.8934954860046,26.571886796461374
purchase_volume,90,2018-04,64054,6798,2016-12,2018-03,2018-04,19,0.43852414847853377,0.235667846343657,0.5374113310779126,36,0.31207336840165883,0.18913554204330343,0.6060611420064324,52,0.22051588937400923,0.13430298084467532,0.6090399255397363,14,89.94831501911673,55.70239627640249,42.451408260057484,29.438940775914123
purchase_volume,90,2018-05,70852,6749,2016-12,2018-04,2018-05,17,0.4419166695294253,0.2571862038906142,0.5819789603421811,34,0.31466628995747886,0.19819715390368806,0.629864590612711,51,0.21923800471351026,0.14888878386119214,0.6791194074939374,13,89.94164678977218,51.01548116100708,45.489102027439586,26.41126687787259
purchase_volume,90,2018-06,77601,6096,2016-12,2018-05,2018-06,16,0.4385953668620274,0.41693798379262703,0.9506210400161083,33,0.31246391748822616,0.2669703285174612,0.8544037041573634,50,0.2194129529302612,0.18210151445584663,0.8299487884551933,11,89.74561621407183,59.210007482977154,47.48238552460339,22.118150974869646
purchase_volume,90,2018-07,83697,6156,2016-12,2018-06,2018-07,15,0.4456209675528101,0.3918702051122926,0.8793800867681398,32,0.3152788018403801,0.2608756329179977,0.8274442537689999,49,0.22200746291832352,0.1868720264587819,0.84173758846806,11,89.3755144982578,52.01019320162422,47.17159983129299,22.734205112191376
purchase_volume,90,2018-08,89853,6351,2016-12,2018-07,2018-08,15,0.44241037438105885,0.41168344360391695,0.9305465410477105,32,0.3125153384909273,0.2452247509061222,0.7846806882832134,49,0.22037642344924252,0.19994650402509248,0.9072953490015437,10,89.62530461018197,53.522294855281544,46.18469734950814,30.928791775183136
purchase_freight,30,2017-04,5167,2303,2016-10,2017-03,2017-04,4,0.4121244748898907,0.44231752866923413,1.0732619769486156,9,0.30814471177751607,0.361910220828431,1.1744813621521248,15,0.2233450123988607,0.29832411808854364,1.3357097831931053,9,89.03005493856972,48.44192507346574,66.85345995848593,19.368861094387828
purchase_freight,30,2017-05,7470,3545,2016-10,2017-04,2017-05,4,0.4330284506997722,0.355413700005624,0.820762930082947,10,0.314881988102974,0.2953023830659003,0.9378192282288603,17,0.22174836150957175,0.22344044760266413,1.0076306588313588,10,89.64449976378492,47.661381670508206,64.53465780461522,28.807866875738544
