channel,window_days,current_month,train_orders,k80_train,k90_train,k95_train
purchase_volume,30,2017-04,5167,3,8,15
purchase_volume,30,2017-05,7470,4,9,16
purchase_volume,30,2017-06,11015,3,8,16
purchase_volume,30,2017-07,14150,4,8,16
purchase_volume,30,2017-08,18022,4,10,17
purchase_volume,30,2017-09,22215,4,9,16
purchase_volume,30,2017-10,26365,4,9,15
purchase_volume,30,2017-11,30843,3,8,15
purchase_volume,30,2017-12,38131,5,7,10
purchase_volume,30,2018-01,43644,9,15,20
purchase_volume,30,2018-02,50713,9,15,19
purchase_volume,30,2018-03,57268,9,14,19
purchase_volume,30,2018-04,64271,8,13,19
purchase_volume,30,2018-05,71069,8,13,18
purchase_volume,30,2018-06,77818,7,13,18
purchase_volume,30,2018-07,83914,7,13,18
purchase_volume,30,2018-08,90070,7,13,18
purchase_volume,60,2017-05,7253,4,10,23
purchase_volume,60,2017-06,10798,4,10,25
purchase_volume,60,2017-07,13933,4,11,24
purchase_volume,60,2017-08,17805,5,12,26
purchase_volume,60,2017-09,21998,4,12,27
purchase_volume,60,2017-10,26148,4,11,25
purchase_volume,60,2017-11,30626,4,11,25
purchase_volume,60,2017-12,37914,5,9,16
purchase_volume,60,2018-01,43427,12,20,28
purchase_volume,60,2018-02,50496,16,27,37
purchase_volume,60,2018-03,57051,15,26,36
purchase_volume,60,2018-04,64054,14,25,35
purchase_volume,60,2018-05,70852,13,24,34
purchase_volume,60,2018-06,77601,12,23,34
purchase_volume,60,2018-07,83697,12,23,34
purchase_volume,60,2018-08,89853,12,23,34
purchase_volume,90,2017-05,7253,4,10,24
purchase_volume,90,2017-06,10798,4,10,27
purchase_volume,90,2017-07,13933,4,11,28
purchase_volume,90,2017-08,17805,4,12,30
purchase_volume,90,2017-09,21998,4,12,31
purchase_volume,90,2017-10,26148,4,12,32
purchase_volume,90,2017-11,30626,3,11,31
purchase_volume,90,2017-12,37914,5,10,21
purchase_volume,90,2018-01,43427,12,21,31
purchase_volume,90,2018-02,50496,18,32,44
purchase_volume,90,2018-03,57051,20,38,53
purchase_volume,90,2018-04,64054,19,36,52
purchase_volume,90,2018-05,70852,17,34,51
purchase_volume,90,2018-06,77601,16,33,50
purchase_volume,90,2018-07,83697,15,32,49
purchase_volume,90,2018-08,89853,15,32,49
purchase_freight,30,2017-04,5167,4,9,15
purchase_freight,30,2017-05,7470,4,10,17
purchase_freight,30,2017-06,11015,4,10,17
purchase_freight,30,2017-07,14150,4,11,19
purchase_freight,30,2017-08,18022,5,13,20
purchase_freight,30,2017-09,22215,4,12,19
purchase_freight,30,2017-10,26365,4,11,19
purchase_freight,30,2017-11,30843,4,11,18
purchase_freight,30,2017-12,38131,5,8,11
purchase_freight,30,2018-01,43644,9,15,20
purchase_freight,30,2018-02,50713,9,15,19
purchase_freight,30,2018-03,57268,9,14,19
purchase_freight,30,2018-04,64271,8,14,19
purchase_freight,30,2018-05,71069,8,13,19
purchase_freight,30,2018-06,77818,8,13,18
purchase_freight,30,2018-07,83914,7,13,18
purchase_freight,30,2018-08,90070,7,13,18
purchase_freight,60,2017-05,7253,4,11,25
purchase_freight,60,2017-06,10798,5,13,26
purchase_freight,60,2017-07,13933,5,14,28
purchase_freight,60,2017-08,17805,5,17,31
purchase_freight,60,2017-09,21998,5,18,33
purchase_freight,60,2017-10,26148,5,16,32
purchase_freight,60,2017-11,30626,4,15,31
purchase_freight,60,2017-12,37914,6,10,20
purchase_freight,60,2018-01,43427,12,20,28
purchase_freight,60,2018-02,50496,16,28,37
purchase_freight,60,2018-03,57051,15,27,37
purchase_freight,60,2018-04,64054,14,26,36
purchase_freight,60,2018-05,70852,13,25,35
purchase_freight,60,2018-06,77601,12,24,35
purchase_freight,60,2018-07,83697,12,24,35
purchase_freight,60,2018-08,89853,12,24,35
purchase_freight,90,2017-05,7253,4,11,26
purchase_freight,90,2017-06,10798,5,12,29
purchase_freight,90,2017-07,13933,5,14,32
purchase_freight,90,2017-08,17805,5,16,35
purchase_freight,90,2017-09,21998,5,18,39
purchase_freight,90,2017-10,26148,5,18,40
purchase_freight,90,2017-11,30626,4,17,40
purchase_freight,90,2017-12,37914,6,12,28
purchase_freight,90,2018-01,43427,12,22,33
purchase_freight,90,2018-02,50496,18,33,45
purchase_freight,90,2018-03,57051,21,39,54
purchase_freight,90,2018-04,64054,19,37,53
purchase_freight,90,2018-05,70852,17,36,52
purchase_freight,90,2018-06,77601,16,34,51
purchase_freight,90,2018-07,83697,15,34,51
purchase_freight,90,2018-08,89853,15,33,50
