window_days,edf_ratio_target,target_effective_df,lambda,actual_effective_df,actual_edf_ratio,penalty_rank,penalty_nullity,constant_reproduction_max_error,linear_reproduction_max_error
30,1.0,30.0,0.0,30.0,1.0,28,2,0.0,0.0
30,0.75,22.5,0.08406628450493797,22.5,0.75,28,2,4.440892098500626e-16,7.105427357601002e-15
30,0.5,15.0,0.489610051353089,14.999999999999998,0.49999999999999994,28,2,4.440892098500626e-16,1.4210854715202004e-14
30,0.25,7.5,8.082724730027447,7.499999999999987,0.24999999999999956,28,2,3.774758283725532e-15,8.526512829121202e-14
60,1.0,60.0,0.0,60.0,1.0,58,2,0.0,0.0
60,0.75,45.0,0.0796644862161485,45.0,0.75,58,2,2.220446049250313e-16,1.4210854715202004e-14
60,0.5,30.0,0.4436081877127176,30.0,0.5,58,2,4.440892098500626e-16,1.4210854715202004e-14
60,0.25,15.0,6.214243690235012,15.000000000000002,0.25000000000000006,58,2,2.220446049250313e-15,9.237055564881302e-14
90,1.0,90.0,0.0,90.0,1.0,88,2,0.0,0.0
90,0.75,67.5,0.07828642764753907,67.5,0.75,88,2,2.220446049250313e-16,2.842170943040401e-14
90,0.5,45.0,0.42975651743751475,45.000000000000014,0.5000000000000001,88,2,4.440892098500626e-16,4.263256414560601e-14
90,0.25,22.5,5.722443537177487,22.499999999999975,0.24999999999999972,88,2,3.3306690738754696e-15,1.5631940186722204e-13
