channel,window_days,edf_ratio_target,lambda,orders,total_cells,negative_cells,negative_cell_pct,affected_rows,affected_row_pct,minimum_value,negative_p01,negative_p05,negative_median,negative_p95,closest_to_zero_negative,negative_mass_abs,negative_mass_pct_raw_mass,negative_mass_pct_smooth_positive_mass,negative_on_raw_zero_pct,negative_on_raw_positive_pct,raw_mean_cell,raw_positive_median,minimum_abs_over_raw_mean,minimum_abs_over_positive_median,d1_recorded_negative_cells,negative_cell_recomputation_difference
purchase_freight,30,0.75,0.0840662845049379,96421,2892630,7524,0.2601093122867425,1060,1.099345578245403,-26.102363169139426,-20.10737221142838,-8.455658148948332,-0.09391380515991209,-3.775103912571673e-05,-2.1473587240968725e-10,12338.7693266982,9.996954135651436e-05,9.996944141752226e-05,99.10951621477938,0.8904837852206273,4266.888158357643,4071.9599999981,0.006117423799358833,0.006410270034369592,7524,0
purchase_freight,30,0.5,0.489610051353089,96421,2892630,7394,0.25561513224989024,1053,1.0920857489551032,-49.357229572740756,-34.92985282711479,-22.30940220231547,-0.20336572703855926,-0.006729958708226808,-1.1034867958890322e-05,24447.745046039887,0.00019807727940624487,0.00019807688706093585,100.0,0.0,4266.888158357643,4071.9599999981,0.011567500187710269,0.012121246174511486,7394,0
purchase_freight,30,0.25,8.082724730027447,96421,2892630,6167,0.21319698682513838,961,0.9966708497111625,-60.98213441652922,-50.431297357809214,-37.629185282639405,-3.15412794078254,-0.03511306766408034,-4.1977597434042716e-05,48016.072402887425,0.00038902945737638974,0.00038902794394308994,100.0,0.0,4266.888158357643,4071.9599999981,0.014291945828737563,0.0149761133254152,6167,0
purchase_freight,60,0.75,0.0796644862161485,96204,5772240,27343,0.47369825232492063,2654,2.758721051099746,-10.946190207982744,-4.093240434337475,-3.440352587570972,-0.08527552042759506,-1.0231290592608106e-08,-2.3845487607634876e-09,18954.44586949425,7.963796490461894e-05,7.963790148261489e-05,100.0,0.0,4123.31542786509,3928.3899999990826,0.0026547060004211954,0.0027864316445122047,27343,0
purchase_freight,60,0.5,0.4436081877127176,96204,5772240,30237,0.5238347677851233,2650,2.7545632198245396,-14.956367545395448,-4.750221840317484,-4.502206742977393,-0.060476924229266246,-2.2129895510112487e-08,-1.510916033545077e-10,27551.145887240174,0.00011575739034298731,0.00011575725634540821,100.0,0.0,4123.31542786509,3928.3899999990826,0.003627267379138961,0.0038072512009751937,30237,0
purchase_freight,60,0.25,6.214243690235012,96204,5772240,29398,0.5092996826188794,2586,2.68803791942123,-17.7667517093063,-6.090929269975278,-4.181803886670164,-0.08092157753801854,-1.657750737073463e-05,-1.3037478013605868e-10,36701.85214656737,0.00015420449815876542,0.00015420426036885946,100.0,0.0,4123.31542786509,3928.3899999990826,0.004308850976871616,0.00452265475406221,29398,0
purchase_freight,90,0.75,0.078286427647539,96204,8658360,57852,0.6681634859257412,5100,5.301234875888737,-37.27990406810236,-4.151769937927534,-3.4885225737368146,-0.08748054493501277,-2.525438953757647e-09,-1.0174014744560237e-10,37513.40008463527,0.00010848391929311027,0.00010848380160563049,99.9982714512895,0.001728548710502662,3993.7918174515644,3815.2099999995553,0.009334463530422735,0.009771389797181992,57852,0
purchase_freight,90,0.5,0.4297565174375147,96204,8658360,68181,0.7874585949302177,5097,5.298116502432332,-47.95824120075134,-4.785843876878755,-4.45602228531708,-0.0503675773265261,-1.671745916663052e-08,-1.2601629899933982e-10,54769.84535653903,0.0001583873354574567,0.00015838708459237373,100.0,0.0,3993.7918174515644,3815.2099999995553,0.012008197570837193,0.012570275607569945,68181,0
purchase_freight,90,0.25,5.722443537177487,96204,8658360,83294,0.9620066617696654,5034,5.232630659847823,-43.62013411163217,-4.600184534664867,-4.075849717073253,-0.025766853310859723,-3.2368966547640926e-09,-1.0228836389112048e-10,75786.26189768343,0.00021916410404510908,0.00021916362371711664,100.0,0.0,3993.7918174515644,3815.2099999995553,0.010921984946993592,0.011433219694757892,83294,0
purchase_volume,30,0.75,0.0840662845049379,96421,2892630,7453,0.2576547985743078,1059,1.09830845977536,-1.0964494524020976,-0.8086677767182818,-0.4902596148345035,-0.010881643214855583,-2.4857240645120202e-06,-4.205796800467618e-10,867.2265704393985,0.00016055301904562903,0.00016055276127332363,99.89266067355427,0.10733932644572655,186.73305953405725,178.0,0.005871747911901599,0.006159828384281447,7453,0
purchase_volume,30,0.5,0.489610051353089,96421,2892630,7201,0.24894300342594802,1052,1.0910486304850604,-2.159662719794962,-1.4396927576077603,-1.028044625779971,-0.030113892220299195,-0.00039187417839739815,-9.440559532653057e-07,1478.5490325856904,0.0002737295178448584,0.00027372876856842,100.0,0.0,186.73305953405725,178.0,0.011565508138643616,0.012132936628061584,7201,0
purchase_volume,30,0.25,8.082724730027447,96421,2892630,5420,0.18737273692107181,930,0.9645201771398347,-2.5365260318970533,-2.060924104671844,-1.6134477161237,-0.27085119110541167,-0.002464628936062649,-3.5596342475886777e-06,2435.1525277021615,0.0004508292336581467,0.0004508272011973298,100.0,0.0,186.73305953405725,178.0,0.013583700916304163,0.014250146246612659,5420,0
purchase_volume,60,0.75,0.0796644862161485,96204,5772240,27338,0.4736116308400205,2654,2.758721051099746,-1.0791035305299321,-0.3727062918689703,-0.3460391805714383,-0.009779300941179323,-1.173313135038017e-09,-2.7345743933861794e-10,1938.3291858715143,0.00018518558032124983,0.0001851852373848933,100.0,0.0,181.33264157415493,173.0,0.005950961289496458,0.006237592662022729,27338,0
purchase_volume,60,0.5,0.4436081877127176,96204,5772240,30073,0.5209935830803986,2650,2.7545632198245396,-1.4348453201199494,-0.4623501833587574,-0.4318182626129224,-0.007566869846023381,-7.226297457783807e-09,-1.9211387308255165e-10,2687.8460456751923,0.0002567934968996187,0.0002567928374723115,100.0,0.0,181.33264157415493,173.0,0.00791278011318871,0.008293903584508378,30073,0
purchase_volume,60,0.25,6.214243690235012,96204,5772240,29008,0.5025432067966682,2536,2.6360650284811444,-1.4999867051687563,-0.5724823697528332,-0.3481595260066139,-0.008984203821705217,-2.3258916008722377e-06,-1.036859885982678e-10,2962.2907686687367,0.0002830136073246768,0.0002830128063599242,100.0,0.0,181.33264157415493,173.0,0.008272017062936489,0.00867044338247836,29008,0
purchase_volume,90,0.75,0.078286427647539,96204,8658360,59873,0.6915050887234996,5100,5.301234875888737,-1.6426902485065384,-0.37972891927327806,-0.3409299333910674,-0.010032171652157891,-2.896145696023183e-10,-2.356936717725073e-10,3790.718636646897,0.0002476954380726924,0.00024769482454391174,100.0,0.0,176.753451577435,169.0,0.009293681304927063,0.009720060642050523,59873,0
purchase_volume,90,0.5,0.4297565174375147,96204,8658360,68034,0.7857608138261749,5097,5.298116502432332,-2.1130752314163685,-0.45600057092750756,-0.4188051459159594,-0.0057780682698849156,-6.3346856238633955e-09,-8.899952088761224e-10,5283.0280261442995,0.0003452068240136224,0.0003452056323402227,100.0,0.0,176.753451577435,169.0,0.011954930512294062,0.01250340373619153,68034,0
purchase_volume,90,0.25,5.722443537177487,96204,8658360,81036,0.9359278200490624,4976,5.172342106357324,-1.9315103792513222,-0.40608310319101654,-0.3510052228809833,-0.005253613682591264,-1.1657018707368273e-08,-1.1727601779527308e-10,6091.643786711187,0.0003980438858598339,0.00039804230147678953,100.0,0.0,176.753451577435,169.0,0.010927709541248394,0.011429055498528533,81036,0
