channel,current_month,train_orders,test_orders,pve_policy,k_train,train_cumulative_pve,future_relative_error,future_variance_captured,train_before_test
purchase_volume,2017-04,5167,2303,0.8,3,0.8056353254683104,0.4499522345243565,0.7975429866465384,True
purchase_volume,2017-04,5167,2303,0.85,5,0.8751636907161779,0.37375297866230606,0.8603087109410538,True
purchase_volume,2017-04,5167,2303,0.9,8,0.9046836486809982,0.34219605312572904,0.8829018612251732,True
purchase_volume,2017-04,5167,2303,0.95,15,0.9541549750909158,0.27609697091299507,0.9237704626526687,True
purchase_volume,2017-04,5167,2303,0.99,24,0.9910484014242225,0.15279765718189325,0.9766528759597246,True
purchase_volume,2017-05,7470,3545,0.8,4,0.8289928865106964,0.3319751281576774,0.8897925142846936,True
purchase_volume,2017-05,7470,3545,0.85,5,0.862809922815143,0.31131646250785155,0.9030820601715974,True
purchase_volume,2017-05,7470,3545,0.9,9,0.9060138479159713,0.26795836463994116,0.9281983148194883,True
purchase_volume,2017-05,7470,3545,0.95,16,0.9532813663580858,0.21967146850114377,0.9517444459265509,True
purchase_volume,2017-05,7470,3545,0.99,26,0.991767816991313,0.11820135531008795,0.9860284396028584,True
purchase_volume,2017-06,11015,3135,0.8,3,0.8020202730390911,0.42931198951784955,0.8156912156562258,True
purchase_volume,2017-06,11015,3135,0.85,5,0.8702496667311022,0.35873115713127257,0.8713119569032582,True
purchase_volume,2017-06,11015,3135,0.9,8,0.9055643858258056,0.3301877212850283,0.8909760687126005,True
purchase_volume,2017-06,11015,3135,0.95,16,0.9524474641524858,0.24401828773892964,0.940455075248961,True
purchase_volume,2017-06,11015,3135,0.99,26,0.9906373932164266,0.11411388653210794,0.9869780209005372,True
purchase_volume,2017-07,14150,3872,0.8,4,0.8441384700801227,0.48890252727765704,0.7609743188215198,True
purchase_volume,2017-07,14150,3872,0.85,5,0.8633247593388169,0.45938282892096527,0.7889674164925712,True
purchase_volume,2017-07,14150,3872,0.9,8,0.9006906242583003,0.40764470788124263,0.8338257921364164,True
purchase_volume,2017-07,14150,3872,0.95,16,0.9541410796501076,0.3037827762679768,0.9077160248429204,True
purchase_volume,2017-07,14150,3872,0.99,26,0.9905332414930788,0.14552786723875777,0.9788216398569385,True
purchase_volume,2017-08,18022,4193,0.8,4,0.8172657635834554,0.323275802769579,0.8954927553436842,True
purchase_volume,2017-08,18022,4193,0.85,6,0.855634437557885,0.2925298129101517,0.9144263085587516,True
purchase_volume,2017-08,18022,4193,0.9,10,0.903230754782845,0.21739065725439471,0.9527413021385023,True
purchase_volume,2017-08,18022,4193,0.95,17,0.9517041727847662,0.1523877724592634,0.9767779668049038,True
purchase_volume,2017-08,18022,4193,0.99,27,0.9924325817459998,0.06748300970113896,0.995446043401676,True
purchase_volume,2017-09,22215,4150,0.8,4,0.835651535077726,0.39169409460144194,0.8465757362543567,True
purchase_volume,2017-09,22215,4150,0.85,5,0.8537424340161994,0.3767858988049635,0.8580323864617359,True
purchase_volume,2017-09,22215,4150,0.9,9,0.9069073316580983,0.3303965431386334,0.8908381242820411,True
purchase_volume,2017-09,22215,4150,0.95,16,0.9542460869111956,0.19894627646172847,0.9604203790820135,True
purchase_volume,2017-09,22215,4150,0.99,26,0.9903538230172546,0.09450795898462484,0.9910682456885604,True
purchase_volume,2017-10,26365,4478,0.8,4,0.8348080474783489,0.33628311402123534,0.8869136672241809,True
purchase_volume,2017-10,26365,4478,0.85,5,0.8523311686806457,0.31945347925313533,0.8979494745930666,True
purchase_volume,2017-10,26365,4478,0.9,9,0.9108169512909918,0.25244991724801225,0.9362690392814718,True
purchase_volume,2017-10,26365,4478,0.95,15,0.9513146433607738,0.21014020054692523,0.9558410961140981,True
purchase_volume,2017-10,26365,4478,0.99,26,0.9906924464536537,0.10052278053943535,0.9898951705926206,True
purchase_volume,2017-11,30843,7288,0.8,3,0.8094951190711537,0.8114442557480154,0.3415582198135494,True
purchase_volume,2017-11,30843,7288,0.85,5,0.8594358830573476,0.6372114229925084,0.5939616024078624,True
purchase_volume,2017-11,30843,7288,0.9,8,0.9026704290080708,0.5701323522724918,0.6749491008922353,True
purchase_volume,2017-11,30843,7288,0.95,15,0.9519018197074832,0.3800334577518461,0.8555745709891758,True
purchase_volume,2017-11,30843,7288,0.99,26,0.9905083464991553,0.18521194346706552,0.9656965359971525,True
purchase_volume,2017-12,38131,5513,0.8,5,0.8453536543068044,0.7021512355844542,0.5069836423672243,True
purchase_volume,2017-12,38131,5513,0.85,6,0.8788689582427022,0.6949094732554273,0.5171008239798646,True
purchase_volume,2017-12,38131,5513,0.9,7,0.9023462438520301,0.6819734402196592,0.5349122268349629,True
purchase_volume,2017-12,38131,5513,0.95,10,0.951424233088366,0.6251690685118491,0.6091636357760271,True
purchase_volume,2017-12,38131,5513,0.99,22,0.990296113356206,0.25613007959883743,0.9343973823246932,True
purchase_volume,2018-01,43644,7069,0.8,9,0.806773559703285,0.43867239437415817,0.807566530414043,True
purchase_volume,2018-01,43644,7069,0.85,12,0.8642532189769218,0.286457632572869,0.9179420247407472,True
purchase_volume,2018-01,43644,7069,0.9,15,0.9077239529980843,0.23092044653245913,0.9466757473732497,True
purchase_volume,2018-01,43644,7069,0.95,20,0.9569971276316968,0.1670182226497509,0.9721049133029183,True
purchase_volume,2018-01,43644,7069,0.99,27,0.99194628151035,0.09941764761987412,0.9901161313417305,True
purchase_volume,2018-02,50713,6555,0.8,9,0.80921888725661,0.2734913273896964,0.9252024938426219,True
purchase_volume,2018-02,50713,6555,0.85,11,0.8510373102772221,0.2225289500648552,0.9504808663830332,True
purchase_volume,2018-02,50713,6555,0.9,15,0.9116181897556698,0.1599743789450551,0.9744081980811439,True
purchase_volume,2018-02,50713,6555,0.95,19,0.9506983283011723,0.12112801140035777,0.9853280048541948,True
purchase_volume,2018-02,50713,6555,0.99,27,0.9917684155205756,0.06763992325742811,0.9954248407817292,True
purchase_volume,2018-03,57268,7003,0.8,9,0.8219441249842822,0.25516924908591726,0.9348886543209292,True
purchase_volume,2018-03,57268,7003,0.85,11,0.8612941471650605,0.22207983725450206,0.9506805458850138,True
purchase_volume,2018-03,57268,7003,0.9,14,0.9066194614411194,0.1648021726342629,0.9728402438950267,True
purchase_volume,2018-03,57268,7003,0.95,19,0.9542091724077942,0.12608751439760132,0.9841019387130346,True
purchase_volume,2018-03,57268,7003,0.99,27,0.9921196076025107,0.06734022682482896,0.9954652938511805,True
purchase_volume,2018-04,64271,6798,0.8,8,0.8117198222794866,0.33874692274460066,0.8852505223310636,True
purchase_volume,2018-04,64271,6798,0.85,10,0.8520648370587817,0.30333012721124647,0.907990833926009,True
purchase_volume,2018-04,64271,6798,0.9,13,0.900837542769159,0.23503900322592017,0.9447566669625659,True
purchase_volume,2018-04,64271,6798,0.95,19,0.9570836540055553,0.15514114581813987,0.9759312248742347,True
purchase_volume,2018-04,64271,6798,0.99,27,0.992416005074923,0.07914990178577426,0.9937352930473022,True
purchase_volume,2018-05,71069,6749,0.8,8,0.8157759299603201,0.2989450983051534,0.9106318281993222,True
purchase_volume,2018-05,71069,6749,0.85,10,0.855248782885831,0.26207153638556036,0.9313185098165119,True
purchase_volume,2018-05,71069,6749,0.9,13,0.9032771340604414,0.208637976888446,0.9564701945998962,True
purchase_volume,2018-05,71069,6749,0.95,18,0.9511706584921035,0.16476472829805083,0.9728525843088695,True
purchase_volume,2018-05,71069,6749,0.99,27,0.9924869057865314,0.07215814994845482,0.9947932013960163,True
purchase_volume,2018-06,77818,6096,0.8,7,0.8004948379519952,0.44769809239627495,0.7995664180647365,True
purchase_volume,2018-06,77818,6096,0.85,10,0.861571962295879,0.3822276700099472,0.8539020082787669,True
purchase_volume,2018-06,77818,6096,0.9,13,0.9076438808751691,0.28635574939153596,0.9180003847904119,True
purchase_volume,2018-06,77818,6096,0.95,18,0.9529166915809186,0.21135396430384223,0.9553295017730502,True
purchase_volume,2018-06,77818,6096,0.99,27,0.9926975009620235,0.11369225453628808,0.9870740712584559,True
purchase_volume,2018-07,83914,6156,0.8,7,0.8008190501171872,0.44047796736722766,0.8059791602640355,True
purchase_volume,2018-07,83914,6156,0.85,10,0.8615870529871762,0.3652757312688453,0.8665736401460102,True
purchase_volume,2018-07,83914,6156,0.9,13,0.9081542937333373,0.3147438805642664,0.9009362896473468,True
purchase_volume,2018-07,83914,6156,0.95,18,0.9530336216292221,0.2382247822625939,0.9432489531159397,True
purchase_volume,2018-07,83914,6156,0.99,27,0.9925098636087107,0.1011077578754393,0.9897772212974015,True
purchase_volume,2018-08,90070,6351,0.8,7,0.8009688347393974,0.3124628824428543,0.902366947095503,True
purchase_volume,2018-08,90070,6351,0.85,10,0.8617217031928541,0.24307531963082027,0.9409143889863746,True
purchase_volume,2018-08,90070,6351,0.9,13,0.907982724694287,0.1934315372314505,0.9625842404042779,True
purchase_volume,2018-08,90070,6351,0.95,18,0.9527948718543028,0.1566951653844546,0.9754466251451385,True
purchase_volume,2018-08,90070,6351,0.99,27,0.9924479448649034,0.07709967851701885,0.9940556395725724,True
purchase_freight,2017-04,5167,2303,0.8,4,0.8301534171967321,0.44231752866923413,0.8043552038319413,True
