channel,scheme,current_month,k,sse,energy,fold_rows,relative_error
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,0,37466196654.15795,37466196654.15795,10,1.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,1,15762424255.034452,37466196654.15795,10,0.6486220405198383
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,2,12725010440.399763,37466196654.15795,10,0.5827862135415868
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,3,12435097107.10036,37466196654.15795,10,0.5761091678383582
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,4,11699512265.026268,37466196654.15795,10,0.5588098778520234
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,5,9734385428.098099,37466196654.15795,10,0.5097232749802972
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,6,9748189308.806149,37466196654.15795,10,0.5100845544204897
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,7,9824876357.674587,37466196654.15795,10,0.5120869903538234
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,8,9856226700.355623,37466196654.15795,10,0.5129033525969726
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,9,9863615971.225214,37466196654.15795,10,0.5130955798985923
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,10,9916568450.987637,37466196654.15795,10,0.5144710042899941
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,11,9855840715.46223,37466196654.15795,10,0.5128933094592608
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,12,10170003645.94736,37466196654.15795,10,0.5210036311542553
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,13,10368018840.309668,37466196654.15795,10,0.5260512836499698
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,14,10564010977.241344,37466196654.15795,10,0.5310001181840678
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,15,10837545964.354263,37466196654.15795,10,0.5378308033044337
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,16,11119725651.591724,37466196654.15795,10,0.5447876226380044
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,17,11465735875.232107,37466196654.15795,10,0.5531987147057369
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,18,11838007905.289307,37466196654.15795,10,0.562107666565335
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,19,11845086887.895515,37466196654.15795,10,0.5622757081705338
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,20,11873946092.096296,37466196654.15795,10,0.5629602518108427
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,21,12140874463.057228,37466196654.15795,10,0.5692528060599388
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,22,12528172852.583403,37466196654.15795,10,0.5782612147760499
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,23,12652262620.456615,37466196654.15795,10,0.5811179557920136
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,24,12712359619.454525,37466196654.15795,10,0.5824964472809725
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,25,12752746925.205095,37466196654.15795,10,0.5834210123215554
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,26,12852560931.340626,37466196654.15795,10,0.585699740426712
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-04,27,12921707226.025648,37466196654.15795,10,0.587273148340089
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-05,0,113428043705.4025,113428043705.4025,10,1.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-05,1,36552317175.304794,113428043705.4025,10,0.567671689364043
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-05,2,28378450496.28772,113428043705.4025,10,0.5001889790070757
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-05,3,26000488710.918114,113428043705.4025,10,0.4787739744094849
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-05,4,22886266262.597588,113428043705.4025,10,0.4491870759504454
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-05,5,20410397112.437477,113428043705.4025,10,0.4241949621000992
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-05,6,20828408216.487576,113428043705.4025,10,0.4285167668252107
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-05,7,21425678893.584236,113428043705.4025,10,0.434617365566447
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-05,8,21366411203.92626,113428043705.4025,10,0.4340158302447595
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-05,9,21509708355.499573,113428043705.4025,10,0.43546879543146266
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-05,10,21632811140.66849,113428043705.4025,10,0.4367131391220577
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-05,11,21890620530.350727,113428043705.4025,10,0.43930769991742824
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-05,12,21740034620.341522,113428043705.4025,10,0.4377940902304029
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-05,13,21751980298.03157,113428043705.4025,10,0.43791435289274366
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-05,14,21620527178.953247,113428043705.4025,10,0.4365891300597109
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-05,15,21622994881.946106,113428043705.4025,10,0.43661404484448263
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-05,16,21717093541.83458,113428043705.4025,10,0.4375630390901906
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-05,17,22113541102.24959,113428043705.4025,10,0.44153885340333815
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-05,18,22244634643.618534,113428043705.4025,10,0.4428456852590976
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-05,19,22251745985.81777,113428043705.4025,10,0.4429164658227591
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-05,20,22043541918.007366,113428043705.4025,10,0.44083946615738173
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-05,21,21891666452.713223,113428043705.4025,10,0.4393181947377648
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-05,22,21817595029.208305,113428043705.4025,10,0.4385743386976799
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-05,23,21727426883.18771,113428043705.4025,10,0.437667126465338
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-05,24,21678088689.566048,113428043705.4025,10,0.4371699212942637
purchase_freight,HOLDOUT_03_CONTIGUOUS,2017-05,25,21743514365.802094,113428043705.4025,10,0.4378291258471733
