channel,scheme,block_length_months,k,selection_count,selection_pct
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,0,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,1,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,2,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,3,1,0.05
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,4,3,0.15
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,5,55,2.75
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,6,1306,65.3
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,7,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,8,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,9,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,10,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,11,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,12,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,13,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,14,2,0.1
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,15,1,0.05
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,16,1,0.05
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,17,9,0.45
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,18,19,0.95
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,19,1,0.05
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,20,23,1.15
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,21,20,1.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,22,42,2.1
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,23,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,24,2,0.1
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,25,216,10.8
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,26,275,13.75
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,27,24,1.2
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,0,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,1,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,2,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,3,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,4,3,0.15
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,5,116,5.8
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,6,1288,64.4
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,7,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,8,2,0.1
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,9,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,10,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,11,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,12,2,0.1
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,13,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,14,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,15,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,16,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,17,8,0.4
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,18,30,1.5
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,19,2,0.1
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,20,18,0.9
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,21,3,0.15
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,22,48,2.4
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,23,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,24,6,0.3
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,25,246,12.3
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,26,225,11.25
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,27,3,0.15
purchase_freight,HOLDOUT_03_CONTIGUOUS,4,0,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,4,1,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,4,2,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,4,3,0,0.0
purchase_freight,HOLDOUT_03_CONTIGUOUS,4,4,14,0.7
purchase_freight,HOLDOUT_03_CONTIGUOUS,4,5,169,8.45
