channel,scheme,block_length_months,bootstrap_replicates,months,mode_k,mode_selection_pct,median_k,q05_k,q95_k,min_selected_k,max_selected_k,unique_selected_k,normalized_selection_entropy,pct_k_le_6,pct_k_le_10
purchase_freight,HOLDOUT_03_CONTIGUOUS,2,2000,17,6,65.3,6.0,6.0,26.0,3,27,17,0.433865181167428,68.25,68.25
purchase_freight,HOLDOUT_03_CONTIGUOUS,3,2000,17,6,64.4,6.0,5.0,26.0,4,27,15,0.45659641674009027,70.35,70.45
purchase_freight,HOLDOUT_03_CONTIGUOUS,4,2000,17,6,66.35,6.0,5.0,26.0,4,27,16,0.4445094810016797,75.5,75.5
purchase_freight,HOLDOUT_06_CONTIGUOUS,2,2000,17,3,48.85,4.0,3.0,23.0,3,24,15,0.6126810082932164,68.85,69.25
purchase_freight,HOLDOUT_06_CONTIGUOUS,3,2000,17,3,52.6,3.0,3.0,22.0,3,23,16,0.5696019776878497,70.95,71.45
purchase_freight,HOLDOUT_06_CONTIGUOUS,4,2000,17,3,55.5,3.0,3.0,22.0,3,23,15,0.5467588593933453,74.65,75.7
purchase_freight,HOLDOUT_15_CONTIGUOUS,2,2000,17,1,32.35,2.0,1.0,15.0,1,15,11,0.7037470656999921,69.45,70.15
purchase_freight,HOLDOUT_15_CONTIGUOUS,3,2000,17,1,35.8,2.0,1.0,15.0,1,15,11,0.6955031697871578,71.05,71.89999999999999
purchase_freight,HOLDOUT_15_CONTIGUOUS,4,2000,17,1,38.25,2.0,1.0,15.0,1,15,12,0.623461461432846,77.60000000000001,78.2
purchase_volume,HOLDOUT_03_CONTIGUOUS,2,2000,17,6,53.45,6.0,5.0,27.0,4,27,12,0.5552910335491332,67.30000000000001,67.55
purchase_volume,HOLDOUT_03_CONTIGUOUS,3,2000,17,6,52.35,6.0,5.0,27.0,4,27,13,0.5291092387193768,72.45,72.6
purchase_volume,HOLDOUT_03_CONTIGUOUS,4,2000,17,6,47.0,6.0,5.0,27.0,4,27,14,0.52731241564039,74.25,75.0
purchase_volume,HOLDOUT_06_CONTIGUOUS,2,2000,17,3,64.9,3.0,3.0,24.0,3,24,13,0.5069209914583617,66.25,69.55
purchase_volume,HOLDOUT_06_CONTIGUOUS,3,2000,17,3,71.0,3.0,3.0,24.0,3,24,13,0.4332323297717831,71.6,75.05
purchase_volume,HOLDOUT_06_CONTIGUOUS,4,2000,17,3,75.95,3.0,3.0,24.0,3,24,12,0.39181421158138335,76.6,78.60000000000001
purchase_volume,HOLDOUT_15_CONTIGUOUS,2,2000,17,1,35.15,2.0,1.0,15.0,0,15,11,0.6670943591883672,70.25,72.7
purchase_volume,HOLDOUT_15_CONTIGUOUS,3,2000,17,1,40.4,2.0,1.0,15.0,1,15,9,0.6521590942595743,73.0,74.3
purchase_volume,HOLDOUT_15_CONTIGUOUS,4,2000,17,1,41.85,2.0,1.0,15.0,1,15,12,0.5736814848784841,77.64999999999999,80.10000000000001
