k_cap,worst_case_cumulative_probability,median_cumulative_probability,mean_cumulative_probability,best_case_cumulative_probability,worst_case_pct,median_pct,mean_pct
0,0.0,0.0,5.555555555555556e-05,0.001,0.0,0.0,0.005555555555555556
1,0.0,0.0,0.12438888888888888,0.41850000000000004,0.0,0.0,12.438888888888888
2,0.0,0.0,0.22547222222222219,0.7505000000000001,0.0,0.0,22.547222222222217
3,0.0,0.6020000000000001,0.44277777777777777,0.76,0.0,60.20000000000001,44.27777777777778
4,0.0015,0.6957499999999999,0.4840555555555555,0.776,0.15,69.57499999999999,48.40555555555555
5,0.0295,0.6957499999999999,0.5255833333333333,0.776,2.9499999999999997,69.57499999999999,52.55833333333333
6,0.6625,0.7132499999999999,0.72,0.7765000000000001,66.25,71.32499999999999,72.0
7,0.673,0.7184999999999999,0.7259166666666667,0.786,67.30000000000001,71.85,72.59166666666667
8,0.6755,0.7264999999999998,0.7303611111111111,0.801,67.55,72.64999999999998,73.03611111111111
9,0.6755,0.7264999999999998,0.7304166666666666,0.801,67.55,72.64999999999998,73.04166666666666
10,0.6755,0.7264999999999998,0.7312777777777777,0.801,67.55,72.64999999999998,73.12777777777777
11,0.6755,0.7272499999999997,0.7324999999999999,0.803,67.55,72.72499999999997,73.25
12,0.6755,0.7545,0.7665555555555554,0.9009999999999999,67.55,75.44999999999999,76.65555555555554
13,0.6755,0.7545,0.7667222222222221,0.9019999999999999,67.55,75.44999999999999,76.6722222222222
14,0.6755,0.7547499999999999,0.7745277777777777,0.9154999999999999,67.55,75.475,77.45277777777777
15,0.6755,0.75725,0.8180277777777777,1.0,67.55,75.725,81.80277777777776
16,0.6755,0.7647499999999998,0.8279166666666665,1.0,67.55,76.47499999999998,82.79166666666666
17,0.6755,0.83475,0.8487777777777777,1.0,67.55,83.475,84.87777777777778
18,0.6755,0.838,0.8533333333333332,1.0,67.55,83.8,85.33333333333331
19,0.6755,0.842,0.8569444444444443,1.0,67.55,84.2,85.69444444444443
20,0.6785,0.8747499999999999,0.8722499999999999,1.0,67.85,87.475,87.22499999999998
21,0.6795,0.9017499999999998,0.8794166666666665,1.0,67.95,90.17499999999998,87.94166666666665
22,0.6819999999999999,0.9292499999999999,0.8954444444444444,1.0,68.19999999999999,92.925,89.54444444444444
23,0.7414999999999997,0.9564999999999999,0.9161944444444443,1.0,74.14999999999998,95.64999999999999,91.61944444444443
24,0.7424999999999997,0.9999999999999998,0.9341666666666666,1.0,74.24999999999997,99.99999999999997,93.41666666666666
25,0.8329999999999996,0.9999999999999998,0.9529722222222221,1.0,83.29999999999997,99.99999999999997,95.29722222222222
26,0.8329999999999996,0.9999999999999998,0.9724166666666664,1.0,83.29999999999997,99.99999999999997,97.24166666666663
27,0.9999999999999996,0.9999999999999998,0.9999999999999998,1.0,99.99999999999996,99.99999999999997,99.99999999999997
