test_month,fit_cutoff,purchase_past_rows,label_available_train_rows,excluded_unavailable_label_rows,excluded_unavailable_label_pct,train_positive,train_negative,train_positive_pct,test_rows,test_positive,test_negative,test_positive_pct,max_train_purchase_time,max_train_delivery_time,purchase_boundary_valid,label_boundary_valid
2017-04,2017-04-01,5167,4234,933,18.056899554867428,53,4181,1.2517713745866792,2303,151,2152,6.556665219279201,2017-03-28 23:49:15,2017-03-31 21:08:16,True,True
2017-05,2017-05-01,7470,6083,1387,18.56760374832664,140,5943,2.3014959723820483,3545,106,3439,2.9901269393511987,2017-04-25 20:58:08,2017-04-30 12:22:17,True,True
2017-06,2017-06-01,11015,9834,1181,10.721743077621426,324,9510,3.294691885295912,3135,95,3040,3.0303030303030303,2017-05-29 21:09:38,2017-05-31 21:17:09,True,True
2017-07,2017-07-01,14150,13057,1093,7.724381625441696,417,12640,3.1936892088534887,3872,108,3764,2.7892561983471076,2017-06-28 19:28:49,2017-06-30 19:09:42,True,True
2017-08,2017-08-01,18022,16512,1510,8.378648318721563,507,16005,3.0704941860465116,4193,122,4071,2.9096112568566657,2017-07-28 11:09:49,2017-07-31 23:59:49,True,True
2017-09,2017-09-01,22215,20814,1401,6.306549628629305,605,20209,2.906697415201307,4150,182,3968,4.385542168674699,2017-08-29 22:22:41,2017-08-31 23:34:54,True,True
2017-10,2017-10-01,26365,24779,1586,6.015550919780011,759,24020,3.0630776060373703,4478,187,4291,4.17597141581063,2017-09-29 14:44:31,2017-09-30 20:09:53,True,True
2017-11,2017-11-01,30843,29273,1570,5.09029601530331,942,28331,3.2179824411573805,7288,904,6384,12.403951701427003,2017-10-30 13:10:42,2017-10-31 23:59:10,True,True
2017-12,2017-12-01,38131,33943,4188,10.983189530827936,1132,32811,3.3350027988097692,5513,411,5102,7.455106112824233,2017-11-29 07:25:31,2017-11-30 23:59:03,True,True
2018-01,2018-01-01,43644,41148,2496,5.71899917514435,1763,39385,4.28453387770973,7069,403,6666,5.7009478002546325,2017-12-28 11:45:47,2017-12-31 15:19:16,True,True
2018-02,2018-02-01,50713,47745,2968,5.852542740520183,2385,45360,4.995287464655985,6555,926,5629,14.126620900076277,2018-01-30 01:39:14,2018-01-31 23:58:36,True,True
2018-03,2018-03-01,57268,53595,3673,6.4137039882656985,2708,50887,5.0527101408713495,7003,1328,5675,18.96330144223904,2018-02-27 09:53:16,2018-02-28 23:58:37,True,True
2018-04,2018-04-01,64271,60419,3852,5.993371816215712,3605,56814,5.966666114963836,6798,306,6492,4.501323918799647,2018-03-29 01:12:21,2018-03-31 21:55:48,True,True
2018-05,2018-05-01,71069,68269,2800,3.939833119925706,4945,63324,7.243404766438647,6749,443,6306,6.563935397836716,2018-04-27 13:06:08,2018-04-30 23:58:51,True,True
2018-06,2018-06-01,77818,75380,2438,3.1329512452131896,5366,70014,7.118599097903953,6096,71,6025,1.1646981627296589,2018-05-29 13:08:31,2018-05-31 19:05:39,True,True
2018-07,2018-07-01,83914,82209,1705,2.0318421240794144,5842,76367,7.1062779014463135,6156,208,5948,3.378817413905133,2018-06-29 11:52:32,2018-06-30 21:10:00,True,True
2018-08,2018-08-01,90070,88048,2022,2.2449206172976575,5920,82128,6.72360530619662,6351,393,5958,6.188001889466226,2018-07-30 13:26:53,2018-07-31 23:44:41,True,True
