test_month,fit_cutoff,purchase_past_rows,label_available_rows,label_not_yet_available_rows,label_not_yet_available_pct
2017-04,2017-04-01,5167,4234,933,18.056899554867428
2017-05,2017-05-01,7470,6083,1387,18.56760374832664
2017-06,2017-06-01,11015,9834,1181,10.721743077621426
2017-07,2017-07-01,14150,13057,1093,7.724381625441696
2017-08,2017-08-01,18022,16512,1510,8.378648318721563
2017-09,2017-09-01,22215,20814,1401,6.306549628629305
2017-10,2017-10-01,26365,24779,1586,6.015550919780011
2017-11,2017-11-01,30843,29273,1570,5.09029601530331
2017-12,2017-12-01,38131,33943,4188,10.983189530827936
2018-01,2018-01-01,43644,41148,2496,5.71899917514435
2018-02,2018-02-01,50713,47745,2968,5.852542740520183
2018-03,2018-03-01,57268,53595,3673,6.4137039882656985
2018-04,2018-04-01,64271,60419,3852,5.993371816215712
2018-05,2018-05-01,71069,68269,2800,3.939833119925706
2018-06,2018-06-01,77818,75380,2438,3.1329512452131896
2018-07,2018-07-01,83914,82209,1705,2.0318421240794144
2018-08,2018-08-01,90070,88048,2022,2.2449206172976575
