test_month,fit_cutoff,k,functional_dimensions,total_model_dimensions,train_rows,train_positive,train_positive_pct,test_rows,test_positive,test_prevalence,average_precision,ap_lift_over_prevalence,roc_auc,log_loss,brier_score,recall_at_05pct,recall_at_10pct,recall_at_20pct,convergence_warning,n_iter,coef_finite
2017-04,2017-04-01,0,0,13,4234,53,1.2517713745866794,2303,151,0.06556665219279201,0.06286388688941988,0.9587783543465827,0.4499772274058938,0.3135703477696901,0.06418323646025197,0.052980132450331126,0.10596026490066225,0.17880794701986755,0,12,True
2017-04,2017-04-01,1,2,15,4234,53,1.2517713745866794,2303,151,0.06556665219279201,0.07886285307425273,1.2027890770198943,0.4613512149486694,0.3446374022255148,0.06469962831137521,0.08609271523178808,0.12582781456953643,0.17880794701986755,0,13,True
2017-04,2017-04-01,2,4,17,4234,53,1.2517713745866794,2303,151,0.06556665219279201,0.08149160100602923,1.242881835211161,0.46797680888254267,0.3433769353052375,0.0646855399886213,0.08609271523178808,0.13245033112582782,0.19205298013245034,0,15,True
2017-04,2017-04-01,3,6,19,4234,53,1.2517713745866794,2303,151,0.06556665219279201,0.057447676424730185,0.8761721775241962,0.46845687978532213,0.3711071278825419,0.06498868267298717,0.026490066225165563,0.046357615894039736,0.10596026490066225,0,21,True
2017-04,2017-04-01,4,8,21,4234,53,1.2517713745866794,2303,151,0.06556665219279201,0.05778561828897311,0.8813263504602986,0.4705033358772988,0.3739834270188934,0.06501619409819129,0.019867549668874173,0.046357615894039736,0.11258278145695365,0,21,True
2017-04,2017-04-01,5,10,23,4234,53,1.2517713745866794,2303,151,0.06556665219279201,0.06013026688605961,0.9170861234344059,0.4862687412294739,0.37305047683313464,0.06499208949880766,0.039735099337748346,0.052980132450331126,0.09271523178807947,0,22,True
2017-04,2017-04-01,6,12,25,4234,53,1.2517713745866794,2303,151,0.06556665219279201,0.06213054794463023,0.9475937213012148,0.4935867451192792,0.3792021143000727,0.06501147025493613,0.039735099337748346,0.052980132450331126,0.1456953642384106,0,19,True
2017-04,2017-04-01,10,20,33,4234,53,1.2517713745866794,2303,151,0.06556665219279201,0.06258058747792117,0.9544575692824666,0.49384832221374236,0.40137354991400004,0.06516125128990612,0.026490066225165563,0.07947019867549669,0.17880794701986755,0,21,True
2017-04,2017-04-01,15,30,43,4234,53,1.2517713745866794,2303,151,0.06556665219279201,0.05942336055223375,0.9063046314688367,0.46795526723946923,0.43905064733777016,0.06527173229328911,0.026490066225165563,0.06622516556291391,0.18543046357615894,0,22,True
2017-04,2017-04-01,20,40,53,4234,53,1.2517713745866794,2303,151,0.06556665219279201,0.059086345651027786,0.9011645962537549,0.4604618528274945,0.4601013837475768,0.06532864573685009,0.026490066225165563,0.07947019867549669,0.17880794701986755,0,22,True
2017-04,2017-04-01,23,46,59,4234,53,1.2517713745866794,2303,151,0.06556665219279201,0.06204399265391646,0.9462736098143684,0.4763257342622911,0.4754748280068504,0.06536751302960257,0.033112582781456956,0.08609271523178808,0.2052980132450331,0,21,True
2017-04,2017-04-01,25,50,63,4234,53,1.2517713745866794,2303,151,0.06556665219279201,0.06316194223051097,0.9633241917673296,0.4754209852532066,0.46328322213892736,0.06528506926856267,0.039735099337748346,0.09271523178807947,0.2052980132450331,0,21,True
2017-04,2017-04-01,27,54,67,4234,53,1.2517713745866794,2303,151,0.06556665219279201,0.06946253851468046,1.059418716551716,0.48264051306039046,0.47759864547380126,0.06518074342512763,0.039735099337748346,0.09933774834437085,0.1986754966887417,0,23,True
2017-04,2017-04-01,30,60,73,4234,53,1.2517713745866794,2303,151,0.06556665219279201,0.06915491903139329,1.0547270101278063,0.4799908909623575,0.48025084589583183,0.06509137299827421,0.052980132450331126,0.08609271523178808,0.2119205298013245,0,25,True
2017-05,2017-05-01,0,0,13,6083,140,2.3014959723820483,3545,106,0.029901269393511988,0.03843328439533956,1.2853395583158371,0.4705075521076223,0.13524212982343983,0.029025512111351827,0.05660377358490566,0.12264150943396226,0.24528301886792453,0,22,True
2017-05,2017-05-01,1,2,15,6083,140,2.3014959723820483,3545,106,0.029901269393511988,0.03985987817377738,1.333049699302272,0.4993032200014265,0.1358478325074057,0.0290366736218369,0.05660377358490566,0.1320754716981132,0.22641509433962265,0,23,True
2017-05,2017-05-01,2,4,17,6083,140,2.3014959723820483,3545,106,0.029901269393511988,0.041162415117428984,1.3766109584083561,0.5033933734576199,0.13528444466201203,0.029015380346700818,0.0660377358490566,0.14150943396226415,0.24528301886792453,0,23,True
2017-05,2017-05-01,3,6,19,6083,140,2.3014959723820483,3545,106,0.029901269393511988,0.04121999903390823,1.3785367601434404,0.5004718352746246,0.13557238454698875,0.02902312242409993,0.07547169811320754,0.14150943396226415,0.24528301886792453,0,23,True
2017-05,2017-05-01,4,8,21,6083,140,2.3014959723820483,3545,106,0.029901269393511988,0.04058154174540635,1.3571845800704294,0.5021945826726725,0.13560402617392595,0.029027489324242886,0.08490566037735849,0.14150943396226415,0.2641509433962264,0,24,True
2017-05,2017-05-01,5,10,23,6083,140,2.3014959723820483,3545,106,0.029901269393511988,0.038771206196960846,1.296640811021002,0.5013688709420794,0.13700765422091726,0.029129350526556075,0.10377358490566038,0.14150943396226415,0.2169811320754717,0,23,True
2017-05,2017-05-01,6,12,25,6083,140,2.3014959723820483,3545,106,0.029901269393511988,0.03802664383134196,1.2717401168123326,0.50535203849298,0.1377458599571801,0.029171651760929805,0.09433962264150944,0.1509433962264151,0.2169811320754717,0,27,True
2017-05,2017-05-01,10,20,33,6083,140,2.3014959723820483,3545,106,0.029901269393511988,0.03154910072626137,1.0551090761754391,0.48631403380754606,0.14142062081853962,0.029443980184004993,0.05660377358490566,0.1320754716981132,0.18867924528301888,0,22,True
2017-05,2017-05-01,15,30,43,6083,140,2.3014959723820483,3545,106,0.029901269393511988,0.03551614832770188,1.1877806209594637,0.4754453631211354,0.14367218750047694,0.029496018216647706,0.08490566037735849,0.12264150943396226,0.20754716981132076,0,31,True
2017-05,2017-05-01,20,40,53,6083,140,2.3014959723820483,3545,106,0.029901269393511988,0.033000733548997005,1.1036566078414565,0.47257045981993445,0.15120276099934712,0.030353440388049116,0.0660377358490566,0.11320754716981132,0.2169811320754717,0,30,True
2017-05,2017-05-01,23,46,59,6083,140,2.3014959723820483,3545,106,0.029901269393511988,0.03143484278332445,1.0512879025177848,0.5102980791915157,0.14877717832324944,0.030447025834740286,0.07547169811320754,0.11320754716981132,0.19811320754716982,0,32,True
2017-05,2017-05-01,25,50,63,6083,140,2.3014959723820483,3545,106,0.029901269393511988,0.03620429224348454,1.2107944905957801,0.5006583748018016,0.14936843942609965,0.030108661243455556,0.0660377358490566,0.12264150943396226,0.22641509433962265,0,35,True
2017-05,2017-05-01,27,54,67,6083,140,2.3014959723820483,3545,106,0.029901269393511988,0.03435548284232465,1.1489640252456688,0.5040956399128751,0.1539403582929455,0.030643968369522556,0.0660377358490566,0.11320754716981132,0.22641509433962265,0,31,True
2017-05,2017-05-01,30,60,73,6083,140,2.3014959723820483,3545,106,0.029901269393511988,0.039449780221855836,1.3193346310045184,0.5393982454311532,0.15642433831244296,0.03153367950074678,0.07547169811320754,0.10377358490566038,0.20754716981132076,0,35,True
2017-06,2017-06-01,0,0,13,9834,324,3.294691885295912,3135,95,0.030303030303030304,0.04503105639289345,1.4860248609654838,0.5743715373961218,0.13501331610526818,0.02941559628194124,0.12631578947368421,0.17894736842105263,0.3368421052631579,0,21,True
2017-06,2017-06-01,1,2,15,9834,324,3.294691885295912,3135,95,0.030303030303030304,0.04733016528883384,1.5618954545315167,0.6072680055401661,0.13675913371284276,0.029698474492700067,0.10526315789473684,0.17894736842105263,0.35789473684210527,0,31,True
2017-06,2017-06-01,2,4,17,9834,324,3.294691885295912,3135,95,0.030303030303030304,0.044426473428621056,1.4660736231444949,0.5755782548476454,0.13971860346761142,0.02998925602218503,0.12631578947368421,0.15789473684210525,0.23157894736842105,0,31,True
2017-06,2017-06-01,3,6,19,9834,324,3.294691885295912,3135,95,0.030303030303030304,0.041587328568307505,1.3723818427541477,0.5746468144044321,0.13918833962068042,0.02988778864683088,0.07368421052631578,0.1368421052631579,0.25263157894736843,0,40,True
2017-06,2017-06-01,4,8,21,9834,324,3.294691885295912,3135,95,0.030303030303030304,0.04282913511333866,1.4133614587401757,0.5713538781163435,0.13898211493751952,0.029810958757019407,0.07368421052631578,0.16842105263157894,0.29473684210526313,0,25,True
2017-06,2017-06-01,5,10,23,9834,324,3.294691885295912,3135,95,0.030303030303030304,0.038763932182667014,1.2792097620280114,0.5643109418282549,0.14111504512552442,0.030332095190922337,0.06315789473684211,0.10526315789473684,0.2736842105263158,0,36,True
