k,functional_dimensions,total_model_dimensions,temporal_tests,mean_average_precision,median_average_precision,std_average_precision,mean_ap_lift,mean_roc_auc,mean_log_loss,mean_brier_score,mean_recall_at_05pct,mean_recall_at_10pct,mean_recall_at_20pct,mean_delta_ap_vs_k0,median_delta_ap_vs_k0,months_better_than_k0,months_tied_with_k0,months_worse_than_k0,convergence_warnings,max_iterations_used,descriptive_mean_ap_rank
0,0,13,17,0.08184095536011979,0.0562024414170717,0.0602677166456487,1.3434512403795509,0.5631552260870631,0.24398983298464186,0.05978843059814795,0.08068804680495939,0.15042110160415123,0.27678406637355785,0.0,0.0,0,17,0,0,35,1
1,2,15,17,0.06965607343180188,0.0578471044346402,0.03763048286684862,1.2430251758869917,0.5210699442646006,0.25819891976665554,0.06128657531812103,0.0717965081124784,0.13227410560130623,0.23350495698819862,-0.0121848819283179,-0.002149359207104795,7,0,10,0,48,2
2,4,17,17,0.06899665276417376,0.0585300015560828,0.04003681823689247,1.2066726342334901,0.5189857478952495,0.25511329569834384,0.060196892570300094,0.06833864068772935,0.1233861212436211,0.22222405125270278,-0.012844302595946043,-0.007535887431044101,6,0,11,0,50,3
3,6,19,17,0.06849084890920558,0.0574476764247301,0.04062431933893039,1.1977825945859146,0.522054039450197,0.2583011683296622,0.06033012348958485,0.06574622898218882,0.12289369376075279,0.2224097060674467,-0.01335010645091422,-0.005166721846741204,6,0,11,0,67,5
4,8,21,17,0.06617834326209056,0.0577856182889731,0.04021335653924441,1.1620944308130539,0.5100150500429943,0.26146403865409584,0.060299832393235095,0.06362736872944517,0.11577256698305222,0.21384542656918737,-0.01566261209802923,-0.006300196349297203,4,0,13,0,80,14
5,10,23,17,0.06794913952204865,0.0570443184196086,0.042327324028391435,1.1874303274053637,0.5149788635136097,0.261296935386235,0.060347829343075476,0.07097006674095754,0.12078614855458199,0.2125389951694325,-0.013891815838071135,-0.006267124210226398,4,0,13,0,75,7
6,12,25,17,0.06861918294567586,0.0562009966950422,0.04279949262865656,1.1893768764489543,0.520524650581389,0.26039300246528524,0.06027657627214285,0.06837522580816477,0.1224892946148265,0.22303662007105707,-0.013221772414443937,-0.006640595880363795,4,0,13,0,76,4
10,20,33,17,0.06778953056139182,0.0551648325238342,0.04273602108355093,1.1658723983521564,0.5178428850977032,0.2640986046399137,0.06045186021066257,0.06611130318603416,0.12194142028140142,0.21827081961080338,-0.014051424798727967,-0.008547738812155398,4,0,13,0,81,8
15,30,43,17,0.06641941413201966,0.0572200355428236,0.040182709367995575,1.1592375134033264,0.5131120761376038,0.2749865818053611,0.06100148057562024,0.0663355746205284,0.11026845316905065,0.20986506135352603,-0.015421541228100143,-0.008505288052355398,4,0,13,0,100,12
20,40,53,17,0.06628458228028256,0.0555664113231306,0.0413848933425765,1.146876154311456,0.5098839400700019,0.2772609542160692,0.061128802767433765,0.06382223799696242,0.10975573297411688,0.21123673263756337,-0.015556373079837234,-0.0078549919208485,4,0,13,0,98,13
23,46,59,17,0.06653528315224586,0.0550092734341246,0.04071613733866129,1.1605753617974208,0.5140485158879236,0.27942621927196326,0.061407002764842476,0.06330322613056127,0.10991454616617509,0.2067257593032208,-0.01530567220787394,-0.007282252395643396,4,0,13,0,100,11
25,50,63,17,0.06723569040623355,0.0556574683617361,0.04090799144885008,1.1747479842900905,0.5166771147093305,0.27847569376571013,0.061334626549151866,0.06308502239828394,0.11428360837107998,0.21381071235501758,-0.014605264953886248,-0.007705604136345606,5,0,12,0,96,10
27,54,67,17,0.06768132844733002,0.0559454703478191,0.04170804378306962,1.1741542270172798,0.5156351432855454,0.27996839711246346,0.061487709669340015,0.0637064634260399,0.11250489635086598,0.2121531017149526,-0.014159626912789772,-0.0077483563204841024,4,0,13,0,107,9
30,60,73,17,0.06812884771203494,0.0563738025278675,0.041479541348926965,1.1857749302726526,0.5181497073477889,0.28073067222493875,0.06167497934401965,0.06972364090774681,0.11239574412990407,0.2111139937399869,-0.013712107648084853,-0.008160381443078804,6,0,11,0,94,6
