k,months,mean_delta_ap,median_delta_ap,std_delta_ap,min_delta_ap,max_delta_ap,months_better_than_k0,months_worse_than_k0,months_tied,better_month_pct,mean_delta_negative,median_delta_negative
1,17,-0.0121848819283179,-0.002149359207104795,0.02705603258981513,-0.0801421415379478,0.015998966184832902,7,10,0,41.1764705882353,True,True
2,17,-0.012844302595946043,-0.007535887431044101,0.027008632990693816,-0.07455188617620812,0.02881894875411349,6,11,0,35.294117647058826,True,True
3,17,-0.01335010645091422,-0.005166721846741204,0.026348542538348046,-0.07591513156377822,0.03071636775684569,6,11,0,35.294117647058826,True,True
4,17,-0.01566261209802923,-0.006300196349297203,0.02692446000888738,-0.07253901573566701,0.030189394816562992,4,13,0,23.529411764705884,True,True
5,17,-0.013891815838071135,-0.006267124210226398,0.025565322315147094,-0.0725002153698007,0.029564518087990294,4,13,0,23.529411764705884,True,True
6,17,-0.013221772414443937,-0.006640595880363795,0.026089466150226122,-0.07236691576837642,0.028928537139438104,4,13,0,23.529411764705884,True,True
10,17,-0.014051424798727967,-0.008547738812155398,0.02566442712560837,-0.07378928249611211,0.029751201075303504,4,13,0,23.529411764705884,True,True
15,17,-0.015421541228100143,-0.008505288052355398,0.026691730498888816,-0.07221542379166562,0.028028456833163004,4,13,0,23.529411764705884,True,True
20,17,-0.015556373079837234,-0.0078549919208485,0.025570546146529902,-0.06972617038673912,0.026304105925342103,4,13,0,23.529411764705884,True,True
23,17,-0.01530567220787394,-0.007282252395643396,0.026500494095382413,-0.06933729716222481,0.02561294847055219,4,13,0,23.529411764705884,True,True
25,17,-0.014605264953886248,-0.007705604136345606,0.026274310521065217,-0.06769431174711502,0.0262254278543141,5,12,0,29.41176470588235,True,True
27,17,-0.014159626912789772,-0.0077483563204841024,0.025832371045487978,-0.06859347557956602,0.025480765535395092,4,13,0,23.529411764705884,True,True
30,17,-0.013712107648084853,-0.008160381443078804,0.026153736601913273,-0.06961406384035032,0.027276123563491392,6,11,0,35.294117647058826,True,True
