removed_width,removed_start,removed_end,removed_months,remaining_months,k,mean_delta_ap_after_deletion,functional_better_after_deletion
1,2017-04,2017-04,2017-04,16,1,-0.013946372435389825,False
1,2017-04,2017-04,2017-04,16,2,-0.014811303640480758,False
1,2017-04,2017-04,2017-04,16,3,-0.013845974950053255,False
1,2017-04,2017-04,2017-04,16,4,-0.01632413356662814,False
1,2017-04,2017-04,2017-04,16,5,-0.014589203077740573,False
1,2017-04,2017-04,2017-04,16,6,-0.01400229950629733,False
1,2017-04,2017-04,2017-04,16,10,-0.014911932635429798,False
1,2017-04,2017-04,2017-04,16,15,-0.01617035465878227,False
1,2017-04,2017-04,2017-04,16,20,-0.016292550069927556,False
1,2017-04,2017-04,2017-04,16,23,-0.0162110333311471,False
1,2017-04,2017-04,2017-04,16,25,-0.015536722472322333,False
1,2017-04,2017-04,2017-04,16,27,-0.015457019321417922,False
1,2017-04,2017-04,2017-04,16,30,-0.014962303884963495,False
1,2017-05,2017-05,2017-05,16,1,-0.013035599159990132,False
1,2017-05,2017-05,2017-05,16,2,-0.013817642178323259,False
1,2017-05,2017-05,2017-05,16,3,-0.014358657769006904,False
1,2017-05,2017-05,2017-05,16,4,-0.01677579143853523,False
1,2017-05,2017-05,2017-05,16,5,-0.014781174440551915,False
1,2017-05,2017-05,2017-05,16,6,-0.014022718155096831,False
1,2017-05,2017-05,2017-05,16,10,-0.01449937736933108,False
1,2017-05,2017-05,2017-05,16,15,-0.016203066550629044,False
1,2017-05,2017-05,2017-05,16,20,-0.016189111969430656,False
1,2017-05,2017-05,2017-05,16,23,-0.01582487412011512,False
1,2017-05,2017-05,2017-05,16,25,-0.015378782004013204,False
1,2017-05,2017-05,2017-05,16,27,-0.014789740997775705,False
1,2017-05,2017-05,2017-05,16,30,-0.014632645365247426,False
1,2017-06,2017-06,2017-06,16,1,-0.013090131354834044,False
1,2017-06,2017-06,2017-06,16,2,-0.013609285072925645,False
1,2017-06,2017-06,2017-06,16,3,-0.01396925511505974,False
1,2017-06,2017-06,2017-06,16,4,-0.016503905274183887,False
1,2017-06,2017-06,2017-06,16,5,-0.014368359064811435,False
1,2017-06,2017-06,2017-06,16,6,-0.013633095947823946,False
1,2017-06,2017-06,2017-06,16,10,-0.014395405172888754,False
1,2017-06,2017-06,2017-06,16,15,-0.01569575996035133,False
1,2017-06,2017-06,2017-06,16,20,-0.01576191311110223,False
1,2017-06,2017-06,2017-06,16,23,-0.016049837600884072,False
1,2017-06,2017-06,2017-06,16,25,-0.014797570993576006,False
1,2017-06,2017-06,2017-06,16,27,-0.014220657299407108,False
1,2017-06,2017-06,2017-06,16,30,-0.013651417998394613,False
1,2017-07,2017-07,2017-07,16,1,-0.012773574780304263,False
1,2017-07,2017-07,2017-07,16,2,-0.012310199597100039,False
1,2017-07,2017-07,2017-07,16,3,-0.01275397250192956,False
1,2017-07,2017-07,2017-07,16,4,-0.015207163910010122,False
1,2017-07,2017-07,2017-07,16,5,-0.013453376915207028,False
1,2017-07,2017-07,2017-07,16,6,-0.01271132709895206,False
1,2017-07,2017-07,2017-07,16,10,-0.013628132328383998,False
1,2017-07,2017-07,2017-07,16,15,-0.015230982791462802,False
1,2017-07,2017-07,2017-07,16,20,-0.01529172090524469,False
1,2017-07,2017-07,2017-07,16,23,-0.014829171045061363,False
1,2017-07,2017-07,2017-07,16,25,-0.014496486262122184,False
1,2017-07,2017-07,2017-07,16,27,-0.013814519344597594,False
1,2017-07,2017-07,2017-07,16,30,-0.013321186235337321,False
1,2017-08,2017-08,2017-08,16,1,-0.012866578691880275,False
1,2017-08,2017-08,2017-08,16,2,-0.013573367110149231,False
1,2017-08,2017-08,2017-08,16,3,-0.014214086493296182,False
1,2017-08,2017-08,2017-08,16,4,-0.016620981559114952,False
1,2017-08,2017-08,2017-08,16,5,-0.014744429242859396,False
1,2017-08,2017-08,2017-08,16,6,-0.013901770194151678,False
1,2017-08,2017-08,2017-08,16,10,-0.014742890904507248,False
1,2017-08,2017-08,2017-08,16,15,-0.016189638748559103,False
1,2017-08,2017-08,2017-08,16,20,-0.016290206375423038,False
1,2017-08,2017-08,2017-08,16,23,-0.01602634829452691,False
1,2017-08,2017-08,2017-08,16,25,-0.01534848582116628,False
1,2017-08,2017-08,2017-08,16,27,-0.014863240722618583,False
1,2017-08,2017-08,2017-08,16,30,-0.014401712830249831,False
1,2017-09,2017-09,2017-09,16,1,-0.013049228487435801,False
1,2017-09,2017-09,2017-09,16,2,-0.013150810282761152,False
1,2017-09,2017-09,2017-09,16,3,-0.014193057568498257,False
1,2017-09,2017-09,2017-09,16,4,-0.01598864764965786,False
1,2017-09,2017-09,2017-09,16,5,-0.013955380935175649,False
1,2017-09,2017-09,2017-09,16,6,-0.013230568951523958,False
1,2017-09,2017-09,2017-09,16,10,-0.01427661843241318,False
1,2017-09,2017-09,2017-09,16,15,-0.015616245581578148,False
1,2017-09,2017-09,2017-09,16,20,-0.01558967956435817,False
1,2017-09,2017-09,2017-09,16,23,-0.015411366296142339,False
1,2017-09,2017-09,2017-09,16,25,-0.014610232857600169,False
1,2017-09,2017-09,2017-09,16,27,-0.014116933063154626,False
1,2017-09,2017-09,2017-09,16,30,-0.013809340105532825,False
1,2017-10,2017-10,2017-10,16,1,-0.012566511883127332,False
1,2017-10,2017-10,2017-10,16,2,-0.013176078543752414,False
1,2017-10,2017-10,2017-10,16,3,-0.013861567988675036,False
1,2017-10,2017-10,2017-10,16,4,-0.016247763082324982,False
1,2017-10,2017-10,2017-10,16,5,-0.014276527727972645,False
1,2017-10,2017-10,2017-10,16,6,-0.01355834854372286,False
1,2017-10,2017-10,2017-10,16,10,-0.014507897214129074,False
1,2017-10,2017-10,2017-10,16,15,-0.015919334475027476,False
1,2017-10,2017-10,2017-10,16,20,-0.016037709402274034,False
1,2017-10,2017-10,2017-10,16,23,-0.0157638778266283,False
1,2017-10,2017-10,2017-10,16,25,-0.015036493754982543,False
1,2017-10,2017-10,2017-10,16,27,-0.014560331324808884,False
1,2017-10,2017-10,2017-10,16,30,-0.014059090535897734,False
1,2017-11,2017-11,2017-11,16,1,-0.010239640201644444,False
1,2017-11,2017-11,2017-11,16,2,-0.011107012977679588,False
1,2017-11,2017-11,2017-11,16,3,-0.012201508810084472,False
1,2017-11,2017-11,2017-11,16,4,-0.013382295347731384,False
1,2017-11,2017-11,2017-11,16,5,-0.013143134610264316,False
1,2017-11,2017-11,2017-11,16,6,-0.012618891264708384,False
1,2017-11,2017-11,2017-11,16,10,-0.013446212369577826,False
1,2017-11,2017-11,2017-11,16,15,-0.013040095974671997,False
1,2017-11,2017-11,2017-11,16,20,-0.01347527856719272,False
1,2017-11,2017-11,2017-11,16,23,-0.012957172120026748,False
1,2017-11,2017-11,2017-11,16,25,-0.012334248537206834,False
1,2017-11,2017-11,2017-11,16,27,-0.01238288874280814,False
1,2017-11,2017-11,2017-11,16,30,-0.011766232942327107,False
1,2017-12,2017-12,2017-12,16,1,-0.010519878997775588,False
1,2017-12,2017-12,2017-12,16,2,-0.010960987114866731,False
1,2017-12,2017-12,2017-12,16,3,-0.011291242384055322,False
1,2017-12,2017-12,2017-12,16,4,-0.013378785940608227,False
1,2017-12,2017-12,2017-12,16,5,-0.011575401597586216,False
1,2017-12,2017-12,2017-12,16,6,-0.01086812083078494,False
1,2017-12,2017-12,2017-12,16,10,-0.011910719200927351,False
1,2017-12,2017-12,2017-12,16,15,-0.013758301029563387,False
1,2017-12,2017-12,2017-12,16,20,-0.013864825739366302,False
1,2017-12,2017-12,2017-12,16,23,-0.013595096736856441,False
1,2017-12,2017-12,2017-12,16,25,-0.012887946292617369,False
1,2017-12,2017-12,2017-12,16,27,-0.012394914132378053,False
1,2017-12,2017-12,2017-12,16,30,-0.011927548685063495,False
1,2018-01,2018-01,2018-01,16,1,-0.01329083924669615,False
1,2018-01,2018-01,2018-01,16,2,-0.012656239256743624,False
