block_length_months,bootstrap_replicates,k,observed_mean_delta_ap,observed_median_delta_ap,bootstrap_se_mean_delta,individual_ci95_lower,individual_ci95_upper,max_t_critical_95,simultaneous_ci95_lower,simultaneous_ci95_upper,adjusted_p_functional_improvement,adjusted_p_k0_superiority,simultaneous_classification,candidate_only_not_final
2,20000,1,-0.0121848819283179,-0.002149359207104795,0.007202117852982143,-0.02788379042291064,-8.308385438614853e-05,2.1781936810631986,-0.027872489525956053,0.0035027256693202537,0.9686015699215039,0.08224588770561472,INCONCLUSIVE,True
2,20000,2,-0.012844302595946043,-0.007535887431044101,0.007721601205004778,-0.0290215266959165,0.0010365639925201346,2.1781936810631986,-0.02966344554837743,0.003974840356485343,0.9662016899155043,0.08599570021498926,INCONCLUSIVE,True
2,20000,3,-0.01335010645091422,-0.005166721846741204,0.007421021968054296,-0.029001492017018824,1.6173900686503437e-05,2.1781936810631986,-0.029514529608761268,0.002814316706932829,0.9742012899355033,0.06839658017099146,INCONCLUSIVE,True
2,20000,4,-0.01566261209802923,-0.006300196349297203,0.007591952835143451,-0.03135103398987258,-0.0017939800050135036,2.1781936810631986,-0.03219935579046853,0.00087413159441007,0.9856007199640018,0.04209789510524474,INCONCLUSIVE,True
2,20000,5,-0.013891815838071135,-0.006267124210226398,0.007243410542705416,-0.02886465263893668,-0.0006471458319306449,2.1781936810631986,-0.029669366911538625,0.0018857352353963547,0.9801009949502525,0.05449727513624319,INCONCLUSIVE,True
2,20000,6,-0.013221772414443937,-0.006640595880363795,0.007413824613479757,-0.028527576902382754,0.0003963409359036917,2.1781936810631986,-0.029370518340036355,0.0029269735111484806,0.9734013299335034,0.07029648517574122,INCONCLUSIVE,True
2,20000,10,-0.014051424798727967,-0.008547738812155398,0.007361962184165126,-0.02929791367538418,-0.000478825859638901,2.1781936810631986,-0.030087204308502667,0.0019843547110467343,0.9797510124493776,0.055547222638868056,INCONCLUSIVE,True
2,20000,15,-0.015421541228100143,-0.008505288052355398,0.007606750384081484,-0.031121816168529874,-0.0013057100946025201,2.1781936810631986,-0.03199051684813149,0.0011474343919312055,0.984450777461127,0.045797710114494274,INCONCLUSIVE,True
2,20000,20,-0.015556373079837234,-0.0078549919208485,0.007320982385100302,-0.030539236994577213,-0.0018270210159470888,2.1781936810631986,-0.031502890650237696,0.0003901444905632257,0.9873506324683766,0.0375481225938703,INCONCLUSIVE,True
2,20000,23,-0.01530567220787394,-0.007282252395643396,0.007583278579133119,-0.03076671256683214,-0.0011935993722835014,2.1781936810631986,-0.03182352169068361,0.0012121772749357287,0.984050797460127,0.046597670116494176,INCONCLUSIVE,True
2,20000,25,-0.014605264953886248,-0.007705604136345606,0.007562989404059283,-0.0300766953496822,-0.0005158070163635266,2.1781936810631986,-0.031078920683756103,0.0018683907759836083,0.9806509674516274,0.053147342632868355,INCONCLUSIVE,True
2,20000,27,-0.014159626912789772,-0.0077483563204841024,0.007488332863521595,-0.029529100230309357,-0.00016749780383145378,2.1781936810631986,-0.030470666237810397,0.002151412412230852,0.9788010599470026,0.05709714514274286,INCONCLUSIVE,True
2,20000,30,-0.013712107648084853,-0.008160381443078804,0.007568557654152654,-0.029217201556111638,0.00032950329756176904,2.1781936810631986,-0.03019789210512267,0.0027736768089529646,0.9747012649367531,0.06679666016699165,INCONCLUSIVE,True
3,20000,1,-0.0121848819283179,-0.002149359207104795,0.007268721281758012,-0.027636612356252917,0.0009076109010950021,2.1460275301611755,-0.027783757908039018,0.0034139940514032203,0.9652517374131293,0.08389580520973951,INCONCLUSIVE,True
3,20000,2,-0.012844302595946043,-0.007535887431044101,0.008239426059576734,-0.029869675906910333,0.002215666707520115,2.1460275301611755,-0.030526337752525126,0.0048377325606330426,0.9564521773911304,0.10214489275536223,INCONCLUSIVE,True
3,20000,3,-0.01335010645091422,-0.005166721846741204,0.007756870457541034,-0.029804755616831387,0.0004309699409083237,2.1460275301611755,-0.02999656400069119,0.0032963510988627508,0.9681015949202539,0.07654617269136543,INCONCLUSIVE,True
3,20000,4,-0.01566261209802923,-0.006300196349297203,0.00806532067542627,-0.03229692955580154,-0.0008374753544376804,2.1460275301611755,-0.03297101230707213,0.0016457881110136727,0.9799010049497525,0.05029748512574371,INCONCLUSIVE,True
3,20000,5,-0.013891815838071135,-0.006267124210226398,0.0077139137848442505,-0.03004155094487582,0.00015785967749317844,2.1460275301611755,-0.030446087185636687,0.0026624555094944165,0.9729013549322534,0.06569671516424179,INCONCLUSIVE,True
3,20000,6,-0.013221772414443937,-0.006640595880363795,0.007947161590523659,-0.02978389187474005,0.001330460235165869,2.1460275301611755,-0.030276599974347184,0.0038330551454593097,0.9648017599120045,0.08574571271436428,INCONCLUSIVE,True
3,20000,10,-0.014051424798727967,-0.008547738812155398,0.007866900786128245,-0.03042114371781187,0.0002154429140814364,2.1460275301611755,-0.030934010462805778,0.0028311608653498414,0.9719014049297535,0.06744662766861657,INCONCLUSIVE,True
3,20000,15,-0.015421541228100143,-0.008505288052355398,0.008127682145935466,-0.03205626128090904,-0.00038331177166761235,2.1460275301611755,-0.032863770869677116,0.002020688413476829,0.9778511074446278,0.05489725513724314,INCONCLUSIVE,True
3,20000,20,-0.015556373079837234,-0.0078549919208485,0.00786392567463477,-0.03164967400744129,-0.0008927443819010047,2.1460275301611755,-0.032432574072744746,0.00131982791307028,0.9815009249537523,0.0471976401179941,INCONCLUSIVE,True
3,20000,23,-0.01530567220787394,-0.007282252395643396,0.008189464296885848,-0.032028184732082944,-3.254384746823306e-05,2.1460275301611755,-0.03288048804626301,0.002269143630515124,0.976451177441128,0.05784710764461777,INCONCLUSIVE,True
3,20000,25,-0.014605264953886248,-0.007705604136345606,0.008183745923589586,-0.0313649508862306,0.0005730179334571567,2.1460275301611755,-0.03216780900575379,0.0029572790979813003,0.9719014049297535,0.06759662016899155,INCONCLUSIVE,True
3,20000,27,-0.014159626912789772,-0.0077483563204841024,0.008098230505212422,-0.030658016956629154,0.0009433017210820224,2.1460275301611755,-0.03153865252256667,0.0032193986969871295,0.9697015149242538,0.07224638768061598,INCONCLUSIVE,True
3,20000,30,-0.013712107648084853,-0.008160381443078804,0.008168493643424994,-0.03030788757869449,0.0015154942046924822,2.1460275301611755,-0.031241919886821456,0.0038177045906517496,0.9656017199140043,0.08354582270886456,INCONCLUSIVE,True
4,20000,1,-0.0121848819283179,-0.002149359207104795,0.0076430119007913164,-0.028250887010994662,0.0013953381235528013,2.113252418669514,-0.02833649531358503,0.00396673145694923,0.9570021498925054,0.09114544272786361,INCONCLUSIVE,True
4,20000,2,-0.012844302595946043,-0.007535887431044101,0.008735933829399311,-0.03080708837625437,0.0031983584134900097,2.113252418669514,-0.031305535890260965,0.005616930698368881,0.9441027948602569,0.11344432778361081,INCONCLUSIVE,True
4,20000,3,-0.01335010645091422,-0.005166721846741204,0.008115517883699429,-0.03053319591999376,0.0008690140395222405,2.113252418669514,-0.030500244247397734,0.0038000313455692943,0.9607519624018799,0.08339583020848958,INCONCLUSIVE,True
4,20000,4,-0.01566261209802923,-0.006300196349297203,0.008569602160163376,-0.033541290150122804,-0.00025569730872358087,2.113252418669514,-0.03377234459002998,0.0024471203939715157,0.9734013299335034,0.06149692515374231,INCONCLUSIVE,True
4,20000,5,-0.013891815838071135,-0.006267124210226398,0.008164450207508937,-0.030946806578514702,0.0006943736813176902,2.113252418669514,-0.031145359986196212,0.003361728310053942,0.9638018099095045,0.07664616769161542,INCONCLUSIVE,True
4,20000,6,-0.013221772414443937,-0.006640595880363795,0.008495422868335517,-0.03079320057536255,0.0023833844298391162,2.113252418669514,-0.031174745338574266,0.004731200509686392,0.9533523323833808,0.0968451577421129,INCONCLUSIVE,True
4,20000,10,-0.014051424798727967,-0.008547738812155398,0.008341432755956701,-0.03138333532856182,0.0012334898748607376,2.113252418669514,-0.031678977745422575,0.0035761281479666385,0.9627518624068797,0.07884605769711514,INCONCLUSIVE,True
4,20000,15,-0.015421541228100143,-0.008505288052355398,0.008642747458095536,-0.03305759419861288,0.0007377308324830651,2.113252418669514,-0.03368584819787033,0.002842765741670042,0.9700514974251288,0.06544672766361682,INCONCLUSIVE,True
4,20000,20,-0.015556373079837234,-0.0078549919208485,0.008377829990448556,-0.03259244524207203,0.0002391450663710372,2.113252418669514,-0.03326084257035464,0.0021480964106801673,0.9749512524373781,0.058647067646617666,INCONCLUSIVE,True
4,20000,23,-0.01530567220787394,-0.007282252395643396,0.00877318961416451,-0.03318656154299219,0.0012164922990857395,2.113252418669514,-0.03384563637945335,0.00323429196370547,0.9674516274186291,0.0704464776761162,INCONCLUSIVE,True
4,20000,25,-0.014605264953886248,-0.007705604136345606,0.008764469875534106,-0.032486723484918205,0.0018225078576700074,2.113252418669514,-0.03312680211671479,0.003916272208942296,0.9623018849057547,0.08089595520223988,INCONCLUSIVE,True
4,20000,27,-0.014159626912789772,-0.0077483563204841024,0.008649563023856872,-0.03170418249281572,0.0022141502438391405,2.113252418669514,-0.0324383368933897,0.004119083067810156,0.9601019949002549,0.08449577521123944,INCONCLUSIVE,True
4,20000,30,-0.013712107648084853,-0.008160381443078804,0.008718730418730104,-0.03137343660962426,0.00285123981894217,2.113252418669514,-0.032136985793193705,0.004712770497024002,0.9550022498875056,0.09469526523673816,INCONCLUSIVE,True
