k,months,mean_benefit_roc_auc,months_roc_better,mean_benefit_recall_at_10pct,months_recall10_better,mean_benefit_log_loss,months_logloss_better,mean_benefit_brier_score,months_brier_better
1,17,-0.0420852818224625,7,-0.018146996002845004,4,-0.014209086782013682,3,-0.0014981447199730713,2
2,17,-0.04416947819181366,6,-0.027034980360530134,4,-0.011123462713702029,3,-0.0004084619721521403,4
3,17,-0.04110118663686621,6,-0.02752740784339846,5,-0.014311335345020415,4,-0.0005416928914368948,4
4,17,-0.05314017604406888,5,-0.034648534621099,4,-0.017474205669454002,5,-0.0005114017950871362,4
5,17,-0.048176362573453625,5,-0.02963495304956923,5,-0.017307102401593114,3,-0.0005593987449275232,3
6,17,-0.04263057550567428,5,-0.027931806989324723,6,-0.016403169480643444,4,-0.00048814567399488876,3
10,17,-0.04531234098936011,5,-0.028479681322749823,3,-0.02010877165527185,4,-0.0006634296125146074,3
15,17,-0.05004314994945938,5,-0.04015264843510058,2,-0.030996748820719306,4,-0.001213049977472277,3
20,17,-0.053271286017061256,5,-0.040665368630034344,3,-0.033271121231427385,4,-0.001340372169285807,3
23,17,-0.049106710199139654,5,-0.04050655543797615,2,-0.03543638628732141,4,-0.0016185721666945175,3
25,17,-0.046478111377732605,5,-0.03613749323307127,4,-0.03448586078106831,4,-0.0015461959510039132,3
27,17,-0.04752008280151788,5,-0.03791620525328526,3,-0.03597856412782164,4,-0.001699279071192059,3
30,17,-0.04500551873927431,6,-0.03802535747424716,2,-0.036740839240296926,4,-0.0018865487458716943,3
