bin,rows,mean_predicted_probability,observed_late_rate,absolute_gap,min_score,max_score,weight
0,8229,0.023582010336496245,0.029165147648559972,0.0055831373120637275,1.4802646441322172e-08,0.027521396276251,0.1000230944075069
1,8226,0.028823515430159697,0.0638220277169949,0.034998512286835204,0.0275217679613091,0.0299871985372515,0.09998662955354864
2,8229,0.031177365671288596,0.07570786243772026,0.04453049676643167,0.0299878695610193,0.0325095532542443,0.1000230944075069
3,8225,0.037411626941089404,0.07282674772036474,0.03541512077927533,0.032509801798804,0.0422728194729085,0.09997447460222922
4,8228,0.0461289172411747,0.08629071463296062,0.04016179739178592,0.0422728271734123,0.0490726017492862,0.10001093945618748
5,8227,0.051690920237864056,0.17126534581256836,0.1195744255747043,0.0490727266619683,0.0556915356679999,0.09999878450486806
6,8225,0.06050528451403866,0.07987841945288754,0.01937313493884888,0.0556941426819082,0.0642425314297755,0.09997447460222922
7,8228,0.06695829918785054,0.045576081672338356,0.021382217515512184,0.0642441320829841,0.0696718033394988,0.10001093945618748
8,8227,0.07247393139466926,0.04217819375227908,0.03029573764239018,0.0696727499469095,0.075693533985577,0.09999878450486806
9,8227,0.09512680366606406,0.06162635225477087,0.03350045141129319,0.0756937190750073,0.8502502361534748,0.09999878450486806
