fold_id,test_month,rows,positives,prevalence,average_precision,roc_auc,brier,log_loss,ece_quantile_10,mce_quantile_10,mean_score
1,2017-07,3872,108,0.027892561983471075,0.044324701848704094,0.5776643739914197,0.027078726420725136,0.12770366761611215,0.005659291071439401,0.015342051908015832,0.030492753422182307
2,2017-08,4193,122,0.02909611256856666,0.033474406619390815,0.5268814606311737,0.02824340906710514,0.13136434527834961,0.0049387214946447315,0.015133770353557292,0.02895310958400242
3,2017-09,4150,182,0.04385542168674699,0.055631191664823776,0.5908615074441688,0.04217332291000407,0.18368680370177573,0.016461209078556315,0.0419904524504273,0.027483377674787687
4,2017-10,4478,187,0.041759714158106295,0.04871077479721094,0.5680456670284902,0.04022976460871174,0.17628742071424475,0.012571450295127025,0.030385845747910298,0.029256288342523393
5,2017-11,7288,904,0.12403951701427003,0.1565746729021634,0.5890677329385411,0.11697841322816026,0.45471952746339556,0.09271839477493864,0.1348405372332757,0.031321122239331416
6,2017-12,5513,411,0.07455106112824234,0.11627705634929113,0.6246965790811485,0.07051769848515889,0.28497861562270016,0.04358626443868839,0.08433081930846076,0.03267072563916362
7,2018-01,7069,403,0.05700947800254633,0.0805518518243306,0.5848239910839719,0.05373041367339385,0.2184323979690193,0.0180544608970907,0.029178888595469805,0.04357148831495269
8,2018-02,6555,926,0.14126620900076278,0.18274945291486222,0.6094165051624437,0.12895108641900807,0.46166292527954317,0.09189850591365926,0.1619175182395055,0.051195395083794386
9,2018-03,7003,1328,0.18963301442239042,0.24140894710380567,0.6126054880314209,0.17153877698388004,0.5964532237340913,0.1365547541850513,0.21011694739792072,0.053078260237339116
10,2018-04,6798,306,0.04501323918799647,0.07989420928438962,0.664594986690507,0.04317432229149711,0.18341611853884163,0.019176838335506877,0.04506058120667642,0.06280317846088485
11,2018-05,6749,443,0.06563935397836716,0.07848766928438618,0.5641654835875969,0.06161963607749674,0.24227078357251236,0.012798957190525567,0.03177446164737942,0.07548183469873283
12,2018-06,6096,71,0.011646981627296589,0.019040669064070023,0.5963859505581205,0.01618007230643633,0.10847148781690005,0.06501603758771747,0.10454560661154351,0.07666301921501405
13,2018-07,6156,208,0.03378817413905133,0.04153305755828085,0.5240425029744968,0.03510765247208024,0.164172056064381,0.04299097202490431,0.07919781043496096,0.07677914616395565
14,2018-08,6351,393,0.061880018894662256,0.04890375900253806,0.3622593096544343,0.05867434670291539,0.23541342344877236,0.040030864570059804,0.10029507142352478,0.06976994623324966
