fold_id,test_month,average_precision_winner,average_precision_runner_up,delta_ap_winner_minus_runner_up
1,2017-07,0.044324701848704,0.0456120279235646,-0.0012873260748606022
2,2017-08,0.0334744066193908,0.0317230959048242,0.0017513107145665993
3,2017-09,0.0556311916648237,0.053468590109343,0.0021626015554806963
4,2017-10,0.0487107747972109,0.0488361637665282,-0.00012538896931729715
5,2017-11,0.1565746729021634,0.1519192789569374,0.0046553939452259885
6,2017-12,0.1162770563492911,0.1142107681181841,0.002066288231106994
7,2018-01,0.0805518518243306,0.0860868315825013,-0.005534979758170702
8,2018-02,0.1827494529148622,0.1806230900900072,0.0021263628248549826
9,2018-03,0.2414089471038056,0.2380543008384471,0.003354646265358474
10,2018-04,0.0798942092843896,0.0797391440612928,0.00015506522309680082
11,2018-05,0.0784876692843861,0.0803251924418105,-0.0018375231574244005
12,2018-06,0.01904066906407,0.0181018648781512,0.0009388041859187991
13,2018-07,0.0415330575582808,0.0423158813484204,-0.0007828237901396015
14,2018-08,0.048903759002538,0.0472008860783528,0.0017028729241852017
