algorithm,arm,fold_id,test_month,top_fraction,top_n,positives,recall_candidate,recall_baseline,delta_recall
LOGISTIC,M0,1,2017-07,0.05,194,108,0.0925925925925925,0.0925925925925925,0.0
LOGISTIC,M0,1,2017-07,0.1,388,108,0.1574074074074074,0.1574074074074074,0.0
LOGISTIC,M0,1,2017-07,0.2,775,108,0.2962962962962963,0.2962962962962963,0.0
LOGISTIC,M0,2,2017-08,0.05,210,122,0.0491803278688524,0.0491803278688524,0.0
LOGISTIC,M0,2,2017-08,0.1,420,122,0.1229508196721311,0.1229508196721311,0.0
LOGISTIC,M0,2,2017-08,0.2,839,122,0.2295081967213114,0.2295081967213114,0.0
LOGISTIC,M0,3,2017-09,0.05,208,182,0.0329670329670329,0.0329670329670329,0.0
LOGISTIC,M0,3,2017-09,0.1,415,182,0.1208791208791208,0.1208791208791208,0.0
LOGISTIC,M0,3,2017-09,0.2,830,182,0.2692307692307692,0.2692307692307692,0.0
LOGISTIC,M0,4,2017-10,0.05,224,187,0.0481283422459893,0.0481283422459893,0.0
LOGISTIC,M0,4,2017-10,0.1,448,187,0.1176470588235294,0.1176470588235294,0.0
LOGISTIC,M0,4,2017-10,0.2,896,187,0.2513368983957219,0.2513368983957219,0.0
LOGISTIC,M0,5,2017-11,0.05,365,904,0.0719026548672566,0.0719026548672566,0.0
LOGISTIC,M0,5,2017-11,0.1,729,904,0.1305309734513274,0.1305309734513274,0.0
LOGISTIC,M0,5,2017-11,0.2,1458,904,0.2665929203539823,0.2665929203539823,0.0
LOGISTIC,M0,6,2017-12,0.05,276,411,0.1094890510948905,0.1094890510948905,0.0
LOGISTIC,M0,6,2017-12,0.1,552,411,0.1727493917274939,0.1727493917274939,0.0
LOGISTIC,M0,6,2017-12,0.2,1103,411,0.3090024330900243,0.3090024330900243,0.0
LOGISTIC,M0,7,2018-01,0.05,354,403,0.1042183622828784,0.1042183622828784,0.0
LOGISTIC,M0,7,2018-01,0.1,707,403,0.1513647642679901,0.1513647642679901,0.0
LOGISTIC,M0,7,2018-01,0.2,1414,403,0.28287841191067,0.28287841191067,0.0
LOGISTIC,M0,8,2018-02,0.05,328,926,0.0680345572354211,0.0680345572354211,0.0
LOGISTIC,M0,8,2018-02,0.1,656,926,0.1274298056155507,0.1274298056155507,0.0
LOGISTIC,M0,8,2018-02,0.2,1311,926,0.244060475161987,0.244060475161987,0.0
LOGISTIC,M0,9,2018-03,0.05,351,1328,0.0700301204819277,0.0700301204819277,0.0
LOGISTIC,M0,9,2018-03,0.1,701,1328,0.1355421686746988,0.1355421686746988,0.0
LOGISTIC,M0,9,2018-03,0.2,1401,1328,0.2447289156626506,0.2447289156626506,0.0
LOGISTIC,M0,10,2018-04,0.05,340,306,0.1209150326797385,0.1209150326797385,0.0
LOGISTIC,M0,10,2018-04,0.1,680,306,0.2222222222222222,0.2222222222222222,0.0
LOGISTIC,M0,10,2018-04,0.2,1360,306,0.3627450980392157,0.3627450980392157,0.0
LOGISTIC,M0,11,2018-05,0.05,338,443,0.0654627539503386,0.0654627539503386,0.0
LOGISTIC,M0,11,2018-05,0.1,675,443,0.1444695259593679,0.1444695259593679,0.0
LOGISTIC,M0,11,2018-05,0.2,1350,443,0.2392776523702031,0.2392776523702031,0.0
LOGISTIC,M0,12,2018-06,0.05,305,71,0.1126760563380281,0.1126760563380281,0.0
LOGISTIC,M0,12,2018-06,0.1,610,71,0.1830985915492957,0.1830985915492957,0.0
LOGISTIC,M0,12,2018-06,0.2,1220,71,0.323943661971831,0.323943661971831,0.0
LOGISTIC,M0,13,2018-07,0.05,308,208,0.0528846153846153,0.0528846153846153,0.0
LOGISTIC,M0,13,2018-07,0.1,616,208,0.1394230769230769,0.1394230769230769,0.0
LOGISTIC,M0,13,2018-07,0.2,1232,208,0.2980769230769231,0.2980769230769231,0.0
LOGISTIC,M0,14,2018-08,0.05,318,393,0.0381679389312977,0.0381679389312977,0.0
LOGISTIC,M0,14,2018-08,0.1,636,393,0.0636132315521628,0.0636132315521628,0.0
LOGISTIC,M0,14,2018-08,0.2,1271,393,0.1195928753180661,0.1195928753180661,0.0
