fold_id,test_month,cutoff,n_train,n_test,train_positive,test_positive,train_prevalence,test_prevalence,max_train_purchase,max_train_label_available,purchase_time_violations,label_availability_violations,status
1,2017-07,2017-07-01,7904,3872,243,108,0.03074392712550607,0.027892561983471075,2017-06-28 19:28:49,2017-06-30 19:09:42,0,0,READY
2,2017-08,2017-08-01,11358,4193,332,122,0.029230498327170278,0.02909611256856666,2017-07-28 11:09:49,2017-07-31 23:59:49,0,0,READY
3,2017-09,2017-09-01,15659,4150,429,182,0.027396385465227664,0.04385542168674699,2017-08-29 22:22:41,2017-08-31 23:34:54,0,0,READY
4,2017-10,2017-10-01,19612,4478,571,187,0.029114827656536814,0.041759714158106295,2017-09-29 14:44:31,2017-09-30 20:09:53,0,0,READY
5,2017-11,2017-11-01,24106,7288,754,904,0.03127851987057164,0.12403951701427003,2017-10-30 13:10:42,2017-10-31 23:59:10,0,0,READY
6,2017-12,2017-12-01,28776,5513,944,411,0.032805115373922715,0.07455106112824234,2017-11-29 07:25:31,2017-11-30 23:59:03,0,0,READY
7,2018-01,2018-01-01,35981,7069,1575,403,0.04377310247074845,0.05700947800254633,2017-12-28 11:45:47,2017-12-31 15:19:16,0,0,READY
8,2018-02,2018-02-01,42578,6555,2197,926,0.05159941753957443,0.14126620900076278,2018-01-30 01:39:14,2018-01-31 23:58:36,0,0,READY
9,2018-03,2018-03-01,48428,7003,2520,1328,0.05203601222433303,0.18963301442239042,2018-02-27 09:53:16,2018-02-28 23:58:37,0,0,READY
10,2018-04,2018-04-01,55252,6798,3417,306,0.061843915152392674,0.04501323918799647,2018-03-29 01:12:21,2018-03-31 21:55:48,0,0,READY
11,2018-05,2018-05-01,63102,6749,4757,443,0.07538588317327502,0.06563935397836716,2018-04-27 13:06:08,2018-04-30 23:58:51,0,0,READY
12,2018-06,2018-06-01,70213,6096,5178,71,0.07374702690384971,0.011646981627296589,2018-05-29 13:08:31,2018-05-31 19:05:39,0,0,READY
13,2018-07,2018-07-01,77042,6156,5654,208,0.07338854131512682,0.03378817413905133,2018-06-29 11:52:32,2018-06-30 21:10:00,0,0,READY
14,2018-08,2018-08-01,82881,6351,5732,393,0.06915939720804527,0.061880018894662256,2018-07-30 13:26:53,2018-07-31 23:44:41,0,0,READY
