fold_id,test_month,n_train,n_test,test_positive,test_prevalence,m0_average_precision,m1_average_precision,delta_average_precision,m0_roc_auc,m1_roc_auc,delta_roc_auc,m0_brier,m1_brier,delta_brier_m1_minus_m0,m0_log_loss,m1_log_loss,delta_log_loss_m1_minus_m0
1,2017-07,7904,3872,108,0.027892561983471075,0.044324701848704094,0.045612027923564655,0.0012873260748605606,0.5776643739914197,0.5492359389144724,-0.028428435076947256,0.027078726420725136,0.027059226784426103,-1.9499636299033507e-05,0.12770366761611213,0.1269327784340757,-0.0007708891820364383
2,2017-08,11358,4193,122,0.02909611256856666,0.033474406619390815,0.03172309590482429,-0.001751310714566523,0.5268814606311737,0.5153877284753011,-0.011493732155872571,0.02824340906710514,0.02828674562358247,4.333655647732748e-05,0.13136434527834964,0.13205680289271013,0.0006924576143604866
3,2017-09,15659,4150,182,0.04385542168674699,0.055631191664823776,0.053468590109343,-0.0021626015554807726,0.5908615074441688,0.5898908299361929,-0.0009706775079758589,0.04217332291000407,0.04219369682006763,2.0373910063556377e-05,0.18368680370177567,0.1838317519803838,0.00014494827860811466
4,2017-10,19612,4478,187,0.041759714158106295,0.04871077479721094,0.04883616376652821,0.0001253889693172694,0.5680456670284902,0.5603906696892015,-0.0076549973392887605,0.04022976460871174,0.04021895555021134,-1.0809058500399482e-05,0.17628742071424472,0.17604478589406952,-0.0002426348201751971
5,2017-11,24106,7288,904,0.12403951701427003,0.1565746729021634,0.1519192789569374,-0.0046553939452259885,0.5890677329385411,0.5689372941479806,-0.020130438790560534,0.11697841322816026,0.11700056791890748,2.2154690747219763e-05,0.45471952746339533,0.45537913641852634,0.000659608955131008
6,2017-12,28776,5513,411,0.07455106112824234,0.11627705634929113,0.11421076811818417,-0.0020662882311069525,0.6246965790811485,0.6039492646841418,-0.020747314397006722,0.07051769848515889,0.07048184634437987,-3.585214077901633e-05,0.28497861562270005,0.2845032161944782,-0.00047539942822183434
7,2018-01,35981,7069,403,0.05700947800254633,0.0805518518243306,0.08608683158250138,0.0055349797581707855,0.5848239910839719,0.5957750861934829,0.010951095109510978,0.05373041367339385,0.05367101154951941,-5.940212387444549e-05,0.2184323979690193,0.21778683223959053,-0.000645565729428782
8,2018-02,42578,6555,926,0.14126620900076278,0.18274945291486222,0.18062309009000724,-0.0021263628248549826,0.6094165051624437,0.6086174573435085,-0.0007990478189352501,0.12895108641900807,0.12892629415553347,-2.4792263474598952e-05,0.46166292527954317,0.4612386443739184,-0.00042428090562474097
9,2018-03,48428,7003,1328,0.18963301442239042,0.24140894710380567,0.23805430083844714,-0.0033546462653585296,0.6126054880314209,0.610032641579534,-0.0025728464518869343,0.17153877698388006,0.17146285148040052,-7.59255034795403e-05,0.5964532237340909,0.5951771498518766,-0.0012760738822142903
10,2018-04,55252,6798,306,0.04501323918799647,0.07989420928438962,0.07973914406129283,-0.00015506522309678694,0.664594986690507,0.6522200274646724,-0.012374959225834536,0.04317432229149712,0.04300734071882575,-0.0001669815726713722,0.18341611853884163,0.1877652908706794,0.004349172331837764
11,2018-05,63102,6749,443,0.06563935397836716,0.07848766928438618,0.08032519244181051,0.0018375231574243311,0.5641654835875969,0.5562159439682297,-0.007949539619367174,0.06161963607749674,0.06138373923436603,-0.00023589684313070347,0.2422707835725124,0.2582043067944199,0.015933523221907525
12,2018-06,70213,6096,71,0.011646981627296589,0.019040669064070023,0.018101864878151297,-0.0009388041859187263,0.5963859505581205,0.5782736251534101,-0.018112325404710417,0.016180072306436335,0.016090985659865782,-8.908664657055268e-05,0.10847148781690008,0.10870667980462145,0.00023519198772137262
13,2018-07,77042,6156,208,0.03378817413905133,0.04153305755828085,0.04231588134842048,0.0007828237901396293,0.5240425029744968,0.5290259977497285,0.004983494775231634,0.03510765247208024,0.03469888375628525,-0.0004087687157949896,0.164172056064381,0.16329489717886198,-0.000877158885519036
14,2018-08,82881,6351,393,0.061880018894662256,0.04890375900253806,0.04720088607835284,-0.0017028729241852156,0.3622593096544343,0.3550664661109531,-0.007192843543481209,0.058674346702915395,0.05882030006462281,0.00014595336170741824,0.23541342344877236,0.2370606448539964,0.0016472214052240253
